 ,Area,Mean,Min,Max,X,Y
1,0.000,77,77,77,4.396,0.490
2,0.000,112,112,112,4.775,0.335
3,0.000,69,69,69,4.817,0.137
4,0.000,111,111,111,5.229,0.066
5,0.000,118,118,118,5.158,0.775
6,0.000,74,74,74,5.796,0.945
7,0.000,157,157,157,5.328,1.271
8,0.000,106,106,106,4.761,1.215
9,0.000,110,110,110,5.158,2.023
10,0.000,66,66,66,1.130,2.505
11,0.000,55,55,55,1.527,2.874
12,0.000,104,104,104,2.676,3.158
13,0.000,148,148,148,1.286,3.229
14,0.000,59,59,59,1.470,3.782
15,0.000,116,116,116,0.775,3.158
16,0.000,89,89,89,0.392,3.342
17,0.000,207,207,207,0.023,2.718
18,0.000,159,159,159,0.576,3.881
19,0.000,119,119,119,0.250,4.052
20,0.000,152,152,152,0.208,4.491
21,0.000,169,169,169,1.286,5.016
22,0.000,143,143,143,3.867,7.825
23,0.000,72,72,72,3.654,7.456
24,0.000,109,109,109,3.839,7.130
25,0.000,116,116,116,4.321,7.356
26,0.000,41,41,41,4.548,7.555
27,0.000,157,157,157,4.832,6.931
28,0.000,76,76,76,5.314,7.527
29,0.000,120,120,120,5.739,8.520
30,0.000,136,136,136,5.413,9.044
31,0.000,121,121,121,5.768,9.385
32,0.000,135,135,135,10.364,7.243
33,0.000,94,94,94,10.974,7.881
34,0.000,51,51,51,13.782,8.477
35,0.000,180,180,180,13.796,9.115
36,0.000,143,143,143,14.321,9.470
37,0.000,135,135,135,13.754,10.293
