 ,Area,Mean,Min,Max,X,Y
1,0.000,134,134,134,2.000,0.396
2,0.000,138,138,138,2.536,0.134
3,0.000,106,106,106,2.564,0.661
4,0.000,78,78,78,2.898,1.009
5,0.000,160,160,160,1.953,1.356
6,0.000,97,97,97,1.648,1.634
7,0.000,161,161,161,0.259,4.870
8,0.000,120,120,120,0.314,5.703
9,0.000,124,124,124,0.981,5.703
10,0.000,109,109,109,3.620,5.828
11,0.000,247,247,247,2.703,3.148
12,0.000,192,192,192,2.370,2.203
13,0.000,130,130,130,3.148,2.384
14,0.000,222,222,222,3.231,3.050
15,0.000,92,92,92,3.828,3.106
16,0.000,162,162,162,5.536,1.189
17,0.000,110,110,110,6.036,1.106
18,0.000,108,108,108,5.995,1.398
19,0.000,122,122,122,5.592,1.689
20,0.000,176,176,176,6.092,1.814
21,0.000,134,134,134,6.467,1.592
22,0.000,150,150,150,5.217,4.411
23,0.000,142,142,142,5.925,4.439
24,0.000,104,104,104,5.675,4.911
25,0.000,144,144,144,5.106,5.300
26,0.000,108,108,108,5.564,5.800
27,0.000,101,101,101,5.148,6.120
28,0.000,144,144,144,5.328,5.898
29,0.000,66,66,66,4.759,5.925
30,0.000,93,93,93,4.314,6.495
31,0.000,36,36,36,4.564,5.120
32,0.000,77,77,77,4.106,4.328
33,0.000,133,133,133,2.495,9.550
34,0.000,157,157,157,2.467,10.009
35,0.000,107,107,107,7.773,8.370
36,0.000,114,114,114,7.925,6.356
37,0.000,80,80,80,8.606,6.536
38,0.000,153,153,153,8.953,7.120
39,0.000,60,60,60,10.620,4.495
40,0.000,140,140,140,10.884,0.481
41,0.000,92,92,92,10.009,0.328
42,0.000,142,142,142,9.467,0.481
43,0.000,102,102,102,13.217,2.286
44,0.000,115,115,115,14.231,1.898
45,0.000,143,143,143,11.896,0.392
46,0.000,166,166,166,13.215,10.066
47,0.000,131,131,131,13.583,10.392
48,0.000,88,88,88,13.995,10.151
49,0.000,141,141,141,14.208,10.477
50,0.000,141,141,141,14.364,10.775
51,0.000,140,140,140,13.839,10.676
52,0.000,87,87,87,13.371,10.775
