 ,Area,Mean,Min,Max,X,Y
1,0.000,106,106,106,10.917,1.635
2,0.000,162,162,162,10.647,1.314
3,0.000,124,124,124,8.761,0.846
4,0.000,46,46,46,8.052,0.477
5,0.000,179,179,179,7.073,0.264
6,0.000,18,18,18,6.066,0.562
7,0.000,132,132,132,5.513,1.144
8,0.000,162,162,162,5.215,0.747
9,0.000,123,123,123,4.690,0.250
10,0.000,0,0,0,3.484,0.548
11,0.000,51,51,51,3.215,0.605
12,0.000,137,137,137,2.137,0.264
13,0.000,207,207,207,0.704,3.229
14,0.000,129,129,129,0.009,2.761
15,0.000,61,61,61,1.200,4.208
16,0.000,85,85,85,1.810,4.505
17,0.000,81,81,81,2.151,4.605
18,0.000,175,175,175,2.747,4.888
19,0.000,115,115,115,2.591,3.016
20,0.000,167,167,167,1.810,6.505
21,0.000,32,32,32,2.491,6.435
22,0.000,111,111,111,1.257,6.817
23,0.000,6,6,6,1.541,7.215
24,0.000,122,122,122,1.612,7.938
25,0.000,1,1,1,0.520,8.931
26,0.000,71,71,71,0.293,8.718
27,0.000,225,225,225,2.931,9.498
28,0.000,164,164,164,3.896,9.186
29,0.000,158,158,158,4.278,8.562
30,0.000,109,109,109,3.442,7.456
31,0.000,132,132,132,3.853,7.016
32,0.000,130,130,130,3.697,10.321
33,0.000,73,73,73,4.917,9.981
34,0.000,143,143,143,5.300,9.044
35,0.000,144,144,144,5.598,6.931
36,0.000,13,13,13,6.832,6.718
37,0.000,172,172,172,6.690,5.881
38,0.000,91,91,91,6.988,5.541
39,0.000,78,78,78,6.137,5.286
40,0.000,101,101,101,5.356,5.569
41,0.000,133,133,133,4.931,5.229
42,0.000,48,48,48,4.250,4.378
43,0.000,139,139,139,5.683,4.548
44,0.000,144,144,144,5.768,3.314
45,0.000,112,112,112,4.619,3.059
46,0.000,3,3,3,4.661,2.378
47,0.000,120,120,120,4.080,2.605
48,0.000,75,75,75,3.796,3.030
49,0.000,208,208,208,6.420,2.278
50,0.000,178,178,178,6.775,1.612
51,0.000,146,146,146,7.498,1.612
52,0.000,65,65,65,7.442,2.463
53,0.000,31,31,31,7.683,3.144
54,0.000,166,166,166,7.981,2.151
55,0.000,119,119,119,8.874,3.144
56,0.000,104,104,104,10.009,2.534
57,0.000,121,121,121,9.059,3.654
58,0.000,80,80,80,8.789,4.108
59,0.000,50,50,50,7.881,4.491
60,0.000,82,82,82,7.910,5.300
61,0.000,105,105,105,8.349,6.037
62,0.000,133,133,133,8.747,5.981
63,0.000,140,140,140,9.101,6.151
64,0.000,1,1,1,9.030,5.498
65,0.000,80,80,80,8.945,6.633
66,0.000,154,154,154,9.271,8.094
67,0.000,99,99,99,7.286,9.796
68,0.000,178,178,178,7.825,10.307
69,0.000,94,94,94,10.520,9.867
70,0.000,70,70,70,10.959,8.860
71,0.000,177,177,177,11.711,8.307
72,0.000,154,154,154,12.406,8.278
73,0.000,82,82,82,11.583,8.945
74,0.000,186,186,186,11.314,9.016
75,0.000,84,84,84,11.839,9.456
76,0.000,56,56,56,11.626,10.633
77,0.000,89,89,89,13.101,8.917
78,0.000,101,101,101,12.803,9.200
79,0.000,128,128,128,13.328,10.406
80,0.000,107,107,107,12.888,9.427
81,0.000,64,64,64,14.208,8.832
82,0.000,160,160,160,14.576,9.683
83,0.000,154,154,154,14.250,7.952
84,0.000,118,118,118,13.342,7.555
85,0.000,110,110,110,14.321,6.761
