 ,Area,Mean,Min,Max,X,Y
1,0.000,119,119,119,1.260,0.417
2,0.000,169,169,169,2.435,0.860
3,0.000,44,44,44,1.130,0.874
4,0.000,105,105,105,0.860,1.456
5,0.000,112,112,112,0.676,1.981
6,0.000,130,130,130,1.144,2.080
7,0.000,116,116,116,1.782,2.122
8,0.000,55,55,55,1.739,2.761
9,0.000,124,124,124,2.392,1.867
10,0.000,124,124,124,3.087,2.520
11,0.000,71,71,71,3.044,1.683
12,0.000,118,118,118,2.988,0.917
13,0.000,134,134,134,3.654,0.817
14,0.000,156,156,156,2.860,0.278
15,0.000,128,128,128,2.491,0.179
16,0.000,177,177,177,2.165,3.810
17,0.000,124,124,124,0.137,3.300
18,0.000,180,180,180,1.286,4.803
19,0.000,41,41,41,1.002,5.271
20,0.000,117,117,117,1.130,6.264
21,0.000,149,149,149,0.520,6.094
22,0.000,86,86,86,0.463,6.988
23,0.000,149,149,149,1.229,7.342
24,0.000,35,35,35,1.569,7.470
25,0.000,100,100,100,1.498,6.874
26,0.000,129,129,129,2.052,6.619
27,0.000,193,193,193,2.732,6.293
28,0.000,122,122,122,2.690,5.569
29,0.000,75,75,75,3.626,8.335
30,0.000,131,131,131,4.066,8.605
31,0.000,133,133,133,4.364,8.023
32,0.000,97,97,97,5.158,7.484
33,0.000,77,77,77,4.747,7.442
34,0.000,106,106,106,5.073,6.463
35,0.000,146,146,146,5.768,6.364
36,0.000,135,135,135,6.122,5.924
37,0.000,142,142,142,4.747,5.215
38,0.000,149,149,149,6.108,7.030
39,0.000,119,119,119,5.739,7.583
40,0.000,144,144,144,5.541,10.236
41,0.000,118,118,118,5.924,10.605
42,0.000,99,99,99,7.342,9.669
43,0.000,114,114,114,8.364,10.718
44,0.000,90,90,90,7.754,10.747
45,0.000,127,127,127,4.817,10.775
46,0.000,170,170,170,4.179,10.789
47,0.000,71,71,71,8.066,4.917
48,0.000,92,92,92,7.697,4.122
49,0.000,175,175,175,6.803,4.009
50,0.000,132,132,132,6.037,3.796
51,0.000,50,50,50,5.711,2.874
52,0.000,65,65,65,7.002,3.342
53,0.000,88,88,88,7.952,2.817
54,0.000,135,135,135,10.974,1.853
55,0.000,163,163,163,14.080,1.640
56,0.000,153,153,153,14.037,1.130
57,0.000,173,173,173,14.576,0.562
58,0.000,80,80,80,13.739,0.179
59,0.000,161,161,161,12.591,4.661
60,0.000,64,64,64,13.399,4.817
61,0.000,148,148,148,13.427,5.470
62,0.000,149,149,149,12.704,5.470
63,0.000,122,122,122,12.576,6.080
64,0.000,117,117,117,12.151,7.470
65,0.000,80,80,80,11.342,7.541
66,0.000,159,159,159,11.271,7.952
67,0.000,11,11,11,10.761,7.711
68,0.000,150,150,150,11.002,9.328
69,0.000,175,175,175,11.924,10.293
70,0.000,51,51,51,7.782,10.080
