 ,Area,Mean,Min,Max,X,Y
1,0.000,92,92,92,0.948,1.188
2,0.000,139,139,139,1.711,0.704
3,0.000,123,123,123,2.463,0.945
4,0.000,120,120,120,1.654,1.456
5,0.000,5,5,5,1.541,1.683
6,0.000,79,79,79,0.988,2.137
7,0.000,3,3,3,0.108,2.321
8,0.000,84,84,84,2.661,2.108
9,0.000,85,85,85,2.803,2.903
10,0.000,112,112,112,2.122,3.669
11,0.000,68,68,68,0.974,3.754
12,0.000,161,161,161,0.023,4.349
13,0.000,31,31,31,1.981,4.931
14,0.000,112,112,112,1.669,5.371
15,0.000,159,159,159,0.236,10.009
16,0.000,100,100,100,1.314,8.888
17,0.000,88,88,88,4.562,10.307
18,0.000,95,95,95,4.605,9.257
19,0.000,54,54,54,4.236,8.832
20,0.000,123,123,123,5.158,9.087
21,0.000,122,122,122,5.314,9.583
22,0.000,104,104,104,5.768,9.385
23,0.000,241,241,241,6.066,9.427
24,0.000,12,12,12,5.555,8.690
25,0.000,18,18,18,5.626,8.250
26,0.000,114,114,114,5.470,7.371
27,0.000,160,160,160,6.307,7.981
28,0.000,112,112,112,4.917,7.243
29,0.000,61,61,61,5.271,6.534
30,0.000,97,97,97,4.435,5.896
31,0.000,157,157,157,3.782,6.505
32,0.000,246,246,246,3.541,6.732
33,0.000,154,154,154,2.491,6.137
34,0.000,162,162,162,2.080,6.463
35,0.000,164,164,164,3.484,5.527
36,0.000,85,85,85,4.576,5.399
37,0.000,83,83,83,4.903,5.555
38,0.000,125,125,125,3.413,4.888
39,0.000,48,48,48,3.527,4.151
40,0.000,32,32,32,3.867,3.669
41,0.000,128,128,128,4.278,4.023
42,0.000,126,126,126,4.364,4.435
43,0.000,39,39,39,5.030,4.321
44,0.000,17,17,17,5.654,4.321
45,0.000,113,113,113,5.910,5.754
46,0.000,144,144,144,6.066,5.640
47,0.000,92,92,92,6.832,5.669
48,0.000,56,56,56,6.236,3.981
49,0.000,33,33,33,5.598,3.541
50,0.000,118,118,118,5.739,3.399
51,0.000,105,105,105,5.768,3.186
52,0.000,4,4,4,6.066,2.974
53,0.000,72,72,72,6.037,2.633
54,0.000,107,107,107,4.747,2.647
55,0.000,134,134,134,4.931,2.378
56,0.000,129,129,129,4.293,0.803
57,0.000,120,120,120,3.867,0.023
58,0.000,105,105,105,5.385,0.037
59,0.000,179,179,179,5.881,1.612
60,0.000,97,97,97,6.463,1.413
61,0.000,92,92,92,6.676,1.924
62,0.000,154,154,154,6.264,2.392
63,0.000,86,86,86,6.619,3.371
64,0.000,129,129,129,7.286,3.413
65,0.000,153,153,153,7.513,3.541
66,0.000,49,49,49,7.371,2.208
67,0.000,147,147,147,7.200,1.825
68,0.000,79,79,79,7.385,1.130
69,0.000,156,156,156,7.229,0.690
70,0.000,127,127,127,7.725,1.739
71,0.000,52,52,52,8.122,1.328
72,0.000,91,91,91,8.122,0.676
73,0.000,76,76,76,7.995,0.023
74,0.000,160,160,160,8.747,1.016
75,0.000,58,58,58,9.186,1.683
76,0.000,74,74,74,8.605,2.293
77,0.000,174,174,174,9.073,2.491
78,0.000,49,49,49,8.761,3.172
79,0.000,100,100,100,7.952,4.647
80,0.000,172,172,172,8.534,5.697
81,0.000,134,134,134,8.803,5.981
82,0.000,56,56,56,9.130,7.725
83,0.000,145,145,145,9.583,10.420
84,0.000,120,120,120,7.555,10.690
85,0.000,144,144,144,10.548,7.598
86,0.000,93,93,93,13.470,8.406
87,0.000,79,79,79,13.498,10.449
88,0.000,168,168,168,13.144,6.931
89,0.000,173,173,173,11.725,6.548
90,0.000,144,144,144,12.420,5.782
91,0.000,136,136,136,13.555,5.654
92,0.000,89,89,89,12.137,5.598
93,0.000,193,193,193,11.427,4.676
94,0.000,74,74,74,10.676,4.576
95,0.000,107,107,107,10.619,5.328
96,0.000,119,119,119,10.009,4.931
97,0.000,94,94,94,10.108,5.144
98,0.000,141,141,141,9.825,5.101
99,0.000,103,103,103,9.640,5.342
100,0.000,154,154,154,9.328,5.286
101,0.000,153,153,153,10.009,3.030
102,0.000,71,71,71,10.435,2.463
103,0.000,65,65,65,10.435,1.853
104,0.000,67,67,67,9.853,1.697
105,0.000,94,94,94,10.052,0.945
106,0.000,24,24,24,9.002,0.534
107,0.000,212,212,212,11.158,0.718
108,0.000,124,124,124,11.059,1.158
109,0.000,105,105,105,10.917,0.094
110,0.000,93,93,93,12.108,0.335
111,0.000,38,38,38,13.130,0.151
112,0.000,88,88,88,13.044,0.888
113,0.000,175,175,175,13.896,0.903
114,0.000,146,146,146,13.896,1.484
115,0.000,87,87,87,12.661,1.711
116,0.000,78,78,78,11.541,2.364
117,0.000,93,93,93,11.697,2.832
118,0.000,37,37,37,11.314,3.896
119,0.000,148,148,148,12.392,3.130
120,0.000,98,98,98,12.335,3.569
121,0.000,52,52,52,13.952,3.271
122,0.000,110,110,110,14.435,4.293
123,0.000,135,135,135,13.541,2.208
