 ,Area,Mean,Min,Max,X,Y
1,0.000,74,74,74,4.500,1.688
2,0.000,126,126,126,4.148,1.384
3,0.000,120,120,120,4.342,1.273
4,0.000,73,73,73,4.481,0.967
5,0.000,116,116,116,6.036,3.453
6,0.000,46,46,46,4.161,7.481
7,0.000,89,89,89,4.356,7.773
8,0.000,107,107,107,1.967,7.661
9,0.000,62,62,62,1.439,7.745
10,0.000,132,132,132,4.286,9.245
11,0.000,130,130,130,4.564,8.967
12,0.000,74,74,74,4.939,9.661
13,0.000,136,136,136,9.925,7.620
14,0.000,116,116,116,9.300,7.398
15,0.000,63,63,63,9.175,6.606
16,0.000,140,140,140,9.911,5.689
17,0.000,7,7,7,9.911,6.648
18,0.000,83,83,83,10.814,6.106
19,0.000,108,108,108,10.911,6.842
20,0.000,131,131,131,11.078,5.259
21,0.000,84,84,84,11.536,4.870
22,0.000,111,111,111,11.439,4.259
23,0.000,138,138,138,11.286,1.925
24,0.000,79,79,79,11.009,2.092
25,0.000,134,134,134,10.675,2.078
26,0.000,68,68,68,10.481,1.870
27,0.000,206,206,206,8.231,3.467
28,0.000,124,124,124,14.273,1.939
29,0.000,147,147,147,13.884,0.967
30,0.000,144,144,144,14.148,0.536
31,0.000,174,174,174,14.523,0.036
