 ,Area,Mean,Min,Max,X,Y
1,0.000,70,70,70,3.094,0.708
2,0.000,90,90,90,4.328,0.286
3,0.000,155,155,155,2.717,3.439
4,0.000,111,111,111,3.911,3.036
5,0.000,148,148,148,5.648,3.689
6,0.000,69,69,69,4.411,9.453
7,0.000,119,119,119,0.773,10.536
8,0.000,163,163,163,0.536,9.981
9,0.000,166,166,166,6.370,6.939
10,0.000,241,241,241,6.759,7.203
11,0.000,73,73,73,4.870,8.814
12,0.000,120,120,120,4.898,8.300
13,0.000,169,169,169,4.064,8.509
14,0.000,187,187,187,6.356,10.495
15,0.000,45,45,45,6.884,10.425
16,0.000,81,81,81,14.335,8.364
17,0.000,143,143,143,13.952,8.435
18,0.000,111,111,111,13.257,8.491
19,0.000,138,138,138,13.541,8.775
20,0.000,104,104,104,13.498,9.158
21,0.000,152,152,152,14.335,9.115
22,0.000,95,95,95,12.817,8.293
23,0.000,108,108,108,10.477,10.037
24,0.000,152,152,152,9.725,10.704
25,0.000,1,1,1,8.491,10.591
26,0.000,49,49,49,9.215,10.789
