 ,Area,Mean,Min,Max,X,Y
1,0.000,168,168,168,1.521,1.250
2,0.000,67,67,67,1.203,2.161
3,0.000,95,95,95,1.967,2.509
4,0.000,44,44,44,1.911,2.759
5,0.000,74,74,74,2.578,2.884
6,0.000,68,68,68,0.606,4.800
7,0.000,143,143,143,0.536,5.064
8,0.000,153,153,153,1.217,3.592
9,0.000,25,25,25,1.870,3.606
10,0.000,132,132,132,0.967,4.856
11,0.000,171,171,171,2.328,5.203
12,0.000,87,87,87,2.259,6.217
13,0.000,149,149,149,2.981,6.731
14,0.000,0,0,0,3.495,6.884
15,0.000,64,64,64,1.203,7.356
16,0.000,158,158,158,2.078,7.870
17,0.000,135,135,135,1.800,7.981
18,0.000,152,152,152,0.203,8.300
19,0.000,174,174,174,0.189,9.675
20,0.000,106,106,106,3.371,1.413
21,0.000,102,102,102,3.669,0.903
22,0.000,100,100,100,5.229,0.959
23,0.000,94,94,94,6.378,1.612
24,0.000,86,86,86,7.002,1.739
25,0.000,134,134,134,7.016,2.236
26,0.000,19,19,19,7.498,2.548
27,0.000,182,182,182,5.796,3.314
28,0.000,71,71,71,5.271,2.647
29,0.000,94,94,94,5.456,2.888
30,0.000,149,149,149,5.101,1.725
31,0.000,196,196,196,4.037,2.406
32,0.000,154,154,154,2.435,5.059
33,0.000,108,108,108,5.073,6.676
34,0.000,160,160,160,6.264,6.803
35,0.000,108,108,108,4.732,8.789
36,0.000,125,125,125,4.236,9.498
37,0.000,63,63,63,3.754,9.186
38,0.000,17,17,17,3.513,10.222
39,0.000,54,54,54,3.569,10.052
40,0.000,66,66,66,6.534,9.115
41,0.000,177,177,177,7.243,9.669
42,0.000,76,76,76,9.328,10.562
43,0.000,181,181,181,8.321,10.477
44,0.000,72,72,72,8.236,9.697
45,0.000,130,130,130,8.066,9.342
46,0.000,167,167,167,10.165,9.172
47,0.000,76,76,76,11.328,10.137
48,0.000,47,47,47,11.527,9.725
49,0.000,127,127,127,13.513,9.697
50,0.000,106,106,106,14.080,9.569
51,0.000,111,111,111,14.477,8.704
52,0.000,189,189,189,12.463,8.193
53,0.000,10,10,10,11.910,7.825
54,0.000,132,132,132,9.938,6.974
55,0.000,90,90,90,9.101,7.569
56,0.000,11,11,11,8.548,8.307
57,0.000,11,11,11,7.910,7.215
58,0.000,37,37,37,7.498,5.711
59,0.000,153,153,153,7.583,5.442
60,0.000,137,137,137,5.087,4.321
61,0.000,135,135,135,4.704,4.193
62,0.000,233,233,233,3.654,3.896
63,0.000,39,39,39,8.832,0.520
64,0.000,30,30,30,9.541,1.030
65,0.000,139,139,139,9.172,1.328
66,0.000,111,111,111,10.576,1.215
67,0.000,85,85,85,11.598,2.108
68,0.000,116,116,116,11.130,3.952
69,0.000,56,56,56,10.520,4.392
70,0.000,81,81,81,9.300,4.704
71,0.000,154,154,154,8.974,4.491
72,0.000,73,73,73,8.860,4.988
73,0.000,153,153,153,11.513,5.598
74,0.000,146,146,146,12.335,5.612
75,0.000,57,57,57,13.456,4.222
76,0.000,54,54,54,13.754,4.548
77,0.000,81,81,81,13.073,0.690
78,0.000,160,160,160,13.981,0.321
79,0.000,129,129,129,13.952,6.406
80,0.000,218,218,218,14.491,7.115
81,0.000,71,71,71,14.378,6.917
82,0.000,52,52,52,12.988,6.222
