 ,Area,Mean,Min,Max,X,Y
1,0.000,81,81,81,1.219,1.104
2,0.000,81,81,81,1.536,1.675
3,0.000,129,129,129,1.231,2.134
4,0.000,62,62,62,1.939,2.523
5,0.000,92,92,92,2.245,3.064
6,0.000,124,124,124,0.384,0.564
7,0.000,82,82,82,0.189,0.814
8,0.000,112,112,112,0.050,1.314
9,0.000,134,134,134,1.467,0.106
10,0.000,1,1,1,0.703,0.050
11,0.000,70,70,70,0.106,3.134
12,0.000,149,149,149,0.661,4.564
13,0.000,36,36,36,0.425,5.259
14,0.000,104,104,104,0.148,6.620
15,0.000,88,88,88,0.842,7.092
16,0.000,134,134,134,0.092,7.689
17,0.000,106,106,106,1.550,5.300
18,0.000,144,144,144,1.786,4.217
19,0.000,94,94,94,2.092,4.717
20,0.000,0,0,0,2.523,4.925
21,0.000,131,131,131,3.050,5.439
22,0.000,98,98,98,3.814,5.481
23,0.000,150,150,150,4.425,5.161
24,0.000,141,141,141,5.064,2.884
25,0.000,80,80,80,5.828,1.981
26,0.000,105,105,105,6.398,1.467
27,0.000,122,122,122,7.023,1.592
28,0.000,157,157,157,6.481,6.467
29,0.000,110,110,110,6.606,6.036
30,0.000,144,144,144,7.189,5.453
31,0.000,94,94,94,7.314,5.828
32,0.000,119,119,119,7.703,6.036
33,0.000,203,203,203,8.120,5.606
34,0.000,223,223,223,8.731,4.745
35,0.000,118,118,118,9.231,4.550
36,0.000,41,41,41,8.342,4.064
37,0.000,110,110,110,8.856,3.814
38,0.000,76,76,76,9.495,3.592
39,0.000,93,93,93,9.342,3.911
40,0.000,86,86,86,12.231,1.536
41,0.000,171,171,171,13.036,1.411
42,0.000,107,107,107,12.675,0.439
43,0.000,152,152,152,13.467,2.161
44,0.000,136,136,136,13.078,2.578
45,0.000,252,252,252,14.009,3.384
46,0.000,112,112,112,13.231,6.411
47,0.000,145,145,145,12.717,7.134
48,0.000,120,120,120,13.786,6.689
49,0.000,75,75,75,13.453,6.495
50,0.000,67,67,67,11.967,8.189
51,0.000,63,63,63,11.398,8.995
52,0.000,89,89,89,14.148,8.342
53,0.000,81,81,81,8.523,1.286
