 ,Area,Mean,Min,Max,X,Y
1,0.000,96,96,96,1.375,3.188
2,0.000,130,130,130,0.917,2.364
3,0.000,140,140,140,1.498,1.938
4,0.000,94,94,94,2.605,2.860
5,0.000,110,110,110,2.874,3.342
6,0.000,72,72,72,2.165,3.881
7,0.000,150,150,150,2.293,7.158
8,0.000,82,82,82,1.796,7.271
9,0.000,104,104,104,1.966,7.952
10,0.000,124,124,124,2.775,8.349
11,0.000,130,130,130,1.513,8.903
12,0.000,116,116,116,1.484,10.576
13,0.000,172,172,172,1.924,10.576
14,0.000,172,172,172,2.023,10.775
15,0.000,207,207,207,7.002,9.612
16,0.000,174,174,174,7.910,9.257
17,0.000,122,122,122,9.200,9.002
18,0.000,148,148,148,9.456,7.796
19,0.000,84,84,84,8.491,7.498
20,0.000,130,130,130,7.995,7.583
21,0.000,108,108,108,5.966,8.676
22,0.000,118,118,118,4.860,7.087
23,0.000,160,160,160,4.832,4.222
24,0.000,176,176,176,4.945,3.910
25,0.000,164,164,164,5.130,3.640
26,0.000,122,122,122,5.371,3.924
27,0.000,200,200,200,5.144,4.435
28,0.000,74,74,74,7.144,4.449
29,0.000,162,162,162,7.612,4.222
30,0.000,102,102,102,7.498,0.066
31,0.000,94,94,94,7.442,4.988
32,0.000,158,158,158,7.456,5.413
33,0.000,136,136,136,7.498,5.825
34,0.000,146,146,146,6.690,6.505
35,0.000,78,78,78,6.988,6.137
36,0.000,114,114,114,7.569,6.605
37,0.000,58,58,58,8.364,5.896
38,0.000,152,152,152,8.903,6.548
39,0.000,166,166,166,8.931,5.371
40,0.000,27,27,27,8.392,5.059
41,0.000,124,124,124,7.910,4.846
42,0.000,144,144,144,8.817,4.562
43,0.000,110,110,110,9.257,4.491
44,0.000,84,84,84,9.257,3.924
45,0.000,69,69,69,14.392,10.179
46,0.000,144,144,144,14.137,9.697
47,0.000,61,61,61,13.498,9.612
48,0.000,102,102,102,13.697,10.165
49,0.000,29,29,29,13.186,9.867
50,0.000,150,150,150,12.661,10.151
51,0.000,90,90,90,12.278,10.094
52,0.000,144,144,144,12.449,10.420
53,0.000,96,96,96,12.846,10.576
54,0.000,55,55,55,14.633,10.661
55,0.000,0,0,0,14.094,10.676
56,0.000,148,148,148,12.264,7.938
57,0.000,130,130,130,12.264,8.491
58,0.000,100,100,100,13.825,6.406
59,0.000,140,140,140,12.605,2.718
60,0.000,193,193,193,6.761,9.995
