 ,Area,Mean,Min,Max,X,Y
1,0.000,79,79,79,0.083,0.396
2,0.000,153,153,153,0.050,1.550
3,0.000,64,64,64,0.231,2.467
4,0.000,71,71,71,0.356,2.745
5,0.000,83,83,83,1.453,2.370
6,0.000,88,88,88,2.675,2.050
7,0.000,97,97,97,2.703,2.273
8,0.000,115,115,115,2.453,2.092
9,0.000,65,65,65,1.286,3.523
10,0.000,90,90,90,0.981,4.523
11,0.000,240,240,240,1.564,4.773
12,0.000,67,67,67,0.523,5.411
13,0.000,30,30,30,0.453,5.731
14,0.000,93,93,93,1.314,6.925
15,0.000,139,139,139,2.134,7.106
16,0.000,141,141,141,2.509,6.967
17,0.000,90,90,90,3.064,7.064
18,0.000,114,114,114,0.023,9.328
19,0.000,100,100,100,0.398,9.050
20,0.000,119,119,119,0.398,10.009
21,0.000,140,140,140,1.536,10.328
22,0.000,0,0,0,2.335,10.775
23,0.000,0,0,0,2.009,10.080
24,0.000,121,121,121,2.122,9.342
25,0.000,201,201,201,1.952,9.101
26,0.000,187,187,187,1.442,8.959
27,0.000,103,103,103,2.576,8.619
28,0.000,49,49,49,3.186,9.030
29,0.000,74,74,74,3.711,9.101
30,0.000,130,130,130,4.349,8.945
31,0.000,96,96,96,5.158,8.520
32,0.000,235,235,235,4.520,7.711
33,0.000,186,186,186,5.257,7.044
34,0.000,139,139,139,4.888,6.959
35,0.000,217,217,217,4.874,6.463
36,0.000,74,74,74,4.037,6.208
37,0.000,13,13,13,3.725,4.988
38,0.000,179,179,179,4.520,2.732
39,0.000,64,64,64,5.101,0.250
40,0.000,77,77,77,6.619,0.690
41,0.000,99,99,99,7.215,0.193
42,0.000,109,109,109,5.938,1.484
43,0.000,76,76,76,5.626,1.853
44,0.000,90,90,90,5.711,2.576
45,0.000,155,155,155,5.669,2.945
46,0.000,126,126,126,6.250,2.789
47,0.000,130,130,130,6.392,3.541
48,0.000,164,164,164,5.825,3.924
49,0.000,198,198,198,6.293,4.250
50,0.000,115,115,115,6.534,4.761
51,0.000,46,46,46,6.931,7.768
52,0.000,38,38,38,6.775,2.264
53,0.000,68,68,68,7.016,2.676
54,0.000,64,64,64,6.945,3.555
55,0.000,94,94,94,8.052,3.924
56,0.000,71,71,71,8.052,2.406
57,0.000,230,230,230,11.172,2.250
58,0.000,51,51,51,9.002,0.165
59,0.000,0,0,0,14.122,2.747
60,0.000,75,75,75,14.250,5.966
61,0.000,120,120,120,9.995,5.598
62,0.000,90,90,90,7.768,6.250
63,0.000,117,117,117,8.208,7.981
64,0.000,20,20,20,8.775,9.739
65,0.000,129,129,129,8.860,10.066
66,0.000,173,173,173,8.817,10.477
67,0.000,115,115,115,10.137,9.796
68,0.000,106,106,106,10.562,10.747
69,0.000,92,92,92,10.718,10.576
70,0.000,1,1,1,10.974,9.541
71,0.000,164,164,164,12.959,9.513
72,0.000,79,79,79,13.541,9.810
73,0.000,69,69,69,13.130,10.534
74,0.000,58,58,58,13.739,10.633
75,0.000,100,100,100,14.009,9.513
76,0.000,150,150,150,14.052,9.243
77,0.000,141,141,141,14.236,9.044
78,0.000,39,39,39,14.562,9.513
79,0.000,6,6,6,14.647,8.718
