 ,Area,Mean,Min,Max,X,Y
1,0.000,71,71,71,0.510,1.750
2,0.000,119,119,119,2.647,0.647
3,0.000,177,177,177,3.796,0.165
4,0.000,155,155,155,2.974,2.264
5,0.000,30,30,30,3.385,1.981
6,0.000,109,109,109,1.754,2.122
7,0.000,147,147,147,2.562,3.200
8,0.000,249,249,249,2.264,3.371
9,0.000,19,19,19,1.356,4.378
10,0.000,69,69,69,0.505,4.009
11,0.000,121,121,121,0.023,4.449
12,0.000,91,91,91,0.066,5.002
13,0.000,76,76,76,0.009,5.456
14,0.000,1,1,1,0.704,5.498
15,0.000,160,160,160,1.016,5.669
16,0.000,126,126,126,1.328,5.130
17,0.000,114,114,114,1.952,4.874
18,0.000,156,156,156,2.392,4.548
19,0.000,175,175,175,1.498,6.009
20,0.000,59,59,59,2.917,5.229
21,0.000,107,107,107,2.179,6.775
22,0.000,97,97,97,1.825,6.690
23,0.000,103,103,103,1.456,6.463
24,0.000,187,187,187,1.115,7.442
25,0.000,110,110,110,0.278,6.704
26,0.000,142,142,142,0.278,8.860
27,0.000,99,99,99,1.810,9.073
28,0.000,70,70,70,1.711,8.747
29,0.000,40,40,40,1.924,9.754
30,0.000,230,230,230,1.229,10.080
31,0.000,218,218,218,2.647,9.541
32,0.000,169,169,169,3.186,9.896
33,0.000,3,3,3,3.243,9.115
34,0.000,158,158,158,3.669,9.229
35,0.000,144,144,144,4.165,8.832
36,0.000,98,98,98,4.817,9.200
37,0.000,0,0,0,5.087,8.236
38,0.000,129,129,129,5.583,7.186
39,0.000,164,164,164,4.463,6.931
40,0.000,192,192,192,4.080,7.328
41,0.000,70,70,70,4.052,6.193
42,0.000,105,105,105,5.186,5.910
43,0.000,170,170,170,5.754,5.825
44,0.000,12,12,12,5.257,5.356
45,0.000,101,101,101,4.817,5.356
46,0.000,155,155,155,5.399,5.115
47,0.000,134,134,134,5.456,4.477
48,0.000,32,32,32,6.137,5.144
49,0.000,127,127,127,4.959,2.534
50,0.000,70,70,70,5.924,1.981
51,0.000,39,39,39,6.037,2.378
52,0.000,38,38,38,6.321,0.080
53,0.000,43,43,43,6.250,0.435
54,0.000,124,124,124,6.761,1.981
55,0.000,80,80,80,7.271,1.569
56,0.000,163,163,163,7.640,1.016
57,0.000,152,152,152,7.995,0.576
58,0.000,167,167,167,8.165,0.803
59,0.000,135,135,135,8.477,1.059
60,0.000,128,128,128,9.030,0.491
61,0.000,161,161,161,8.732,1.215
62,0.000,101,101,101,8.661,1.924
63,0.000,89,89,89,9.229,1.427
64,0.000,169,169,169,9.498,1.144
65,0.000,65,65,65,9.981,1.342
66,0.000,69,69,69,10.193,1.286
67,0.000,134,134,134,10.094,0.165
68,0.000,34,34,34,10.676,1.754
69,0.000,1,1,1,11.087,1.399
70,0.000,212,212,212,12.435,1.427
71,0.000,251,251,251,13.541,1.200
72,0.000,165,165,165,13.697,0.435
73,0.000,72,72,72,12.775,2.364
74,0.000,199,199,199,12.562,2.151
75,0.000,136,136,136,14.193,3.442
76,0.000,178,178,178,14.633,4.037
77,0.000,144,144,144,13.796,5.016
78,0.000,107,107,107,13.016,4.647
79,0.000,43,43,43,12.392,3.442
80,0.000,44,44,44,11.938,3.839
81,0.000,1,1,1,11.286,3.427
82,0.000,162,162,162,11.555,4.321
83,0.000,81,81,81,11.172,5.243
84,0.000,154,154,154,10.718,4.392
85,0.000,99,99,99,9.881,5.286
86,0.000,142,142,142,9.442,4.619
87,0.000,193,193,193,9.101,4.378
88,0.000,3,3,3,9.300,3.825
89,0.000,72,72,72,8.888,3.498
90,0.000,95,95,95,8.364,3.456
91,0.000,143,143,143,7.825,4.193
92,0.000,33,33,33,7.030,4.208
93,0.000,26,26,26,7.683,4.576
94,0.000,160,160,160,7.910,6.293
95,0.000,175,175,175,7.810,7.626
96,0.000,43,43,43,8.548,7.470
97,0.000,91,91,91,8.023,8.193
98,0.000,91,91,91,7.527,8.633
99,0.000,46,46,46,7.243,8.520
100,0.000,138,138,138,7.030,8.917
101,0.000,124,124,124,8.293,9.598
102,0.000,138,138,138,9.810,10.222
103,0.000,150,150,150,9.896,10.803
104,0.000,140,140,140,10.633,9.243
105,0.000,53,53,53,10.959,8.591
106,0.000,154,154,154,11.583,10.108
107,0.000,53,53,53,13.867,9.867
108,0.000,100,100,100,11.427,7.754
109,0.000,126,126,126,12.888,7.782
110,0.000,104,104,104,11.782,7.144
111,0.000,72,72,72,11.456,7.073
112,0.000,165,165,165,11.059,7.030
113,0.000,93,93,93,9.768,6.108
114,0.000,152,152,152,11.413,5.711
115,0.000,170,170,170,12.420,5.853
116,0.000,103,103,103,13.513,6.208
117,0.000,37,37,37,10.222,5.924
