 ,Area,Mean,Min,Max,Angle,Length
1,0.011,113.262,13.625,226.391,-26.065,1.068
2,0.011,113.262,13.625,226.391,-26.065,1.068
3,0.008,127.695,35.641,240.473,-8.807,0.744
4,0.008,127.120,19.698,198.453,-135.000,0.766
5,0.008,127.120,19.698,198.453,-135.000,0.766
6,0.010,124.907,39.386,175.135,-88.755,0.959
7,0.008,128.191,96.378,201.860,168.690,0.735
8,0.008,128.191,96.378,201.860,168.690,0.735
9,0.007,126.731,84.599,177.146,-47.545,0.659
10,0.007,128.367,56.786,182.314,-162.429,0.655
11,0.009,122.553,44.009,222.309,-13.707,0.872
12,0.004,126.650,36.354,243.619,94.899,0.362
13,0.004,124.332,57.333,239.167,-171.119,0.338
14,0.004,123.990,35.528,240.159,-96.911,0.350
15,0.007,125.492,1.369,236.236,-164.827,0.633
16,0.005,122.452,7.571,218.667,102.381,0.441
17,0.005,122.452,7.571,218.667,102.381,0.441
18,0.009,122.108,23.718,230.408,64.687,0.845
19,0.009,122.108,23.718,230.408,64.687,0.845
20,0.006,126.714,40.189,223.528,-16.504,0.593
21,0.006,126.714,40.189,223.528,-16.504,0.593
22,0.008,127.418,3.602,228.121,-109.654,0.782
23,0.006,128.958,11.131,232.234,94.574,0.529
24,0.006,128.958,11.131,232.234,94.574,0.529
25,0.006,132.757,81.110,194.891,22.203,0.555
26,0.006,132.757,81.110,194.891,22.203,0.555
27,0.005,129.179,39.804,231.540,35.218,0.428
28,0.005,129.179,39.804,231.540,35.218,0.428
29,0.012,134.116,38.891,226.389,-60.322,1.120
30,0.005,139.304,24.585,240.192,-117.121,0.485
31,0.005,139.304,24.585,240.192,-117.121,0.485
32,0.005,123.849,4.639,229.600,-138.576,0.473
33,0.005,123.849,4.639,229.600,-138.576,0.473
34,0.006,120.654,37.154,227.318,-3.240,0.556
35,0.006,120.654,37.154,227.318,-3.240,0.556
36,0.009,123.019,42.262,181.993,7.400,0.813
