 ,Area,Mean,Min,Max,X,Y
1,0.000,174,174,174,0.802,1.177
2,0.000,38,38,38,0.974,1.399
3,0.000,124,124,124,1.286,1.427
4,0.000,94,94,94,0.647,2.052
5,0.000,55,55,55,0.761,2.278
6,0.000,13,13,13,1.002,1.995
7,0.000,26,26,26,1.115,2.364
8,0.000,57,57,57,3.583,8.591
9,0.000,140,140,140,3.938,9.044
10,0.000,81,81,81,5.257,8.023
11,0.000,81,81,81,7.059,6.931
12,0.000,55,55,55,6.080,6.619
13,0.000,150,150,150,5.995,6.392
14,0.000,114,114,114,5.881,6.137
15,0.000,35,35,35,5.328,5.966
16,0.000,134,134,134,5.257,6.222
17,0.000,115,115,115,5.427,6.420
18,0.000,108,108,108,5.527,6.803
19,0.000,125,125,125,5.215,0.661
20,0.000,105,105,105,4.817,0.122
21,0.000,83,83,83,5.683,0.959
22,0.000,116,116,116,5.995,1.513
23,0.000,119,119,119,6.619,1.314
24,0.000,59,59,59,6.392,0.718
25,0.000,160,160,160,6.860,0.548
26,0.000,31,31,31,7.966,0.009
27,0.000,149,149,149,7.881,4.690
28,0.000,176,176,176,8.775,4.974
29,0.000,134,134,134,8.534,4.477
30,0.000,164,164,164,9.016,4.463
31,0.000,139,139,139,9.527,4.293
32,0.000,98,98,98,13.413,4.137
33,0.000,70,70,70,11.569,3.527
34,0.000,156,156,156,11.087,3.044
35,0.000,8,8,8,11.654,2.917
36,0.000,120,120,120,10.704,2.009
37,0.000,124,124,124,11.541,1.654
38,0.000,101,101,101,12.037,1.583
39,0.000,89,89,89,12.250,0.761
40,0.000,101,101,101,12.052,0.349
41,0.000,128,128,128,12.917,0.661
42,0.000,136,136,136,13.555,0.364
