 ,Area,Mean,Min,Max,X,Y
1,0.000,48,48,48,1.698,1.104
2,0.000,235,235,235,1.697,1.924
3,0.000,89,89,89,1.229,4.037
4,0.000,133,133,133,0.122,3.966
5,0.000,70,70,70,0.137,9.356
6,0.000,103,103,103,1.158,10.775
7,0.000,163,163,163,3.286,7.144
8,0.000,63,63,63,3.300,6.477
9,0.000,148,148,148,2.860,6.165
10,0.000,101,101,101,4.435,1.896
11,0.000,70,70,70,4.619,1.484
12,0.000,138,138,138,5.569,1.881
13,0.000,43,43,43,7.356,2.959
14,0.000,150,150,150,6.037,7.229
15,0.000,80,80,80,5.782,7.541
16,0.000,112,112,112,8.307,6.832
17,0.000,106,106,106,9.356,5.527
18,0.000,140,140,140,10.775,5.399
19,0.000,114,114,114,11.442,6.732
20,0.000,138,138,138,12.364,7.896
21,0.000,76,76,76,10.860,8.264
22,0.000,106,106,106,10.392,8.789
23,0.000,151,151,151,13.342,7.527
24,0.000,121,121,121,13.399,8.463
25,0.000,150,150,150,13.881,9.257
26,0.000,111,111,111,13.825,6.052
27,0.000,139,139,139,14.208,5.215
28,0.000,141,141,141,14.619,4.789
29,0.000,99,99,99,13.286,4.094
30,0.000,112,112,112,13.229,4.548
31,0.000,92,92,92,12.974,4.548
32,0.000,118,118,118,12.718,4.647
33,0.000,93,93,93,14.307,1.725
34,0.000,69,69,69,8.151,-0.005
35,0.000,152,152,152,7.910,0.250
36,0.000,53,53,53,7.768,0.477
37,0.000,48,48,48,10.803,1.271
38,0.000,92,92,92,10.988,0.931
39,0.000,137,137,137,11.541,1.371
40,0.000,134,134,134,12.037,1.271
41,0.000,46,46,46,11.669,0.718
42,0.000,147,147,147,12.108,0.378
43,0.000,141,141,141,12.789,0.179
