 ,Area,Mean,Min,Max,Angle,Length
1,0.004,118.667,18.762,244.348,-120.700,0.386
2,0.004,118.667,18.762,244.348,-120.700,0.386
3,0.005,112.118,6.122,242.879,-35.838,0.459
4,0.005,112.118,6.122,242.879,-35.838,0.459
5,0.008,124.371,20.222,226.867,-22.218,0.797
6,0.008,124.371,20.222,226.867,-22.218,0.797
7,0.004,119.399,60.406,239.450,-106.858,0.361
8,0.004,119.399,60.406,239.450,-106.858,0.361
9,0.008,126.234,21.988,195.243,152.765,0.795
10,0.004,125.255,23.370,221.571,128.157,0.375
11,0.004,125.255,23.370,221.571,128.157,0.375
12,0.007,124.952,21.608,225.007,5.194,0.697
13,0.003,116.279,26.672,208.423,-98.130,0.295
14,0.003,116.279,26.672,208.423,-98.130,0.295
15,0.007,128.851,44.352,228.045,30.964,0.610
16,0.007,128.851,44.352,228.045,30.964,0.610
17,0.007,120.146,44.157,190.333,167.276,0.657
18,0.003,105.825,0.407,235.466,-98.130,0.295
19,0.003,105.825,0.407,235.466,-98.130,0.295
20,0.009,117.895,5.351,230.347,-126.870,0.833
21,0.008,118.529,15.380,251.987,-117.897,0.801
22,0.018,128.380,56.618,249.971,66.710,1.715
23,0.009,121.782,3.803,254.113,-88.512,0.809
24,0.005,128.086,6.635,253.603,-102.995,0.423
25,0.005,128.086,6.635,253.603,-102.995,0.423
26,0.018,128.562,6.438,253.856,4.263,1.679
27,0.019,127.628,31.612,245.303,-142.997,1.793
28,0.005,114.986,0.170,237.005,6.340,0.472
29,0.005,114.986,0.170,237.005,6.340,0.472
30,0.014,121.517,22.027,216.059,-169.655,1.341
31,0.005,129.897,36.250,243.576,104.349,0.454
32,0.005,129.897,36.250,243.576,104.349,0.454
33,0.015,121.338,5.149,242.893,-11.646,1.391
34,0.005,123.229,60.447,230.754,-110.695,0.503
35,0.006,126.479,2.981,252.599,168.690,0.534
