Elapsed,PC9,E,R,ER,EHGF,EFGF,EIGF,KOE,KOR,KOER,,,,,,
0,4.399180667,4.067894667,4.896368,5.152186667,5.079200333,4.326962667,4.436723667,6.875466,10.24561833,9.674107667,,,,,,
3,5.353098333,5.142068,6.041057333,6.193068,6.314443667,5.443840667,5.023531667,9.677762,12.56064667,11.61104,,,,,,
6,6.087040667,5.907184,6.2743,6.172603333,7.246110333,6.229706,5.72862,11.17272,13.24484667,11.85736667,,,,,,
9,6.741820667,7.117273667,7.111708333,6.779005,8.425429333,7.000603667,6.655631667,13.37031,15.61107,13.70533333,,,,,,
12,7.376637,8.312675333,8.20622,7.636427667,9.270719333,8.048882667,7.629701667,15.50760667,18.18335333,15.82055333,,,,,,
15,8.253056333,9.510113667,9.33625,8.618100667,10.27005333,9.051657667,8.440822667,16.59981,19.84518667,17.38598,,,,,,
18,8.934999333,10.30237433,10.067575,9.464739333,11.39065,9.987814,9.448128,17.60559,21.38847,18.67818,,,,,,
21,9.922051667,11.23877667,10.99040233,10.086234,12.93589,11.13919233,10.41904233,18.72159,23.28507667,20.05367,,,,,,
24,10.91669133,12.21980333,12.11819,11.06262,14.56574,12.15735333,11.55817667,19.51375667,25.40422667,21.16565333,,,,,,
27,12.11760667,13.04629,13.08284,12.02846667,16.20437333,13.58973667,12.62483,20.78328,27.39149667,22.21069,,,,,,
30,13.50693333,13.75464,13.71417333,12.26829333,17.83157667,14.53836333,13.46350333,21.23017333,28.74862,22.31029667,,,,,,
33,14.94622333,14.45756,14.33222667,12.50988,19.69750333,15.97036,14.56679333,21.69857,30.78832333,22.86669333,,,,,,
36,17.12243333,15.07244667,15.17193667,12.79300667,21.74004333,17.79164667,15.76474667,22.37271,32.30353667,23.44229,,,,,,
39,19.39411667,15.84531667,16.08196,12.82735667,24.18363,19.75324667,16.96840667,23.01273333,34.54577667,24.01638333,,,,,,
42,22.05965667,16.66680667,16.85236667,12.62994,26.66377333,21.61939333,18.18744333,23.17348,37.23539333,24.13317,,,,,,
45,24.79230667,17.40515333,17.72099,12.76505667,28.93001,24.05987667,19.59482667,23.68556,40.04481,24.39406333,,,,,,
48,28.26658667,18.10776333,18.6636,12.86768667,31.20456667,26.22619,20.69939667,24.13403667,43.15961667,24.86646,,,,,,
51,32.78978667,18.77833333,19.84024333,13.14666,33.75119333,29.07220333,21.99147,24.91227,46.13708333,25.61650333,,,,,,
54,38.23128333,19.21624667,21.16336,13.24843,35.55788333,31.91564667,23.21665333,25.34735333,49.12334333,26.21864333,,,,,,
57,43.43092333,20.04751,22.28919333,13.29259667,37.15327667,34.96490333,24.36363667,25.81350333,51.71818333,26.57472,,,,,,
60,49.42175667,20.97851333,24.00683333,13.63758667,39.1532,38.87184333,25.56175667,26.75160333,55.48907,27.20175,,,,,,
63,55.60626,21.53018333,25.49418333,13.95548667,40.24771333,42.59610333,26.65715333,26.96151667,58.20492667,27.80093333,,,,,,
66,61.47951333,21.70540333,26.86075333,13.88971333,41.21818,45.96782,27.55757333,27.21461667,60.33612333,27.51119333,,,,,,
69,68.11711667,22.27683667,28.40018,14.34861,42.51983333,49.88155,28.30587,28.18126667,64.01045667,28.79181667,,,,,,
72,74.6743,22.94104667,29.87131333,14.46217667,43.53943667,53.98347667,29.39789,28.79178,67.63003667,29.46649667,,,,,,
75,80.59234,24.03093667,31.76865333,14.76300333,44.13859667,58.00475667,30.42223,29.61041333,71.04894,30.32074,,,,,,
78,85.59561,25.25774,33.64947,15.41625667,45.19482333,62.71457333,31.48398,31.05102667,73.73834333,31.12939667,,,,,,
81,89.30455333,26.37298,35.99966333,16.02392667,46.27532667,66.96576667,32.32065667,31.53903,76.78793333,32.05948667,,,,,,
84,92.30256667,27.65607667,37.89353667,16.43895333,48.24915,70.76104667,33.34285333,33.56738,79.33641333,33.14056667,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,, 
