Type,Sample,P-AXL,p-EGFR,,P-AXL,p-EGFR,Total Events
LB,PC9 UT,283,2016,,94,34,128
LB,PC9 UT,365,2390,,23,12,35
LB,PC9 E,497,340,,9,2,11
LB,PC9 E,336,190,,39,11,50
LB,PC9 EA,556,461,,2,1,3
LB,PC9 EA,657.5,644,,8,2,10
LB,KO UT,105.5,43,,16,3,19
LB,KO UT,113,3112,,97,27,124
LB,KO E,106,440,,51,15,66
LB,KO E,126.5,436,,20,9,29
Dil AB,PC9 UT,104.5,47,,8,4,12
Dil AB,PC9 UT,571,3154.5,,20,10,30
Dil AB,PC9 E,835,455,,35,3,38
Dil AB,PC9 E,459,367,,5,4,9
Dil AB,PC9 EA,1989,1124,,25,16,41
Dil AB,PC9 EA,1877,1070,,72,31,103
Dil AB,KO UT,104,3026,,45,25,70
Dil AB,KO UT,107.5,NaN,,2,0,2
Dil AB,KO E,114.5,660,,56,23,79
Dil AB,KO E,117.5,514,,44,10,54
