,Ranking,#Clusters,GMMweights,#ComponentsPLSR,mean_test_scores,mean_train_scores
3,1,2,2.5,2,-11.394669932466606,-7.25659731079827
5,2,2,5,2,-11.852214410813758,-7.301870544598293
1,3,2,0.5,2,-11.875249329171663,-7.5465280313960905
19,4,4,2.5,1,-12.983479142337066,-7.450285092812716
32,5,5,2.5,1,-13.149581581357385,-7.374561635211373
27,6,5,0.5,1,-13.354860800235949,-7.367209228363983
42,7,6,0.5,1,-13.356816010796004,-7.313067048911748
67,8,7,2.5,1,-13.389536483482203,-7.317714424952877
9,9,3,2.5,1,-13.492449767497826,-7.433887929945873
23,10,4,5,1,-13.813687880588727,-7.415974459594399
15,11,4,0.5,1,-13.850592222930894,-7.301920440384242
48,12,6,2.5,1,-13.870038561160058,-7.453537226080959
60,13,7,0.5,1,-13.88704755947702,-7.590647302527441
0,14,2,0.5,1,-13.956264040660702,-8.23161903483967
6,15,3,0.5,1,-14.05608145623134,-7.39826628974023
37,16,5,5,1,-14.183468332964111,-7.531469193712079
12,17,3,5,1,-14.365317717418725,-7.263130862403581
2,18,2,2.5,1,-14.381087306440952,-8.17888535587244
54,19,6,5,1,-14.474460101978005,-7.386899191648749
74,20,7,5,1,-14.535346941761357,-7.465371765826525
4,21,2,5,1,-15.470260436325225,-8.133423774811957
28,22,5,0.5,2,-16.25265768303202,-6.210096631684776
31,23,5,0.5,5,-16.87126024840275,-4.5501166068466485
30,24,5,0.5,4,-16.99880032980684,-5.173680067105512
49,25,6,2.5,2,-17.172426774303283,-6.690592535637515
24,26,4,5,2,-17.623958755504933,-6.957674045760629
20,27,4,2.5,2,-17.725632227815627,-7.011749259882885
45,28,6,0.5,4,-18.215044544999625,-4.220415762748951
46,29,6,0.5,5,-18.659256025914598,-3.162934609482294
7,30,3,0.5,2,-19.10181749922038,-7.177106772953981
10,31,3,2.5,2,-19.419438901230603,-7.0799962524321085
13,32,3,5,2,-19.42513443099232,-7.135772252795547
34,33,5,2.5,3,-19.948000372216587,-6.334384052087037
33,34,5,2.5,2,-20.06496933727823,-6.420917099989262
29,35,5,0.5,3,-20.196693919952157,-6.425268621683199
76,36,7,5,3,-20.20620220759387,-4.126467198432499
44,37,6,0.5,3,-20.268407767553377,-5.4853932303088975
75,38,7,5,2,-20.357513277752936,-6.182965526002325
43,39,6,0.5,2,-20.39784416928135,-6.497544587514019
50,40,6,2.5,3,-21.402156979504774,-5.657067148424291
22,41,4,2.5,4,-21.53591675163131,-4.887917603340704
21,42,4,2.5,3,-21.6893364801287,-6.788090968639137
52,43,6,2.5,5,-21.91701879509597,-3.9243942988016487
25,44,4,5,3,-22.081706319922848,-6.451422396753713
68,45,7,2.5,2,-22.846110415750466,-6.032037404354119
61,46,7,0.5,2,-23.21629819099845,-6.409894061333051
55,47,6,5,2,-23.798208694648807,-6.227554501721274
36,48,5,2.5,5,-24.540919862978974,-4.558737801694209
11,49,3,2.5,3,-24.728553101340005,-6.551834240868556
35,50,5,2.5,4,-24.917944967787484,-5.771651625496308
18,51,4,0.5,4,-25.35895255407734,-5.5791396042675085
16,52,4,0.5,2,-25.698066119109804,-6.980971876518678
8,53,3,0.5,3,-25.917339957547078,-6.367994999311564
59,54,6,5,6,-26.487147805564838,-2.8728662269241516
41,55,5,5,5,-26.898262344593444,-3.2246559491634565
72,56,7,2.5,6,-27.434571490409944,-1.330381018331941
79,57,7,5,6,-27.549429960748732,-1.9310862469013141
62,58,7,0.5,3,-29.570503048852338,-4.879578357286026
77,59,7,5,4,-29.979133462485358,-4.685822939292495
17,60,4,0.5,3,-30.697814628399517,-6.526265839835011
53,61,6,2.5,6,-30.841309960820574,-3.0587736848561455
57,62,6,5,4,-31.261710818487664,-4.314260913590157
39,63,5,5,3,-31.299600977438736,-5.532818650286104
63,64,7,0.5,4,-31.42901820291878,-3.9950632066125613
14,65,3,5,3,-34.843681460266964,-6.600983197957501
69,66,7,2.5,3,-36.216932579515046,-5.30411233843251
40,67,5,5,4,-36.22169402438105,-4.788325948083576
70,68,7,2.5,4,-36.59236725223594,-4.067773408634545
26,69,4,5,4,-36.67855936750426,-5.252338434670749
71,70,7,2.5,5,-37.675478630017935,-3.5829903025679437
51,71,6,2.5,4,-37.85723859993163,-5.004950676545908
64,72,7,0.5,5,-45.503778374190254,-3.0767965883887323
38,73,5,5,2,-46.88382007481042,-6.508478404049006
56,74,6,5,3,-46.97915091766933,-4.825175315999723
78,75,7,5,5,-53.26438084627229,-2.721214950873711
65,76,7,0.5,6,-58.86451698414602,-2.2644309876225703
58,77,6,5,5,-62.10964666682033,-3.7416992421299526
47,78,6,0.5,6,-71.59823788484985,-2.9200449547830307
80,79,7,5,7,-125.30209034397478,-1.278754701285089
66,80,7,0.5,7,-527.3887235634185,-1.498116328764937
73,81,7,2.5,7,-678.7726145734665,-0.7965773660025961
