,Ranking,#Clusters,GMMweights,#ComponentsPLSR,mean_test_scores,mean_train_scores
3,1,2,2.5,2,-11.49303857767604,-7.264196987713308
1,2,2,0.5,2,-12.030554465247723,-7.396359134160932
13,3,3,5,2,-13.226831308746203,-7.094469607563132
24,4,4,5,2,-13.428525308250538,-6.479735602224824
54,5,6,5,1,-13.526919392449386,-8.135111256702263
42,6,6,0.5,1,-13.556408130188311,-8.123809586887326
32,7,5,2.5,1,-13.688698626672842,-8.109122970255706
19,8,4,2.5,1,-13.798893842765935,-8.155119615460595
20,9,4,2.5,2,-13.808207014142647,-6.845445616769842
76,10,7,5,3,-13.814511169001246,-4.220783571894317
37,11,5,5,1,-13.839410752288348,-8.114974645444653
48,12,6,2.5,1,-13.868670919112294,-8.150357958062386
23,13,4,5,1,-13.869080441709439,-8.160066006313246
6,14,3,0.5,1,-13.933767272608264,-8.167330776750891
74,15,7,5,1,-13.952382290533885,-8.164055245269713
15,16,4,0.5,1,-13.977882031743457,-8.146238774568848
33,17,5,2.5,2,-13.979377745436555,-6.069244729882771
67,18,7,2.5,1,-13.982942894219587,-8.139730129401446
60,19,7,0.5,1,-13.995186216059967,-8.15380562517488
9,20,3,2.5,1,-13.999375080658856,-8.13334596507662
12,21,3,5,1,-14.181636654161258,-8.173614047651103
0,22,2,0.5,1,-14.229400347411627,-8.206073822483763
27,23,5,0.5,1,-14.252101810516786,-8.187552211109864
28,24,5,0.5,2,-14.385971006132968,-6.167378309686606
2,25,2,2.5,1,-14.43988427916212,-8.211807064785678
38,26,5,5,2,-15.503275279469865,-5.697683050259316
4,27,2,5,1,-15.697682695667353,-8.125410825387956
5,28,2,5,2,-15.764478155064344,-7.323730763502125
61,29,7,0.5,2,-16.208605453703804,-6.064617860253958
75,30,7,5,2,-16.77729050516107,-6.430003914887263
16,31,4,0.5,2,-16.90224822779911,-6.789294709047636
49,32,6,2.5,2,-17.244420070442708,-6.0988279653521
7,33,3,0.5,2,-17.895359957583043,-7.079992753008878
10,34,3,2.5,2,-18.225940350321437,-7.14855159000918
43,35,6,0.5,2,-18.481050053937086,-5.867374342135465
39,36,5,5,3,-18.929827904103835,-4.926371255059282
68,37,7,2.5,2,-19.54419277154984,-5.608624966191359
34,38,5,2.5,3,-20.479025290472514,-5.4118607041300555
25,39,4,5,3,-20.998715467459878,-5.887920874154208
55,40,6,5,2,-21.392045388856552,-5.326886107254992
21,41,4,2.5,3,-23.455194117384377,-5.700534737051356
62,42,7,0.5,3,-23.558545203517518,-4.024408366421296
44,43,6,0.5,3,-23.652875571616583,-4.638025912924159
26,44,4,5,4,-24.72895021375529,-5.7480872261497655
29,45,5,0.5,3,-24.91039177428979,-5.550185680261381
69,46,7,2.5,3,-25.447780284502684,-3.3988570469800337
14,47,3,5,3,-26.63569957946915,-6.458684594029772
57,48,6,5,4,-28.29415298820723,-3.9425713027236498
11,49,3,2.5,3,-28.385815252970456,-6.498988861890522
50,50,6,2.5,3,-29.182593047325394,-4.728860703384457
51,51,6,2.5,4,-29.227992903465303,-3.2805299207085845
8,52,3,0.5,3,-29.338344239040516,-6.826140673313017
63,53,7,0.5,4,-29.469923010719533,-2.8042591874962617
18,54,4,0.5,4,-29.50653663660804,-5.248731592971528
36,55,5,2.5,5,-30.333252154224787,-4.043909935171255
64,56,7,0.5,5,-30.567014319756815,-2.4438450179005526
46,57,6,0.5,5,-31.39606062411649,-3.682246590605883
31,58,5,0.5,5,-32.053007209261715,-3.474481376704559
17,59,4,0.5,3,-33.349011660148435,-5.950001399213324
70,60,7,2.5,4,-35.99540020804414,-2.9876137937604925
30,61,5,0.5,4,-37.05294881440916,-4.013025042228065
58,62,6,5,5,-41.08853553654343,-3.072021680446686
35,63,5,2.5,4,-43.403843110765926,-4.272336094982949
22,64,4,2.5,4,-44.597251132236124,-5.292366276448517
45,65,6,0.5,4,-49.20556417561781,-4.408448303698029
71,66,7,2.5,5,-52.03280809223018,-2.087582338405777
52,67,6,2.5,5,-55.00744336149764,-3.1757395432583775
77,68,7,5,4,-55.96449572417623,-2.835395941157248
40,69,5,5,4,-61.24508077040061,-4.352122091327386
56,70,6,5,3,-64.33848104941892,-3.823899392723001
79,71,7,5,6,-65.13219752357641,-1.184040268332954
73,72,7,2.5,7,-68.45987089996376,-1.4491707990246596
41,73,5,5,5,-72.23425604317356,-4.575223260349179
65,74,7,0.5,6,-88.0248019721081,-1.419106795680348
59,75,6,5,6,-92.08860875290706,-1.4215628107349993
53,76,6,2.5,6,-110.42937457784726,-2.7189771007199175
72,77,7,2.5,6,-110.54305447230402,-2.032742920860662
66,78,7,0.5,7,-125.71279370473455,-1.3335471086632296
78,79,7,5,5,-182.23870267475826,-1.4698044380354611
47,80,6,0.5,6,-236.52255996445365,-1.5056135931116255
80,81,7,5,7,-274.60695576008845,-1.7062082328595003
