 ,Area,Mean,Min,Max,X,Y
1,0.000,156,156,156,1.333,1.417
2,0.000,32,32,32,1.555,3.257
3,0.000,2,2,2,2.094,3.626
4,0.000,55,55,55,1.853,3.853
5,0.000,94,94,94,2.562,3.215
6,0.000,174,174,174,0.378,5.669
7,0.000,66,66,66,0.661,6.591
8,0.000,116,116,116,1.456,6.562
9,0.000,143,143,143,0.477,8.179
10,0.000,77,77,77,0.108,8.534
11,0.000,139,139,139,0.988,9.144
12,0.000,201,201,201,0.548,9.825
13,0.000,6,6,6,1.442,10.463
14,0.000,175,175,175,2.278,10.789
15,0.000,145,145,145,1.782,10.222
16,0.000,115,115,115,2.122,10.023
17,0.000,1,1,1,2.676,10.094
18,0.000,118,118,118,3.059,9.754
19,0.000,207,207,207,3.342,9.896
20,0.000,142,142,142,3.669,10.137
21,0.000,81,81,81,3.825,9.910
22,0.000,53,53,53,4.009,10.676
23,0.000,92,92,92,4.278,9.626
24,0.000,84,84,84,3.626,9.130
25,0.000,54,54,54,2.633,9.442
26,0.000,0,0,0,2.505,8.463
27,0.000,189,189,189,2.789,7.172
28,0.000,60,60,60,3.300,6.888
29,0.000,138,138,138,3.725,7.640
30,0.000,103,103,103,4.477,5.995
31,0.000,102,102,102,4.435,6.789
32,0.000,130,130,130,5.356,6.108
33,0.000,60,60,60,5.896,6.576
34,0.000,215,215,215,5.470,6.945
35,0.000,45,45,45,5.938,8.846
36,0.000,109,109,109,5.924,10.463
37,0.000,116,116,116,5.640,10.747
38,0.000,0,0,0,9.002,9.839
39,0.000,154,154,154,10.435,10.349
40,0.000,170,170,170,11.059,9.867
41,0.000,104,104,104,11.286,8.860
42,0.000,151,151,151,10.222,8.832
43,0.000,126,126,126,9.952,8.576
44,0.000,143,143,143,9.569,8.576
45,0.000,102,102,102,9.427,9.044
46,0.000,129,129,129,8.732,8.179
47,0.000,101,101,101,8.959,9.130
48,0.000,96,96,96,7.569,8.761
49,0.000,196,196,196,7.286,7.739
50,0.000,159,159,159,7.654,7.853
51,0.000,23,23,23,8.037,7.356
52,0.000,102,102,102,6.832,6.321
53,0.000,28,28,28,6.775,5.683
54,0.000,104,104,104,6.718,5.172
55,0.000,109,109,109,6.576,4.094
56,0.000,93,93,93,8.037,5.952
57,0.000,63,63,63,7.215,5.810
58,0.000,217,217,217,7.910,5.342
59,0.000,70,70,70,8.392,5.087
60,0.000,203,203,203,8.974,5.328
61,0.000,81,81,81,8.718,4.846
62,0.000,154,154,154,8.903,4.747
63,0.000,50,50,50,7.782,3.612
64,0.000,59,59,59,4.676,1.356
65,0.000,110,110,110,6.520,0.250
66,0.000,74,74,74,7.896,1.215
67,0.000,51,51,51,8.463,2.548
68,0.000,1,1,1,9.044,2.690
69,0.000,87,87,87,8.903,3.541
70,0.000,1,1,1,9.229,2.151
71,0.000,90,90,90,9.101,1.612
72,0.000,86,86,86,8.704,1.640
73,0.000,180,180,180,9.399,0.917
74,0.000,2,2,2,10.066,2.463
75,0.000,112,112,112,9.995,2.080
76,0.000,46,46,46,10.137,1.810
77,0.000,222,222,222,10.151,1.527
78,0.000,48,48,48,9.484,0.037
79,0.000,165,165,165,10.349,0.179
80,0.000,127,127,127,10.917,0.307
81,0.000,36,36,36,11.356,0.080
82,0.000,49,49,49,11.229,0.888
83,0.000,1,1,1,10.732,1.413
84,0.000,116,116,116,10.052,7.342
85,0.000,47,47,47,11.697,7.853
86,0.000,214,214,214,12.931,8.832
87,0.000,129,129,129,14.023,8.661
88,0.000,78,78,78,11.059,6.633
89,0.000,140,140,140,13.300,5.229
90,0.000,7,7,7,14.193,6.193
91,0.000,131,131,131,14.420,5.768
92,0.000,77,77,77,13.484,4.108
93,0.000,60,60,60,12.775,4.151
94,0.000,119,119,119,12.179,3.825
95,0.000,177,177,177,13.640,3.669
96,0.000,108,108,108,13.768,3.059
97,0.000,171,171,171,14.449,2.179
98,0.000,160,160,160,13.101,2.449
99,0.000,227,227,227,12.349,2.605
100,0.000,162,162,162,12.661,1.711
101,0.000,93,93,93,12.023,2.080
102,0.000,80,80,80,12.122,1.654
103,0.000,193,193,193,11.810,1.669
104,0.000,71,71,71,11.527,2.094
105,0.000,111,111,111,12.406,1.016
106,0.000,128,128,128,12.534,0.619
107,0.000,2,2,2,12.775,0.193
108,0.000,117,117,117,13.257,0.122
109,0.000,131,131,131,13.810,0.208
110,0.000,163,163,163,14.406,0.208
111,0.000,121,121,121,13.442,0.562
112,0.000,123,123,123,13.881,0.562
113,0.000,180,180,180,14.349,0.959
