 ,Area,Mean,Min,Max,X,Y
1,0.000,68,68,68,0.344,1.792
2,0.000,119,119,119,1.106,5.523
3,0.000,139,139,139,1.981,6.411
4,0.000,126,126,126,2.564,6.981
5,0.000,116,116,116,1.856,7.453
6,0.000,156,156,156,0.842,6.467
7,0.000,80,80,80,0.564,7.175
8,0.000,132,132,132,0.661,7.995
9,0.000,178,178,178,7.259,6.342
10,0.000,130,130,130,8.634,7.217
11,0.000,61,61,61,7.745,7.703
12,0.000,112,112,112,7.439,2.648
13,0.000,107,107,107,7.439,2.245
14,0.000,96,96,96,7.953,1.967
15,0.000,86,86,86,7.953,1.523
16,0.000,104,104,104,8.092,1.134
17,0.000,79,79,79,8.300,1.592
18,0.000,120,120,120,8.384,2.273
19,0.000,106,106,106,8.648,2.620
20,0.000,153,153,153,11.189,1.898
21,0.000,145,145,145,11.161,2.328
22,0.000,201,201,201,11.064,4.023
23,0.000,119,119,119,10.731,4.648
24,0.000,79,79,79,10.286,4.509
25,0.000,126,126,126,12.425,8.245
26,0.000,106,106,106,12.898,8.217
27,0.000,153,153,153,11.842,10.425
28,0.000,205,205,205,11.106,9.856
29,0.000,158,158,158,10.439,9.495
30,0.000,157,157,157,14.467,4.328
31,0.000,92,92,92,14.259,4.717
32,0.000,175,175,175,14.592,6.134
