 ,Area,Mean,Min,Max,X,Y
1,0.000,123,123,123,3.260,0.969
2,0.000,181,181,181,2.335,3.101
3,0.000,104,104,104,2.137,2.278
4,0.000,121,121,121,1.399,2.661
5,0.000,149,149,149,1.215,3.555
6,0.000,126,126,126,0.193,3.583
7,0.000,121,121,121,0.775,2.052
8,0.000,173,173,173,0.477,0.179
9,0.000,143,143,143,2.278,1.328
10,0.000,33,33,33,1.470,1.427
11,0.000,185,185,185,1.966,1.243
12,0.000,84,84,84,4.661,2.193
13,0.000,151,151,151,3.810,3.059
14,0.000,128,128,128,3.669,3.896
15,0.000,138,138,138,5.484,2.888
16,0.000,175,175,175,5.952,2.179
17,0.000,120,120,120,6.193,2.576
18,0.000,1,1,1,7.115,1.044
19,0.000,101,101,101,6.264,0.534
20,0.000,175,175,175,7.739,1.271
21,0.000,101,101,101,7.612,0.633
22,0.000,177,177,177,6.009,1.200
23,0.000,103,103,103,4.647,5.385
24,0.000,36,36,36,4.151,5.896
25,0.000,172,172,172,1.995,4.676
26,0.000,147,147,147,0.548,6.278
27,0.000,149,149,149,1.456,6.860
28,0.000,74,74,74,0.903,9.144
29,0.000,96,96,96,1.810,9.300
30,0.000,127,127,127,3.413,8.690
31,0.000,42,42,42,6.789,8.349
32,0.000,88,88,88,7.016,7.966
33,0.000,118,118,118,7.286,8.165
34,0.000,115,115,115,7.796,7.782
35,0.000,228,228,228,8.094,6.903
36,0.000,69,69,69,8.278,6.307
37,0.000,70,70,70,8.534,5.356
38,0.000,115,115,115,9.711,7.286
39,0.000,111,111,111,10.676,5.924
40,0.000,125,125,125,11.456,6.505
41,0.000,167,167,167,12.435,5.555
42,0.000,81,81,81,13.825,8.222
43,0.000,153,153,153,14.591,8.959
44,0.000,115,115,115,11.910,9.215
45,0.000,75,75,75,11.669,8.534
46,0.000,164,164,164,11.257,8.420
47,0.000,120,120,120,11.059,8.718
48,0.000,164,164,164,11.456,9.087
49,0.000,152,152,152,11.442,9.669
50,0.000,134,134,134,6.463,9.158
51,0.000,34,34,34,14.435,7.896
52,0.000,174,174,174,2.236,0.548
