 ,Area,Mean,Min,Max,X,Y
1,0.000,66,66,66,0.490,4.833
2,0.000,152,152,152,1.271,5.130
3,0.000,115,115,115,1.144,5.527
4,0.000,194,194,194,0.293,5.796
5,0.000,195,195,195,0.222,7.626
6,0.000,0,0,0,1.016,7.243
7,0.000,243,243,243,1.853,7.513
8,0.000,89,89,89,1.626,8.037
9,0.000,98,98,98,1.896,8.378
10,0.000,161,161,161,0.208,9.172
11,0.000,113,113,113,1.598,9.867
12,0.000,170,170,170,1.513,10.222
13,0.000,168,168,168,2.335,9.513
14,0.000,224,224,224,3.144,7.697
15,0.000,110,110,110,3.101,6.974
16,0.000,121,121,121,3.612,9.130
17,0.000,112,112,112,4.690,8.661
18,0.000,233,233,233,4.931,7.683
19,0.000,119,119,119,4.392,7.342
20,0.000,139,139,139,4.747,6.959
21,0.000,123,123,123,5.300,6.349
22,0.000,150,150,150,4.690,5.371
23,0.000,134,134,134,5.427,5.229
24,0.000,140,140,140,4.179,2.945
25,0.000,192,192,192,4.704,2.931
26,0.000,152,152,152,0.576,0.591
27,0.000,161,161,161,1.300,0.817
28,0.000,138,138,138,1.484,0.122
29,0.000,1,1,1,2.307,0.037
30,0.000,157,157,157,5.073,0.988
31,0.000,50,50,50,5.442,0.179
32,0.000,28,28,28,5.527,0.335
33,0.000,246,246,246,4.122,0.052
34,0.000,72,72,72,6.108,1.399
35,0.000,96,96,96,6.690,1.342
36,0.000,51,51,51,6.945,1.186
37,0.000,150,150,150,5.711,3.754
38,0.000,17,17,17,5.640,6.250
39,0.000,128,128,128,6.066,6.094
40,0.000,106,106,106,5.739,6.860
41,0.000,148,148,148,6.435,7.427
42,0.000,109,109,109,6.449,6.959
43,0.000,76,76,76,5.484,9.754
44,0.000,169,169,169,5.626,10.023
45,0.000,23,23,23,5.683,10.392
46,0.000,113,113,113,6.122,9.896
47,0.000,137,137,137,6.775,10.562
48,0.000,92,92,92,7.810,8.803
49,0.000,157,157,157,7.569,7.881
50,0.000,45,45,45,8.137,6.846
51,0.000,155,155,155,8.222,7.271
52,0.000,48,48,48,8.449,7.215
53,0.000,78,78,78,8.959,8.534
54,0.000,42,42,42,10.208,9.456
55,0.000,130,130,130,10.732,10.349
56,0.000,121,121,121,8.633,5.541
57,0.000,210,210,210,7.853,5.739
58,0.000,52,52,52,7.527,5.101
59,0.000,210,210,210,8.959,3.825
60,0.000,29,29,29,9.569,3.683
61,0.000,124,124,124,9.555,2.406
62,0.000,54,54,54,9.442,1.924
63,0.000,104,104,104,8.718,2.179
64,0.000,0,0,0,8.151,1.243
65,0.000,92,92,92,7.825,0.222
66,0.000,75,75,75,9.002,0.548
67,0.000,118,118,118,9.981,1.513
68,0.000,85,85,85,10.463,1.995
69,0.000,49,49,49,10.903,0.903
70,0.000,168,168,168,11.810,0.477
71,0.000,90,90,90,12.165,1.498
72,0.000,121,121,121,11.314,1.910
73,0.000,95,95,95,11.456,2.392
74,0.000,104,104,104,10.888,2.562
75,0.000,69,69,69,10.321,3.427
76,0.000,114,114,114,9.938,4.193
77,0.000,108,108,108,10.846,4.463
78,0.000,21,21,21,10.548,4.633
79,0.000,190,190,190,11.059,3.881
80,0.000,209,209,209,11.612,3.569
81,0.000,183,183,183,12.832,2.505
82,0.000,120,120,120,13.200,2.747
83,0.000,20,20,20,13.952,3.527
84,0.000,128,128,128,12.860,3.569
85,0.000,251,251,251,11.796,5.002
86,0.000,117,117,117,11.059,5.002
87,0.000,0,0,0,11.470,5.796
88,0.000,97,97,97,12.406,5.640
89,0.000,54,54,54,12.959,5.527
90,0.000,93,93,93,13.186,5.172
91,0.000,183,183,183,12.903,6.066
92,0.000,137,137,137,12.647,6.562
93,0.000,96,96,96,12.335,6.477
94,0.000,68,68,68,12.165,8.037
95,0.000,90,90,90,13.257,9.059
96,0.000,59,59,59,13.924,7.286
97,0.000,27,27,27,14.364,6.832
