 ,Area,Mean,Min,Max,X,Y
1,0.000,146,146,146,2.062,0.635
2,0.000,110,110,110,2.731,0.870
3,0.000,119,119,119,3.398,0.175
4,0.000,146,146,146,2.342,1.661
5,0.000,54,54,54,3.370,1.911
6,0.000,92,92,92,2.078,1.481
7,0.000,123,123,123,2.286,1.495
8,0.000,130,130,130,3.175,2.384
9,0.000,69,69,69,3.398,2.800
10,0.000,158,158,158,4.203,3.231
11,0.000,133,133,133,3.661,3.606
12,0.000,100,100,100,2.648,2.925
13,0.000,171,171,171,2.828,2.356
14,0.000,69,69,69,2.495,2.328
15,0.000,134,134,134,2.981,3.259
16,0.000,128,128,128,2.564,3.245
17,0.000,135,135,135,2.259,3.592
18,0.000,119,119,119,2.300,4.050
19,0.000,125,125,125,3.106,4.259
20,0.000,102,102,102,2.911,3.731
21,0.000,128,128,128,7.481,4.036
22,0.000,175,175,175,7.745,3.648
23,0.000,144,144,144,7.828,4.217
24,0.000,85,85,85,8.231,3.745
25,0.000,114,114,114,8.675,3.536
26,0.000,104,104,104,8.814,4.023
27,0.000,156,156,156,9.148,4.023
28,0.000,131,131,131,8.689,3.175
29,0.000,124,124,124,9.300,2.634
30,0.000,56,56,56,9.411,2.175
31,0.000,157,157,157,9.648,1.467
32,0.000,176,176,176,9.995,1.453
33,0.000,53,53,53,10.759,0.953
34,0.000,64,64,64,12.175,0.856
35,0.000,161,161,161,12.842,0.134
36,0.000,151,151,151,13.064,0.661
37,0.000,77,77,77,13.675,0.634
38,0.000,113,113,113,13.703,0.814
39,0.000,175,175,175,13.189,1.175
40,0.000,143,143,143,12.884,1.231
41,0.000,94,94,94,13.509,1.689
42,0.000,137,137,137,13.828,1.467
43,0.000,162,162,162,13.925,1.939
44,0.000,169,169,169,13.231,3.648
45,0.000,85,85,85,13.231,5.120
46,0.000,185,185,185,14.328,5.481
47,0.000,118,118,118,10.634,5.800
48,0.000,118,118,118,10.939,6.050
49,0.000,126,126,126,10.717,7.078
50,0.000,75,75,75,10.217,7.203
51,0.000,128,128,128,9.800,6.411
52,0.000,79,79,79,10.023,9.689
53,0.000,137,137,137,5.413,10.335
54,0.000,146,146,146,3.569,10.193
55,0.000,59,59,59,4.037,10.803
56,0.000,144,144,144,5.130,10.803
57,0.000,147,147,147,13.144,9.569
58,0.000,130,130,130,12.463,9.059
59,0.000,106,106,106,11.442,8.278
