 ,Area,Mean,Min,Max,X,Y
1,0.000,104,104,104,8.167,1.781
2,0.000,168,168,168,8.732,1.981
3,0.000,136,136,136,8.477,1.356
4,0.000,156,156,156,3.413,0.491
5,0.000,98,98,98,3.158,0.335
6,0.000,147,147,147,2.860,0.307
7,0.000,41,41,41,2.463,0.576
8,0.000,126,126,126,1.981,0.023
9,0.000,146,146,146,1.612,4.321
10,0.000,94,94,94,2.080,5.229
11,0.000,132,132,132,0.718,5.484
12,0.000,98,98,98,0.335,4.832
13,0.000,189,189,189,0.066,3.881
14,0.000,120,120,120,0.860,6.307
15,0.000,162,162,162,1.371,5.938
16,0.000,110,110,110,0.151,7.130
17,0.000,57,57,57,2.321,6.491
18,0.000,92,92,92,2.945,6.208
19,0.000,121,121,121,3.059,5.867
20,0.000,87,87,87,3.966,3.910
21,0.000,193,193,193,3.300,3.896
22,0.000,94,94,94,4.193,4.520
23,0.000,155,155,155,4.817,4.052
24,0.000,134,134,134,4.931,4.690
25,0.000,151,151,151,5.399,4.222
26,0.000,97,97,97,5.669,4.392
27,0.000,70,70,70,5.044,3.711
28,0.000,135,135,135,5.101,3.356
29,0.000,91,91,91,5.356,7.669
30,0.000,18,18,18,4.576,8.193
31,0.000,136,136,136,4.917,9.286
32,0.000,47,47,47,3.938,9.697
33,0.000,119,119,119,4.576,10.137
34,0.000,90,90,90,3.938,10.562
35,0.000,213,213,213,3.470,10.264
36,0.000,142,142,142,3.484,9.952
37,0.000,104,104,104,2.974,10.165
38,0.000,93,93,93,1.669,9.300
39,0.000,136,136,136,2.817,9.087
40,0.000,3,3,3,2.349,10.406
41,0.000,213,213,213,1.853,10.477
42,0.000,121,121,121,1.215,10.477
43,0.000,174,174,174,0.690,9.796
44,0.000,69,69,69,0.151,10.449
45,0.000,124,124,124,6.349,9.768
46,0.000,143,143,143,7.144,9.839
47,0.000,124,124,124,6.860,10.633
48,0.000,139,139,139,8.605,10.392
49,0.000,125,125,125,9.910,8.449
50,0.000,102,102,102,9.413,8.066
51,0.000,154,154,154,9.810,7.796
52,0.000,54,54,54,9.342,7.654
53,0.000,128,128,128,9.427,7.271
54,0.000,134,134,134,8.179,5.640
55,0.000,121,121,121,7.470,5.513
56,0.000,100,100,100,10.080,5.101
57,0.000,132,132,132,10.321,5.569
58,0.000,99,99,99,10.435,5.016
59,0.000,116,116,116,10.477,4.761
60,0.000,113,113,113,10.037,3.995
61,0.000,142,142,142,9.711,3.825
62,0.000,128,128,128,11.130,3.938
63,0.000,103,103,103,11.442,3.966
64,0.000,250,250,250,11.172,5.101
65,0.000,61,61,61,11.427,7.200
66,0.000,154,154,154,11.896,8.236
67,0.000,124,124,124,12.718,8.108
68,0.000,247,247,247,12.718,8.676
69,0.000,123,123,123,12.491,9.044
70,0.000,165,165,165,13.371,9.215
71,0.000,116,116,116,13.966,9.669
72,0.000,77,77,77,13.810,5.356
73,0.000,127,127,127,14.477,5.669
74,0.000,101,101,101,14.576,3.498
75,0.000,107,107,107,14.137,2.591
76,0.000,94,94,94,14.052,1.825
