 ,Area,Mean,Min,Max,X,Y
1,0.000,98,98,98,0.208,4.375
2,0.000,121,121,121,0.661,4.817
3,0.000,175,175,175,0.222,5.030
4,0.000,168,168,168,0.846,5.300
5,0.000,124,124,124,0.108,5.385
6,0.000,77,77,77,0.676,5.796
7,0.000,173,173,173,1.612,6.165
8,0.000,140,140,140,0.151,6.052
9,0.000,144,144,144,0.435,6.562
10,0.000,123,123,123,0.250,7.200
11,0.000,152,152,152,0.832,7.229
12,0.000,92,92,92,0.449,7.711
13,0.000,89,89,89,0.477,8.520
14,0.000,193,193,193,2.775,10.009
15,0.000,48,48,48,1.952,9.356
16,0.000,149,149,149,2.988,9.555
17,0.000,100,100,100,3.286,9.513
18,0.000,77,77,77,3.697,9.115
19,0.000,142,142,142,2.761,9.144
20,0.000,126,126,126,3.243,9.002
21,0.000,132,132,132,2.874,8.534
22,0.000,35,35,35,3.101,8.165
23,0.000,163,163,163,3.626,7.966
24,0.000,139,139,139,3.541,7.555
25,0.000,125,125,125,4.009,7.739
26,0.000,128,128,128,4.803,7.598
27,0.000,139,139,139,4.619,7.130
28,0.000,118,118,118,5.087,7.385
29,0.000,167,167,167,5.271,6.718
30,0.000,179,179,179,5.896,7.286
31,0.000,162,162,162,6.193,6.974
32,0.000,2,2,2,3.470,0.732
33,0.000,134,134,134,3.328,2.009
34,0.000,156,156,156,2.704,1.981
35,0.000,105,105,105,2.364,2.307
36,0.000,116,116,116,9.101,3.867
37,0.000,58,58,58,9.498,2.647
38,0.000,52,52,52,9.598,3.513
39,0.000,132,132,132,8.335,0.165
40,0.000,106,106,106,10.293,0.420
41,0.000,122,122,122,9.881,3.016
42,0.000,75,75,75,10.378,3.612
43,0.000,1,1,1,10.917,3.442
44,0.000,128,128,128,10.832,3.853
45,0.000,92,92,92,10.817,4.250
46,0.000,100,100,100,10.037,4.392
47,0.000,158,158,158,9.853,5.073
48,0.000,120,120,120,10.307,5.115
49,0.000,92,92,92,10.250,5.782
50,0.000,136,136,136,12.009,4.860
51,0.000,88,88,88,12.066,5.739
52,0.000,148,148,148,11.598,5.825
53,0.000,142,142,142,10.874,6.009
54,0.000,100,100,100,11.356,6.633
55,0.000,89,89,89,11.002,7.101
56,0.000,159,159,159,10.505,8.505
57,0.000,108,108,108,11.995,7.427
58,0.000,84,84,84,12.931,6.676
59,0.000,12,12,12,13.215,7.172
60,0.000,89,89,89,13.314,7.782
61,0.000,107,107,107,13.498,8.193
62,0.000,153,153,153,13.399,8.463
63,0.000,104,104,104,13.598,8.903
64,0.000,100,100,100,12.732,8.605
65,0.000,158,158,158,13.002,8.349
66,0.000,33,33,33,13.073,7.810
67,0.000,115,115,115,12.789,7.399
68,0.000,50,50,50,12.661,7.981
69,0.000,139,139,139,12.392,8.108
70,0.000,88,88,88,13.952,2.945
71,0.000,126,126,126,13.683,2.307
72,0.000,98,98,98,13.896,1.896
73,0.000,152,152,152,13.598,1.356
74,0.000,106,106,106,12.903,0.591
