 ,Area,Mean,Min,Max,X,Y
1,0.000,158,158,158,0.969,2.448
2,0.000,94,94,94,0.903,1.924
3,0.000,71,71,71,0.321,2.718
4,0.000,103,103,103,2.817,3.130
5,0.000,95,95,95,3.669,2.832
6,0.000,156,156,156,3.257,3.739
7,0.000,130,130,130,2.974,2.491
8,0.000,104,104,104,3.470,1.981
9,0.000,146,146,146,3.839,1.569
10,0.000,147,147,147,4.080,1.030
11,0.000,39,39,39,4.165,2.137
12,0.000,158,158,158,5.470,1.839
13,0.000,85,85,85,5.725,2.789
14,0.000,112,112,112,5.896,3.300
15,0.000,87,87,87,5.101,3.612
16,0.000,106,106,106,4.477,3.356
17,0.000,92,92,92,6.534,1.427
18,0.000,21,21,21,6.988,1.286
19,0.000,118,118,118,6.931,0.747
20,0.000,149,149,149,6.690,0.945
21,0.000,149,149,149,9.016,3.711
22,0.000,150,150,150,7.966,4.406
23,0.000,84,84,84,8.661,5.073
24,0.000,55,55,55,10.179,5.952
25,0.000,156,156,156,7.952,5.470
26,0.000,110,110,110,5.995,6.023
27,0.000,94,94,94,6.477,6.775
28,0.000,87,87,87,1.328,10.122
29,0.000,74,74,74,0.832,10.307
30,0.000,99,99,99,0.066,10.264
31,0.000,99,99,99,1.470,10.747
32,0.000,115,115,115,8.435,10.307
33,0.000,155,155,155,13.527,4.988
34,0.000,106,106,106,13.952,4.676
35,0.000,50,50,50,14.449,3.853
36,0.000,132,132,132,13.910,2.860
37,0.000,124,124,124,13.130,3.782
38,0.000,76,76,76,13.044,3.328
39,0.000,92,92,92,12.860,4.193
40,0.000,128,128,128,13.754,3.853
41,0.000,135,135,135,13.243,0.165
42,0.000,115,115,115,11.995,0.335
43,0.000,35,35,35,11.484,0.151
44,0.000,151,151,151,10.860,0.335
45,0.000,89,89,89,10.392,0.832
