 ,Area,Mean,Min,Max,X,Y
1,0.000,77,77,77,0.604,0.302
2,0.000,60,60,60,1.413,0.222
3,0.000,63,63,63,1.810,0.789
4,0.000,141,141,141,2.321,0.406
5,0.000,83,83,83,2.463,0.576
6,0.000,119,119,119,2.378,1.215
7,0.000,163,163,163,3.555,1.413
8,0.000,71,71,71,4.449,1.839
9,0.000,69,69,69,1.654,2.108
10,0.000,92,92,92,0.888,2.193
11,0.000,11,11,11,0.108,1.782
12,0.000,144,144,144,0.647,3.654
13,0.000,169,169,169,6.591,2.548
14,0.000,66,66,66,5.626,3.044
15,0.000,137,137,137,2.250,5.952
16,0.000,91,91,91,1.541,5.484
17,0.000,100,100,100,0.420,5.654
18,0.000,116,116,116,0.817,6.179
19,0.000,99,99,99,1.271,6.449
20,0.000,154,154,154,0.477,6.661
21,0.000,60,60,60,1.527,7.541
22,0.000,43,43,43,0.917,7.513
23,0.000,78,78,78,0.321,7.739
24,0.000,168,168,168,1.101,8.633
25,0.000,216,216,216,1.598,8.874
26,0.000,23,23,23,1.654,9.130
27,0.000,213,213,213,1.229,10.264
28,0.000,45,45,45,7.002,6.959
29,0.000,25,25,25,8.647,7.768
30,0.000,152,152,152,7.527,9.059
31,0.000,88,88,88,8.208,9.130
32,0.000,91,91,91,6.860,9.555
33,0.000,73,73,73,7.867,9.796
34,0.000,147,147,147,7.087,10.449
35,0.000,50,50,50,9.640,10.137
36,0.000,92,92,92,9.796,8.364
37,0.000,111,111,111,9.130,7.995
38,0.000,140,140,140,9.555,6.619
39,0.000,66,66,66,10.009,6.690
40,0.000,96,96,96,10.420,7.286
41,0.000,97,97,97,10.775,6.846
42,0.000,95,95,95,10.874,6.406
43,0.000,66,66,66,10.534,8.477
44,0.000,178,178,178,10.903,9.243
45,0.000,106,106,106,11.257,9.470
46,0.000,180,180,180,11.754,9.399
47,0.000,155,155,155,13.470,10.378
48,0.000,27,27,27,13.442,9.399
49,0.000,115,115,115,12.704,8.732
50,0.000,70,70,70,13.513,8.335
51,0.000,52,52,52,14.066,7.654
52,0.000,127,127,127,12.789,8.009
53,0.000,167,167,167,12.676,7.541
54,0.000,118,118,118,11.924,7.626
55,0.000,77,77,77,11.669,7.158
56,0.000,62,62,62,12.860,7.016
57,0.000,81,81,81,12.293,5.981
58,0.000,92,92,92,12.264,5.427
59,0.000,102,102,102,13.130,5.995
60,0.000,131,131,131,13.938,6.108
61,0.000,149,149,149,13.853,5.342
62,0.000,95,95,95,13.271,4.959
63,0.000,96,96,96,14.151,4.747
64,0.000,181,181,181,13.924,3.498
65,0.000,95,95,95,13.626,2.874
66,0.000,157,157,157,12.094,2.633
67,0.000,167,167,167,13.300,0.945
68,0.000,83,83,83,12.435,0.690
69,0.000,139,139,139,12.435,10.789
70,0.000,0,0,0,13.924,10.576
