 ,Area,Mean,Min,Max,Angle,Length
1,0.007,127.106,3.705,227.876,-101.310,0.637
2,0.007,127.106,3.705,227.876,-101.310,0.637
3,0.006,124.183,50.610,227.522,-51.340,0.603
4,0.006,124.183,50.610,227.522,-51.340,0.603
5,0.013,126.535,22.999,234.532,-82.694,1.232
6,0.009,126.883,22.500,224.055,-109.069,0.896
7,0.004,109.122,5.119,234.477,-38.157,0.367
8,0.004,109.122,5.119,234.477,-38.157,0.367
9,0.003,116.012,2.728,240.254,-152.526,0.298
10,0.016,125.506,9.128,221.827,-159.075,1.517
11,0.010,127.251,8.369,242.811,-78.311,0.923
12,0.010,127.251,8.369,242.811,-78.311,0.923
13,0.004,129.668,44.560,235.747,-135.000,0.412
14,0.004,129.668,44.560,235.747,-135.000,0.412
15,0.008,127.332,26.160,228.686,46.701,0.747
16,0.006,128.652,17.207,232.103,42.825,0.590
17,0.006,128.652,17.207,232.103,42.825,0.590
18,0.008,121.917,0.286,244.095,-130.333,0.729
19,0.007,136.212,41.714,221.901,155.772,0.684
20,0.007,136.212,41.714,221.901,155.772,0.684
21,0.004,109.723,14.435,224.810,-5.856,0.405
22,0.004,109.723,14.435,224.810,-5.856,0.405
23,0.006,120.841,0.891,224.560,-97.970,0.532
