 ,Area,Mean,Min,Max,X,Y
1,0.000,163,163,163,0.292,7.781
2,0.000,130,130,130,0.108,7.286
3,0.000,66,66,66,0.959,10.278
4,0.000,78,78,78,1.229,10.491
5,0.000,112,112,112,1.924,7.697
6,0.000,159,159,159,2.165,7.839
7,0.000,92,92,92,4.761,9.257
8,0.000,65,65,65,4.193,9.002
9,0.000,167,167,167,3.952,9.314
10,0.000,197,197,197,5.229,8.023
11,0.000,150,150,150,4.803,6.647
12,0.000,144,144,144,4.435,6.534
13,0.000,93,93,93,1.002,1.924
14,0.000,85,85,85,1.328,1.938
15,0.000,143,143,143,1.059,1.342
16,0.000,92,92,92,1.697,1.016
17,0.000,66,66,66,1.739,0.690
18,0.000,84,84,84,4.463,5.356
19,0.000,96,96,96,5.044,5.215
20,0.000,129,129,129,5.186,5.711
21,0.000,143,143,143,5.896,6.633
22,0.000,226,226,226,5.569,6.349
23,0.000,150,150,150,5.896,6.094
24,0.000,199,199,199,6.137,5.825
25,0.000,55,55,55,6.661,6.576
26,0.000,25,25,25,7.087,6.562
27,0.000,95,95,95,6.945,4.661
28,0.000,93,93,93,9.300,5.555
29,0.000,140,140,140,11.669,6.661
30,0.000,182,182,182,4.718,1.016
31,0.000,66,66,66,5.186,0.917
32,0.000,47,47,47,5.910,0.931
33,0.000,39,39,39,6.151,1.498
34,0.000,123,123,123,6.860,1.130
35,0.000,129,129,129,6.151,0.619
36,0.000,165,165,165,13.796,10.349
37,0.000,134,134,134,14.534,10.236
38,0.000,117,117,117,14.534,9.654
39,0.000,103,103,103,13.612,10.789
40,0.000,149,149,149,12.860,5.186
41,0.000,38,38,38,12.676,4.491
42,0.000,115,115,115,14.321,4.591
43,0.000,208,208,208,14.591,4.562
44,0.000,158,158,158,10.690,4.080
45,0.000,70,70,70,12.193,3.300
46,0.000,212,212,212,11.910,3.555
47,0.000,68,68,68,11.626,3.456
48,0.000,115,115,115,11.356,3.371
49,0.000,61,61,61,11.371,3.002
50,0.000,135,135,135,11.541,2.817
51,0.000,188,188,188,11.144,2.718
52,0.000,78,78,78,10.676,1.995
53,0.000,201,201,201,10.435,1.782
54,0.000,92,92,92,10.888,1.569
55,0.000,76,76,76,11.371,1.839
56,0.000,53,53,53,11.995,0.860
57,0.000,162,162,162,12.591,1.626
58,0.000,58,58,58,13.271,0.789
59,0.000,156,156,156,13.697,1.513
