 ,Area,Mean,Min,Max,X,Y
1,0.000,131,131,131,0.458,1.271
2,0.000,96,96,96,1.498,1.087
3,0.000,142,142,142,1.683,1.626
4,0.000,104,104,104,1.356,1.881
5,0.000,116,116,116,1.115,3.115
6,0.000,135,135,135,0.591,4.108
7,0.000,52,52,52,0.151,5.527
8,0.000,96,96,96,0.094,8.591
9,0.000,70,70,70,0.860,10.435
10,0.000,111,111,111,1.286,10.747
11,0.000,162,162,162,0.888,6.676
12,0.000,51,51,51,1.839,6.278
13,0.000,195,195,195,2.888,5.725
14,0.000,132,132,132,3.513,5.583
15,0.000,74,74,74,3.002,6.293
16,0.000,86,86,86,3.669,6.832
17,0.000,30,30,30,3.484,8.378
18,0.000,173,173,173,4.449,1.257
19,0.000,40,40,40,4.959,1.271
20,0.000,153,153,153,5.541,1.697
21,0.000,49,49,49,5.484,2.562
22,0.000,160,160,160,5.513,2.860
23,0.000,141,141,141,5.073,2.789
24,0.000,40,40,40,7.059,2.534
25,0.000,171,171,171,7.598,0.534
26,0.000,108,108,108,7.130,0.321
27,0.000,177,177,177,10.094,0.165
28,0.000,43,43,43,11.087,0.278
29,0.000,104,104,104,11.938,0.690
30,0.000,82,82,82,12.520,0.463
31,0.000,76,76,76,12.009,0.023
32,0.000,146,146,146,9.442,4.747
33,0.000,135,135,135,8.491,6.094
34,0.000,101,101,101,6.945,7.044
35,0.000,188,188,188,5.867,7.002
36,0.000,136,136,136,6.037,7.243
37,0.000,115,115,115,5.442,7.470
38,0.000,80,80,80,8.647,7.669
39,0.000,154,154,154,8.959,7.030
40,0.000,135,135,135,12.151,4.364
41,0.000,143,143,143,12.520,3.385
42,0.000,101,101,101,14.052,1.995
43,0.000,199,199,199,14.378,1.952
44,0.000,40,40,40,12.917,3.683
45,0.000,123,123,123,12.903,4.066
46,0.000,147,147,147,13.030,4.520
47,0.000,97,97,97,14.548,4.037
48,0.000,176,176,176,14.293,4.548
49,0.000,93,93,93,13.910,5.044
50,0.000,114,114,114,14.619,5.654
51,0.000,153,153,153,13.754,6.420
52,0.000,145,145,145,12.151,5.626
53,0.000,154,154,154,11.186,6.179
54,0.000,137,137,137,9.442,6.520
55,0.000,63,63,63,10.605,8.179
56,0.000,145,145,145,9.640,10.690
57,0.000,109,109,109,11.881,7.739
58,0.000,28,28,28,11.810,8.349
59,0.000,170,170,170,12.917,7.640
60,0.000,159,159,159,11.513,8.066
61,0.000,119,119,119,13.541,8.037
62,0.000,196,196,196,13.995,8.122
63,0.000,77,77,77,13.541,9.002
