 ,Area,Mean,Min,Max,X,Y
1,0.000,186,186,186,2.125,0.958
2,0.000,181,181,181,2.689,0.578
3,0.000,0,0,0,1.995,1.536
4,0.000,157,157,157,1.050,1.245
5,0.000,71,71,71,0.384,1.995
6,0.000,76,76,76,-0.005,1.786
7,0.000,120,120,120,1.161,2.342
8,0.000,50,50,50,2.009,2.870
9,0.000,74,74,74,2.356,2.523
10,0.000,156,156,156,1.078,8.745
11,0.000,149,149,149,1.023,9.286
12,0.000,73,73,73,1.509,9.273
13,0.000,168,168,168,1.800,9.759
14,0.000,102,102,102,2.064,10.300
15,0.000,144,144,144,10.236,10.676
16,0.000,157,157,157,9.569,10.803
17,0.000,180,180,180,11.385,8.562
18,0.000,144,144,144,11.768,8.193
19,0.000,107,107,107,11.215,7.981
20,0.000,87,87,87,10.747,8.108
21,0.000,103,103,103,9.569,8.208
22,0.000,134,134,134,9.754,7.697
23,0.000,103,103,103,9.371,7.300
24,0.000,162,162,162,9.016,7.498
25,0.000,110,110,110,9.569,6.959
26,0.000,46,46,46,9.498,6.477
27,0.000,106,106,106,8.619,6.420
28,0.000,95,95,95,8.250,6.974
29,0.000,162,162,162,8.151,7.541
30,0.000,101,101,101,7.385,7.583
31,0.000,103,103,103,7.598,7.853
32,0.000,82,82,82,7.626,8.208
33,0.000,130,130,130,8.435,8.392
34,0.000,105,105,105,8.449,8.122
35,0.000,124,124,124,8.817,7.896
36,0.000,74,74,74,7.711,3.966
37,0.000,152,152,152,7.073,3.654
38,0.000,67,67,67,7.654,2.988
39,0.000,98,98,98,7.810,2.449
40,0.000,118,118,118,7.030,2.449
41,0.000,221,221,221,8.278,3.243
42,0.000,116,116,116,8.817,3.569
43,0.000,91,91,91,9.144,2.576
44,0.000,150,150,150,8.633,1.314
45,0.000,120,120,120,8.108,1.130
46,0.000,190,190,190,7.754,1.867
47,0.000,159,159,159,8.945,0.732
48,0.000,104,104,104,10.576,1.881
49,0.000,83,83,83,11.044,2.321
50,0.000,58,58,58,10.491,3.030
51,0.000,146,146,146,11.229,3.498
52,0.000,170,170,170,11.711,3.030
53,0.000,148,148,148,12.208,2.903
54,0.000,133,133,133,12.420,3.130
55,0.000,45,45,45,12.917,3.144
56,0.000,112,112,112,13.059,3.569
57,0.000,174,174,174,13.144,3.966
58,0.000,162,162,162,12.832,3.981
59,0.000,91,91,91,12.463,4.052
60,0.000,86,86,86,12.335,3.541
61,0.000,92,92,92,11.782,3.825
62,0.000,168,168,168,11.059,3.839
63,0.000,82,82,82,11.101,5.002
64,0.000,233,233,233,10.591,4.888
65,0.000,80,80,80,10.732,4.449
66,0.000,172,172,172,11.498,4.250
67,0.000,117,117,117,11.981,4.236
