Elapsed,PC9-UT,PC9-A/E,PC9-E,AXL KO-UT,AXL KO-A/E,AXL KO-E,Kin-UT,Kin-A/E,Kin-E,Kdead-UT,Kdead-A/E,Kdead-E,M4-UT,M4-A/E,M4-E,M5-UT,M5-A/E,M5-E,M7-UT,M7-A/E,M7-E,M10-UT,M10-A/E,M10-E,M11-UT,M11-A/E,M11-E,M15-UT,M15-A/E,M15-E
0,8.0262715,8.50278,7.059481,5.5294605,6.8449385,7.3635335,6.5610725,6.6125235,7.054421,6.516048,7.1365885,6.4780445,6.4418365,5.7823695,5.215055,5.3188375,6.8706975,6.6495985,7.4362035,6.9298175,6.2639315,7.2255515,6.750533,7.420509,8.0791225,6.3930285,6.8961705,6.561905,7.31827,6.6027305
3,5.143131,6.360406,4.5894615,3.8837,4.718723,5.6879505,4.983542,4.8031845,5.6805955,5.0779135,4.410279,4.396136,4.740938,4.375157,3.817205,4.196132,5.1491335,4.8484965,5.3316285,5.80423,4.7127265,5.309727,5.5568455,6.092821,6.3837,5.2602365,5.576971,4.5197635,5.427441,5.1761435
6,3.21287,3.3481065,2.777214,1.869257,3.085794,3.6543855,3.641246,3.1031875,3.911788,3.054817,2.57484,2.614265,2.692171,2.732497,2.509827,2.748996,3.0086795,3.103707,3.4650075,3.915196,3.000813,4.032657,3.593149,4.09405,3.9468555,3.794307,3.653655,3.5642685,3.483016,3.4041195
9,2.5335925,1.8281935,1.393227,1.161454,1.8171645,2.3038405,2.9210755,2.2963695,2.8670845,2.394299,1.768732,2.326336,1.9396305,1.558334,1.9395215,1.793754,2.1512715,2.3405745,2.5557255,2.8944015,2.2516665,3.316208,3.2098245,3.210405,2.5851865,3.0167105,3.0165195,2.9267305,2.959059,2.5245365
12,1.2477325,0.8575585,0.4877215,0.589113,0.9233295,1.174907,2.003879,1.4344405,1.823174,1.345587,1.173268,1.483617,1.2225405,0.8548065,1.278088,1.1955445,1.205597,1.4047135,1.489879,1.6844545,1.487066,2.448652,2.2590485,2.4272835,1.355291,2.133837,2.334858,1.9218955,1.573618,1.5805565
15,0.568899,0.643411,0.2158545,0.394866,0.7294445,0.5696635,1.8299685,1.092309,1.6071415,1.364852,0.9429905,1.282165,1.083875,0.73921,1.143548,1.113206,1.1209165,1.3074465,1.409883,1.6418545,1.463355,2.4323645,2.1740125,2.3229895,1.4513495,1.9245385,2.2859005,1.7833055,1.642421,1.45809
18,0.2104525,0.3358695,0.112817,0.2203955,0.381802,0.286884,1.267257,0.9844295,1.346919,0.9806665,0.691017,0.872371,0.817342,0.5232665,0.9238485,0.8749455,0.8048585,1.051792,1.268056,1.229335,1.242454,2.0729415,1.883625,2.04049,1.2310355,1.628606,1.7977355,1.397215,1.2650035,1.172954
21,0.159535,0.2056245,0.0281225,0.168379,0.3039635,0.2329955,1.1748525,1.061244,1.3001735,0.860946,0.7036305,0.802038,0.837023,0.568694,0.8781345,0.8365385,0.900957,1.0531305,1.3338275,1.265297,1.241327,2.205727,1.9870385,2.28336,1.3507225,1.6594595,1.7024695,1.378599,1.298473,1.2457525
24,0.077995,0.14658,0.023294,0.127916,0.1568375,0.2101455,1.073297,0.9317225,1.160088,0.8024135,0.605981,0.752663,0.802304,0.4871205,0.798917,0.8393385,0.8302965,1.0200845,1.309748,1.198201,1.221277,2.171875,1.916589,2.187739,1.354144,1.6139165,1.6169825,1.380962,1.171083,1.1800695
27,0.098817,0.1597465,0.0199955,0.172715,0.1681465,0.1640625,1.335336,1.162574,1.2488255,0.9712835,0.6816955,0.8737845,0.940935,0.606848,0.9074245,1.0259985,1.0554045,1.1893505,1.4279465,1.26568,1.3703765,2.4613195,2.1849665,2.476644,1.5460965,1.7580585,1.7644845,1.566119,1.2215975,1.3101095
30,0.061332,0.1209165,0.0231305,0.131085,0.1056395,0.136439,1.295338,1.10538,1.2257085,0.9567515,0.670571,0.795516,0.974302,0.571972,0.8494595,0.986055,0.974056,1.1178295,1.441126,1.256563,1.3166455,2.3935955,2.1579845,2.3579,1.5908135,1.7102,1.732374,1.517121,1.1855335,1.3234815
33,0.0665155,0.1275265,0.0219625,0.138365,0.1000395,0.143705,1.3811185,1.1391365,1.3344555,0.9189865,0.655103,0.844317,1.0856575,0.6149,0.891226,1.0598845,1.0884575,1.1940015,1.646143,1.3104925,1.434304,2.7224855,2.3334995,2.5762265,1.671943,1.746968,1.9467535,1.7184225,1.3444945,1.399981
36,0.060615,0.1088425,0.0352725,0.1118135,0.0674445,0.0960585,1.1972385,1.136186,1.287212,0.9042355,0.651702,0.7456635,0.9687365,0.619612,0.8136265,1.096318,1.12291,1.1734045,1.6921505,1.1632085,1.3886375,2.8778,2.3256525,2.5610655,1.731179,1.7865155,1.944206,1.664588,1.2700435,1.347479
39,0.0484525,0.125731,0.04708,0.1259355,0.0781865,0.0960715,1.396621,1.177454,1.362441,0.987011,0.7078375,0.8029395,1.0953,0.7208535,0.8627825,1.2452535,1.303964,1.251277,1.7968205,1.262709,1.5439585,3.088225,2.5091235,2.792279,1.9753745,1.9068645,2.170393,1.879227,1.4061475,1.481138
42,0.028723,0.1024505,0.0504535,0.1626285,0.110775,0.0623635,1.428267,1.228939,1.4536165,1.1508275,0.7239745,0.869953,1.2062185,0.713164,0.7771595,1.601863,1.412799,1.305459,2.006549,1.3758125,1.722322,3.389368,2.676225,3.0321035,2.1455895,1.9471835,2.215984,2.1011185,1.5632445,1.641581
45,0.023663,0.097431,0.0493675,0.1507045,0.0740135,0.0578225,1.52802,1.2820625,1.534036,1.2399205,0.68623,0.8824365,1.1974225,0.7656865,0.777255,1.664725,1.480503,1.368437,2.0885465,1.3653845,1.80184,3.6499195,2.7971,3.1803775,2.192219,2.159801,2.3689015,2.331464,1.62528,1.6493455
48,0.0250355,0.0704355,0.0538405,0.133325,0.034521,0.062623,1.585862,1.292265,1.573126,1.2665265,0.6735005,0.8715375,1.2293145,0.68987,0.7654405,1.661317,1.4445745,1.3128005,2.1077155,1.423063,1.800501,3.5921175,2.7420575,3.1000595,2.3617445,2.0626845,2.308935,2.490863,1.6250275,1.682112
51,0.0235605,0.101187,0.048227,0.144354,0.0660305,0.0604515,1.6246995,1.4368305,1.739838,1.3793435,0.7191255,0.929223,1.347745,0.8364085,0.8828805,1.7631255,1.592452,1.4465895,2.2776235,1.50939,2.0270565,3.954682,3.040565,3.409501,2.559796,2.3557895,2.4829,2.7042515,1.8032395,1.79919
54,0.0183565,0.069773,0.053069,0.1231565,0.028805,0.057952,1.707106,1.4895105,1.826923,1.3851,0.711402,0.8342575,1.3840895,0.851392,0.9147385,1.8754575,1.6381935,1.4447525,2.356746,1.596611,2.0229525,4.172278,3.054196,3.4857135,2.8139545,2.4020025,2.5011885,2.6815245,1.805316,1.759561
57,0.014744,0.084251,0.0501255,0.137347,0.0432895,0.0583615,1.855885,1.6717725,1.973339,1.544526,0.7858735,0.871155,1.6187855,0.9786725,1.0385365,2.0174755,1.88159,1.582721,2.729103,1.8263085,2.232982,4.479444,3.2611795,3.6802135,3.058068,2.7080415,2.766943,2.9827015,1.9522165,1.826008
60,0.0186365,0.052051,0.0498865,0.124208,0.03713,0.05354,1.902555,1.6367595,2.013071,1.5846945,0.752636,0.8396665,1.6229375,1.0124495,0.934577,2.10525,1.9296875,1.622521,2.804387,1.8863295,2.214215,4.7461145,3.4485495,3.775247,3.3600715,2.6496395,2.799996,3.1397645,1.969549,1.8539115
63,0.020706,0.0656275,0.0531235,0.1405365,0.0482475,0.0582865,2.140454,1.82217,2.214762,1.9095275,0.8006925,0.896225,1.8628855,1.149373,1.0838885,2.3051585,2.1160195,1.8061965,3.287526,2.127752,2.451957,5.2924495,3.7417025,4.071583,3.7926135,2.89798,3.046028,3.6093815,2.1402495,1.997999
