Elapsed,PC9,PC9-A/E,PC9-E,AXL KO,AXL KO-A/E,AXL KO-E,Kin,Kin-A/E,Kin-E,Kdead,Kdead-A/E,Kdead-E,M4,M4-A/E,M4-E,M5,M5-A/E,M5-E,M7,M7-A/E,M7-E,M10,M10-A/E,M10-E,M11,M11-A/E,M11-E,M15,M15-A/E,M15-E
0,1,1,1,1,1,1,22.11111,16.333335,17.277775,15.77778,10.94444,11.444445,15.555555,15.11111,14.555555,14.88889,13.166665,15.111115,20.61111,19.16667,17,18.83333,16.444445,16.444445,21,19.166665,17.277775,11.611109,9.2222225,9.111111
3,1,1,1,1,1,1,23,15.388885,16.277775,15.444445,9.7777775,9.4999985,15.38889,14.833335,13,16.11111,12.555555,13.777775,19.444445,18.555555,15.166665,18.833335,17.77778,15.27778,19.27778,19.055555,17.055555,12.5555575,8,9.222222
6,1,1,1,1,1,1,22.27778,12.66667,13.88889,14.38889,8.5,7.9444445,15.666665,12.5,12.555555,16.11111,14.16667,13.38889,19.61111,17.61111,16.055555,18.61111,16.055555,14.5,20.555555,17.72222,16.055555,12.3888895,8.0555555,8.7222225
9,1,1,1,1,1,1,21.222225,12.333335,12.55556,14.5,8.0555555,7.611111,14.666665,11.4999995,12.166665,16.16667,13.166665,12.444445,20.66667,17.777775,14,18.94444,16.22222,13.777775,19.11111,17.38889,16.944445,12.66667,7.388889,8.611109
12,1,1,1,1,1,1,21.166665,10.666665,12.722225,13.055555,7.666667,6.6666665,16.38889,11.277775,10.444445,16.61111,12.83333,12.333335,19.944445,17.83333,14.055555,19.944445,16.22222,13.444445,20.5,18.388885,16.555555,11.944445,6.8888885,8.1666665
15,1,1,1,1,1,1,23.27778,10.3888895,12.83333,14.666665,7.5555555,6.5,15.72222,11.11111,10.555555,17.333335,12.333335,12.055555,23.333335,20.166665,14.055555,21.61111,16.72222,15.22222,20.88889,18.27778,16.666665,12.3888875,6.5555555,8.333333
18,1,1,1,1,1,1,22.722225,11.11111,12.222225,15.222225,7.166667,6.611111,17.5,11.555555,10.5,17.277775,11.666665,11.277775,22.888885,20.555555,14.722225,22.944445,16.38889,16.555555,21.61111,19.66667,17.055555,13.166669,6,8.5
21,1,1,1,1,1,1,23.222225,11.666665,12,16.555555,7.6666665,7.4444445,18.11111,11.0555535,10.444445,19.333335,12.777775,11.83333,25.944445,21.611115,15.333335,23.88889,18,17.66667,23.88889,20.444445,18.555555,14.11111,6.444445,8.611111
24,1,1,1,1,1,1,24,12.38889,11.61111,18.38889,7.444445,7.388889,18.833335,13.055555,10.444445,19.833335,12.27778,12.444445,26.72222,22.555555,16.16667,27.27778,18.5,17.38889,26.77778,21.83333,19.5,16.66667,6.0555555,9.1666675
27,1,1,1,1,1,1,28.94444,10.944444,12.38889,19.666665,7.7222225,7.7777775,20.388885,12.55556,10.555555,20.166665,13,13.166665,31.38889,22.944445,16.83333,30.055555,18.66667,17.666665,27.22222,22.944445,20.277775,17.388885,7.3888885,8.7777775
30,1,1,1,1,1,1,30.333335,10.666665,12.16667,20.222225,7.222222,8.0555555,22.666665,11.888885,10.166665,21.222225,13.055555,13.38889,33.944445,22.944445,16.77778,31.27778,18.88889,18.88889,32.777775,26,21.16667,17.666665,7.833333,9.166666
33,1,1,1,1,1,1,32.38889,10.444445,13.333335,22.61111,8.2777775,8.333333,22.555555,12.222225,10.555555,23.055555,13.11111,14.055555,36.11111,22.38889,16.777775,34.444445,19.944445,18.61111,34.777775,26.77778,22.27778,19.61111,7.0555555,9.7777775
36,1,1,1,1,1,1,32.61111,10.944445,13.22222,24.722225,8.7222225,8.7222215,25,11.555555,11.38889,25.166665,13.722225,13.5,38.055555,24.722225,18.11111,36.166665,19.833335,19.555555,38.555555,28.38889,24.055555,21.38889,7.4444445,9.3333355
39,1,1,1,1,1,1,34.38889,12,13.333335,26.277775,8.722222,9.0555575,27.16667,11.222225,11.77778,27.666665,14.444445,13.777775,43.38889,25.38889,17.88889,41.166665,20.777775,21.888885,42.88889,29.11111,24.666665,24.555555,8.0555555,10.499999
42,1,1,1,1,1,1,37.38889,11.333335,12.72222,28.66667,8.5,9.1111125,27.777775,12.055555,12.38889,29.333335,14.611115,13.055555,45.444445,25.33333,18.77778,42.277775,23.11111,23.777775,45.555555,31.66667,25.444445,25.055555,8.111111,11.0000015
45,1,1,1,1,1,1,41.27778,12.333335,14.944445,29.944445,9.111111,10.388891,30.777775,13.38889,12.333335,31.833335,14.944445,14.88889,52.83333,26.555555,21.166665,48.33333,23.777775,25.777775,52.277775,33.88889,27.666665,27.666665,8.388889,10.7777765
48,1,1,1,1,1,1,44.16667,12.5,16.555555,32.944445,8.8333325,10.3888875,31.88889,14.166665,14.555555,32.77778,15.44444,14.5,57.222225,30.055555,20.444445,53.388885,24.444445,26.388885,55.055555,37.555555,28,30,10.0555575,10.9444425
51,1,1,1,1,1,1,45.5,14.38889,16.5,35.777775,9.4444435,10.9444435,35,16.72222,14.5,35.11111,18,16.166665,60.722225,32.61111,22.77778,59.777775,26.38889,27.55556,62.833335,39.388885,29.33333,33.833335,10.444445,11.72222
