Elapsed,PC9,PC9-A/E,PC9-E,AXL KO,AXL KO-A/E,AXL KO-E,Kin,Kin-A/E,Kin-E,Kdead,Kdead-A/E,Kdead-E,M4,M4-A/E,M4-E,M5,M5-A/E,M5-E,M7,M7-A/E,M7-E,M10,M10-A/E,M10-E,M11,M11-A/E,M11-E,M15,M15-A/E,M15-E
0,5.9486655,5.1721805,5.451946,4.6595685,4.7900955,5.0893475,7.39633,6.643925,6.788907,5.1498535,4.9011865,4.0636075,5.5316725,6.0686375,6.48955,5.296876,5.4939265,5.3735255,6.518114,7.6828565,6.485236,4.9761435,5.3301415,5.5285915,5.114816,5.7377935,5.3366705,4.2892035,3.494576,3.7428445
3,6.8106925,5.819952,5.981119,5.21586,5.4549055,5.9114545,8.3077925,7.5252105,7.755514,5.571524,5.9433655,4.867606,6.238747,7.1671645,7.8046005,5.9625285,6.603797,6.667308,7.3047855,9.0521695,7.4817965,5.8273385,6.3187425,6.2510165,5.468074,6.63438,6.5415115,4.8366395,4.141327,4.389747
6,7.2752455,6.5533795,6.837785,5.3786775,5.7353055,6.098644,8.878489,8.661847,8.47984,5.990194,6.283527,5.3483185,6.3678275,7.6966395,8.5430205,6.1997145,6.8778335,6.989475,8.1012535,9.7142125,8.101868,6.382606,6.8077975,7.044373,6.2212835,7.1619895,7.312928,5.0937145,4.4287865,4.613188
9,8.0992955,7.275265,7.8586495,5.508484,6.3252525,6.4487875,9.5839375,9.4391175,9.4248185,6.4773255,7.0469755,5.761768,6.4103285,8.324068,9.108338,6.3964615,7.3570585,7.3084695,8.454485,10.513005,9.2070565,6.676986,7.690407,7.6278025,6.5786395,7.804039,7.785878,5.4050375,5.0866385,4.9638055
12,8.7888765,8.488286,8.7657335,5.7951845,6.657098,6.833543,10.288067,10.163888,10.0972775,6.8016815,7.427888,6.0774965,7.0369525,8.880397,9.615582,6.6992525,7.8975905,7.6797645,8.523986,11.365515,9.3137915,6.746271,7.99162,8.005414,6.9658765,8.692218,8.36736,5.701896,5.263129,5.2168165
15,9.7108285,9.2774765,9.803648,6.154639,6.8642055,7.149033,10.891218,10.733515,10.5845675,7.3176205,7.6743735,6.4459725,7.530837,9.618974,10.302346,7.0643635,8.491154,8.051503,9.2209575,11.965425,9.93525,7.302354,8.658975,8.451974,7.233126,9.2788225,8.646489,5.81568,5.4672625,5.4334395
18,10.598955,10.315539,10.932755,6.4143575,7.2977445,7.5301955,11.42283,11.39324,11.513815,7.57795,8.6387005,6.676193,7.856354,9.938589,10.7417,7.189776,8.721534,8.3542155,9.4133305,12.547025,10.60362,7.8134365,8.905976,8.6771145,7.565551,9.8914625,9.2141595,6.1809535,5.5583515,5.844992
21,11.81411,11.489305,11.839485,6.755972,7.5603615,7.7249355,11.756735,12.00767,12.28209,7.699948,8.152983,7.164296,8.221324,10.544495,11.226045,7.6522435,8.72859,8.767596,9.4516905,12.69351,11.0919,8.075348,9.1176335,9.411947,7.6404285,10.299538,9.725124,6.2523555,5.611694,5.9945685
24,12.86907,12.740265,13.155845,7.075472,7.9093825,7.9485735,12.27594,13.172295,13.13274,8.2498585,8.4637805,7.63088,8.5569715,10.61231,11.60412,7.9098485,9.3606055,9.561493,10.38623,13.861415,11.659985,8.1345985,9.9264245,9.5512555,7.9203995,10.8322215,10.146177,6.6116955,6.189987,6.397941
27,14.1384,13.805,14.263385,7.4268795,8.155845,8.4847875,13.494485,14.084435,14.33114,8.993845,9.9639895,8.3305715,9.266441,11.625745,12.553645,8.3811745,10.20624,10.0680885,10.659175,14.96066,12.545945,8.7002535,10.878365,10.4702825,8.3973145,11.751485,10.996505,6.706332,6.5585545,6.903299
30,15.494335,15.276715,15.171935,7.798447,8.6678725,9.0177685,14.086115,15.294075,15.53783,9.291161,9.563779,8.685378,9.6990515,12.2873,12.8043,8.4283035,10.196536,10.6650955,11.081725,16.126655,13.060055,9.1438225,11.4095,10.84946,9.099859,12.358735,11.940255,6.7165985,6.9790565,7.1130965
