Elapsed,PC9-UT,PC9-A/E,PC9-E,AXL KO-UT,AXL KO-A/E,AXL KO-E,Kin-UT,Kin-A/E,Kin-E,Kdead-UT,Kdead-A/E,Kdead-E,M4-UT,M4-A/E,M4-E,M5-UT,M5-A/E,M5-E,M7-UT,M7-A/E,M7-E,M10-UT,M10-A/E,M10-E,M11-UT,M11-A/E,M11-E,M15-UT,M15-A/E,M15-E
0,4.442779,4.703833,3.9610225,4.89199,5.0359395,5.579692,4.1293265,5.0342895,4.3905395,3.826114,6.987425,3.16775,5.320475,5.6257545,5.088987,4.30513,3.5597715,3.419137,4.7052555,4.919405,4.3618915,3.6467135,3.952301,3.492607,2.987875,2.9449995,3.104213,2.8315265,2.7861855,2.352586
3,4.6497465,4.894065,4.6204035,5.917104,6.3420185,6.8712545,4.9692765,6.430432,5.7564945,4.956248,7.9461385,4.476093,6.6745725,7.3001085,6.822829,5.4225205,4.3758765,4.786063,5.5282955,6.878475,5.983471,4.5164305,5.164449,4.6843885,3.7529095,4.0633535,4.138952,3.540065,3.514422,3.086461
6,4.9449725,5.260367,5.2936895,5.842397,7.1270245,7.384277,5.6451645,7.549997,6.627171,5.4301455,9.40549,4.9089035,7.1266105,8.0218315,7.533489,5.7088045,4.714069,5.396145,5.935656,7.2829245,6.668226,4.819032,5.5433575,5.3317615,4.0394975,4.4426535,4.549958,3.8850915,3.8950085,3.475109
9,5.5045725,5.865578,6.041526,5.812125,7.8120065,8.1590385,5.938054,8.818503,8.0159885,5.8559255,10.380266,5.698777,7.7998465,8.764041,8.618729,6.011395,5.0498445,6.214701,6.6286815,7.8505795,7.7141075,5.287301,6.018379,5.9483165,4.1345735,4.8696585,5.127856,4.3872885,4.253988,3.9883435
12,6.072447,6.798442,6.9558865,6.212986,8.3255965,8.7309085,6.7711405,9.9492865,9.376618,6.222494,10.2106695,6.276428,8.5341125,9.8863165,9.443774,6.613487,5.5502055,6.663745,7.354836,8.789654,8.7125765,5.857417,6.7478875,6.509058,4.918066,5.5492195,5.7962705,4.578162,4.546543,4.4525525
15,6.623965,7.736469,7.6946785,6.1186115,9.140386,9.1658625,7.4083835,11.211555,10.140313,6.729566,12.1238375,6.6228085,9.1017815,10.445637,10.2650965,7.253253,5.9467985,7.432589,8.1217755,9.7345315,9.387914,6.347072,7.2342715,7.027778,5.223088,6.149001,6.432326,5.0287125,4.9831815,4.907617
18,7.362905,8.4406485,8.450395,6.589759,9.8214375,9.633261,8.109524,11.661185,11.048205,7.2367335,13.3490275,7.1686365,10.1039595,11.30108,11.25075,7.4518435,6.4837225,7.47688,8.3954515,10.631738,9.7191335,6.9025435,7.645327,7.596772,5.465176,6.660539,6.7708865,5.7885305,5.1990495,5.298307
21,7.715067,9.109877,8.955525,7.0447675,10.2205365,10.0419585,8.3364215,12.53941,11.64906,7.411275,15.2285675,7.454795,10.5599185,11.950625,11.566655,7.6694335,7.0482885,7.9407125,8.8731315,11.3273655,10.59103,7.2862185,8.164427,8.1325685,5.944553,7.143983,7.2413095,6.00117,5.62171,5.4143025
24,8.556277,9.813653,9.7967125,7.3932565,10.82258,10.84374,8.83399,13.123155,12.36733,7.946066,16.405534,7.898433,11.063815,12.65262,12.25909,7.9687765,7.5067225,8.405767,9.2453915,12.078415,11.313435,7.6878795,8.7788565,9.046929,6.858697,7.625803,7.8941755,6.582084,5.387912,5.627424
27,9.359786,11.1759055,10.935245,8.014911,11.503435,11.37696,9.572333,14.072765,13.31126,8.5319005,16.90304,8.4925615,11.70482,13.31829,12.760805,8.352576,8.111357,8.885644,9.7895445,12.46581,12.41928,8.271161,9.3692145,9.702272,7.020115,8.107711,8.695189,6.861759,6.0694495,6.0044055
