Elapsed,PC9-UT,PC9-A/E,PC9-E,AXL KO-UT,AXL KO-A/E,AXL KO-E,Kin-UT,Kin-A/E,Kin-E,Kdead-UT,Kdead-A/E,Kdead-E,M4-UT,M4-A/E,M4-E,M5-UT,M5-A/E,M5-E,M7-UT,M7-A/E,M7-E,M10-UT,M10-A/E,M10-E,M11-UT,M11-A/E,M11-E,M15-UT,M15-A/E,M15-E
0,1.49999995,1.99999995,0.55555555,3.4444445,0.94444445,0.83333315,0.9999999,1.16666645,0.83333315,0.83333335,1.5,0.3888889,0.72222225,1.16666645,0.3333333,0.7222221,0.38888885,0.5,0.66666665,0.8888889,0.6111111,0.44444445,0.8888888,0.38888885,0.38888885,0.5,0.61111115,0.61111105,0.44444445,0.55555555
3,1.72222245,1.6111113,0.99999985,3.388889,1.11111095,0.7222221,0.94444445,1.222222,0.83333315,1.0555555,1.5555555,0.33333335,0.8888889,1.4444445,0.83333335,0.7777776,0.6666667,0.6111111,0.7222222,1.111111,0.7777777,0.72222225,0.7222222,0.4444444,0.3333333,0.66666665,0.61111115,0.72222215,0.8888889,0.38888885
6,1.5555555,1.61111095,0.94444435,3.388889,1.11111135,0.9444443,0.94444445,1.3888885,1.22222245,0.72222225,1.4444445,0.8333331,0.88888885,1.722222,0.88888885,0.5555555,0.61111115,0.83333335,0.6111111,0.99999985,1.11111135,0.6111111,0.94444435,0.5555556,0.3333333,0.72222225,0.6666667,0.7222222,0.83333335,0.72222225
9,1.49999985,1.8888885,0.44444445,3.388889,1.11111095,1.05555545,0.8888889,1.333333,1.388889,0.6666667,1.11111095,0.7222222,0.88888885,1.6666665,1.0555554,0.5,0.61111115,0.8888889,0.7777778,1.3888885,1.3888885,0.5,0.9444443,0.72222225,0.55555555,0.6111111,0.7777777,0.72222225,0.6666667,0.4444444
12,1.11111135,1.722222,0.61111115,3.4444445,1.111111,0.94444435,0.7777778,1.2777775,1.27777795,0.9444444,1.11111095,0.6111111,0.83333335,1.6666665,1.222222,0.6111111,0.5555556,0.88888885,0.8888888,1.2777775,1.388889,0.6111111,0.9999998,0.7777778,0.38888885,0.55555555,0.7777778,0.7222222,0.6666667,0.5
15,0.9999998,1.888889,0.72222225,3.44444445,1.3888885,1.222222,0.83333335,1.277778,1.1111109,0.83333335,1.111111,0.6111111,0.8888889,1.6666665,1.333333,0.55555555,0.5555556,0.94444435,0.88888885,1.111111,1.222222,0.72222215,1.05555535,0.6666667,0.33333335,0.66666665,0.88888885,0.66666665,0.7777778,0.44444445
18,1.1111109,1.722222,0.7777778,3.0555555,1.2777775,1.333333,0.7222222,1.0555554,0.99999995,0.6666667,1.222222,0.66666665,0.83333335,1.4444445,1.388889,0.66666655,0.3333333,0.83333335,0.83333335,1.388889,1.222222,0.7777777,1.1666665,0.72222215,0.44444445,0.7777777,0.94444435,0.7777776,0.7777778,0.66666665
21,1.1666669,1.777778,0.7777777,2.7222225,1.3888885,1.4444445,0.66666665,1.22222245,1.0555554,0.72222225,1.3333335,0.7222222,0.7777778,1.8333335,1.611111,0.55555555,0.5,0.94444445,0.6666667,1.2777775,1.5555555,0.7777778,1.4444445,0.6111111,0.55555555,0.9444444,0.9999998,0.7777776,0.72222225,0.61111115
24,1.16666685,1.9444445,0.9999998,2.94444445,1.5,1.7222225,0.7777778,1.4444445,1.27777795,1.05555545,1.5,0.8888888,0.6666667,2,1.7777775,0.6111111,0.72222225,0.99999995,1,1.333333,1.8333335,0.7777778,1.4444445,0.6111111,0.6111111,1.11111095,1.27777785,0.8333331,0.8888889,0.7222222
27,1.05555535,1.888889,0.9444442,3.1666665,1.5555555,1.666667,0.7777777,1.5,1.611111,0.83333335,1.6111115,0.9444443,0.8888889,2.3333335,1.611111,0.8333332,0.6666667,1.1666665,0.99999995,1.6111115,1.8888885,0.7777778,1.3333335,0.8888887,0.3333333,1.16666645,1.6666665,0.9444442,0.9444444,0.83333335
30,1.1111109,1.888889,1.1111113,3.1666665,1.4444445,2.222222,0.8333333,1.6666665,2.111111,0.8333333,1.888889,1.2222224,0.7777778,2.8333335,2.0555555,0.9444443,0.94444445,1.222222,1.38888895,1.611111,1.7777775,0.72222225,1.5,1.1666667,0.44444445,1.111111,1.9444445,0.94444465,1.1666665,1.33333345
33,1.11111135,2.611111,1.3333333,2.7777775,1.8888885,2.5555555,0.7222222,1.888889,2.277778,1.05555545,2.222222,1.44444445,1.1666665,3.111111,2.5,1.11111135,1.0555555,1.5,2.055556,1.611111,2.0555555,0.7777778,1.4444445,1.3333334,0.3888889,1.05555545,2.0555555,0.88888865,1.1666665,1.611111
36,1.1111109,2.666667,1.6666665,2.888889,2.5555555,2.888889,0.66666665,2.388889,2.5555555,0.99999995,2.388889,1.5,1.222222,3.4444445,3.2777775,1.05555535,1.111111,2,1.44444445,1.7222225,2.2222225,0.83333335,1.6111115,1.6666665,0.27777775,1.5,2.222222,0.72222205,1.4444445,1.722222
39,1.22222245,3.1111115,1.833333,3.3333335,3.2777775,3.3333335,0.8888888,3.166667,3,0.83333335,2.8333335,1.944444,0.99999985,4.333333,4.1111115,1.33333345,1.1111109,2.333333,1.833333,2.1666665,2.2222225,0.8888889,1.7222225,2.055556,0.27777775,1.4444445,2.444444,0.77777765,1.611111,2.111111
