Elapsed,PC9 UT,PC9 E,PC9 AF,PC9 A/E,KO UT,KO E,KO AF,KO A/E,KIN UT,KIN E,KIN AF,KIN A/E,KD UT,KD E,KD AF,KD A/E,M4 UT,M4 E,M4 AF,M4 A/E,M5 UT,M5 E,M5 AF,M5 A/E,M7 UT,M7 E,M7 AF,M7 A/E,M10 UT,M10 E,M10 AF,M10 A/E,M11 UT,M11 E,M11 AF,M11 A/E,M15 UT,M15 E,M15 AF,M15 A/E
0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,1,1,1,1,1,1,9.827035457,11.2389634,7.204031643,14.33900923,13.00054032,7.382422434,8.187590249,50.45434496,12.69419991,6.448484943,18.4042502,10.88286629,15.48357198,13.98367972,19.24456413,19.35898499,11.71030169,12.06738529,15.20887924,12.7736192,14.07508714,10.36198198,15.76137511,15.47425071,15.49423318,15.98872088,20.49201752,18.18176805,11.77413335,9.882980443,18.0354736,19.74895123
4,1,1,1,1,1,1,1,1,21.99637288,22.4677018,22.05254531,20.77303478,23.91580139,17.07535522,16.7675644,42.54595192,19.34602505,16.00626579,26.38521137,19.99403108,32.38315348,26.6014506,34.29982861,31.05088606,22.26220464,21.86757606,27.88590237,28.95648191,25.15372192,21.92191055,34.76749689,28.59096389,29.03983014,26.82833162,34.26485156,29.50253476,25.90375728,22.8216853,35.7198164,25.22874776
6,1,1,1,1,1,1,1,1,33.64076366,36.14265141,27.24523428,34.76894526,26.9047093,23.18706219,22.97037237,37.08267636,34.35703706,26.05992442,31.79815578,29.17008332,47.54585014,37.65373339,48.63014844,41.06867037,31.42428409,30.1202979,43.36458327,42.28637074,38.11639215,31.96014245,48.84593218,42.34770662,42.24553639,35.83541116,50.31586507,41.36928154,38.50942564,32.37251085,49.3082273,35.74343721
8,1,1,1,1,1,1,1,1,47.86421821,47.5017366,39.28651541,42.13289636,41.08008035,29.76042969,28.46980379,34.3576779,45.52678024,32.41766451,50.70140373,38.65231508,60.05394357,44.90124391,64.53562365,48.10052431,41.16477935,36.73659761,54.3790026,53.34251503,55.20595494,40.06723623,60.11546566,55.48205345,55.21818136,43.14841008,60.8632219,52.82695901,50.55130754,37.75504917,62.68309588,42.80189386
10,1,1,1,1,1,1,1,1,58.07898087,53.38077163,46.20320264,49.6666029,51.16118852,35.63391348,37.50195134,34.58931785,60.88992013,40.08388451,67.79924847,46.73455157,74.50325114,53.07538426,76.56202343,55.08799099,52.89509385,42.21412224,67.50251839,59.36852319,62.95643779,47.581485,69.67286099,62.22259166,67.55518632,50.63193579,75.02311568,59.54154279,57.82117707,43.1883704,72.98301144,53.23536346
12,1,1,1,1,1,1,1,1,66.53865794,60.48320621,61.25241406,56.67422457,56.20115264,37.76321375,43.26464747,40.23256693,68.77438295,44.00854847,74.09136444,50.72161608,86.62579616,57.05486211,86.42214073,61.42937385,63.71361636,48.37309886,85.21607055,63.55294328,71.42078056,54.63475141,84.84108807,68.18399766,81.65117692,54.17529565,79.59318698,65.60629623,69.76404891,46.86304272,81.82812762,59.16208624
14,1,1,1,1,1,1,1,1,75.4390296,66.92975475,71.40273267,65.54090334,58.29841053,39.64955553,49.16930599,42.36370065,81.68913946,47.43414579,78.52162349,51.43390977,88.59591595,60.27328097,96.88080769,66.78215946,70.11533007,52.91338749,90.37399575,68.64161454,83.32001701,59.50840214,88.015229,72.27983323,86.07314752,59.36056093,89.73503775,67.79951164,78.3440483,48.96558861,81.65034278,62.50698399
16,1,1,1,1,1,1,1,1,70.07683708,69.08337541,87.30818054,71.23929846,77.76781898,41.09432951,53.3228595,44.16563608,93.90472489,48.02733345,86.97657601,53.57267241,96.94086609,66.60887619,106.13679,71.09278118,76.00108788,56.21849456,97.18271378,74.22100331,85.96447016,65.05534091,89.32410058,74.00498412,92.47069073,62.58493996,91.97172401,71.03294485,86.37379241,51.28512767,92.61247469,68.51826613
18,1,1,1,1,1,1,1,1,84.39095805,69.35027616,98.224771,77.00509906,74.46322689,43.72997522,55.51360587,45.37162556,101.3624361,50.45461961,92.41802506,60.354056,99.80727241,68.32700833,106.9186904,74.33147978,82.08804037,57.3431017,99.89239629,79.38557316,94.65218314,66.21778456,92.99016806,77.91281616,96.9801532,66.35815112,93.18283529,71.5795894,94.85692145,54.75390039,99.43443409,69.63064972
