Elapsed,PC9,E,R,ER,EHGF,EFGF,EIGF,KOE,KOR,KOER,,,,,,
0,3.460900667,3.329657,3.813912,4.507313667,4.758386,3.374933333,3.270573667,0.9166199,2.158891667,1.920914333,,,,,,
3,3.859823667,4.199116333,4.559642,5.691117,5.833674333,4.381874667,3.876634667,1.070007533,2.589273333,2.243344667,,,,,,
6,4.327053333,4.780711333,4.69164,5.794731,6.489172333,4.926301667,4.331105667,1.1540169,2.713113333,2.264162333,,,,,,
9,4.798018,5.666606,5.2942915,6.632082667,7.455097667,5.852722333,5.079035667,1.319588367,3.285238667,2.608741667,,,,,,
12,5.298272667,6.759821333,6.146769,7.643809333,8.580888333,6.923224333,5.994483,1.629203333,3.68798,2.958045333,,,,,,
15,5.670936667,7.800024667,7.1253205,8.465237,9.614513333,8.134566,6.991822333,1.741735533,3.999558,3.20523,,,,,,
18,6.412782667,8.673325667,7.8763005,9.599499667,10.95769133,9.202599333,7.738022333,1.958850333,4.218852333,3.282558667,,,,,,
21,6.982808667,9.535557,8.6024485,10.43225333,12.12939667,10.450295,8.808580333,2.096661,4.496023333,3.513997333,,,,,,
24,7.898227667,10.42535433,9.2677055,11.28457333,14.04443333,11.50729333,9.505287,2.366434,4.909480333,3.762098667,,,,,,
27,8.945358,11.16997067,10.1449925,12.14099333,15.72935333,12.58407667,10.47134567,2.432516667,5.302245,3.937254,,,,,,
30,10.06369667,11.98400333,11.13734,12.93869,17.94545667,13.96409667,11.25841033,2.808715333,5.606191,4.197249667,,,,,,
33,11.39411667,12.57507333,11.783745,13.22665,20.11302333,15.38098,12.20629,2.754515,6.011447333,4.273861,,,,,,
36,12.61967667,13.46063667,12.306045,13.51001667,22.32874,17.12818333,13.15001,2.854806333,6.38064,4.447451,,,,,,
39,13.64146,13.77569667,12.390425,13.02172,23.73452,18.13072667,13.70169,2.990051,6.507029667,4.210287333,,,,,,
42,15.48433667,14.34614333,12.987225,13.01044,26.30331667,19.49049,14.52961,3.084452,6.676176,4.175448,,,,,,
45,17.63501,14.955,13.668055,13.06589,28.95099,21.15496333,15.41752,3.345483333,7.008975333,4.238605,,,,,,
48,20.06116,15.36116333,14.47291,13.15705667,31.71761,23.19457,16.19417,3.024492667,7.255973333,4.229306667,,,,,,
51,23.30607667,15.85028,14.889185,13.25448333,34.48984667,25.15691333,16.94781,3.244566333,7.560613333,4.205626333,,,,,,
54,26.66474667,16.22282667,16.012585,13.46933333,37.43491667,27.47146667,17.89074667,3.212873333,7.721684,4.208597333,,,,,,
57,30.13114667,16.72510333,16.74772,13.49480667,39.94729333,29.69900667,18.76463333,3.502075,7.950573667,4.278060667,,,,,,
60,34.45657667,17.21257,18.1559,13.84398333,42.49614333,32.54562667,19.67008,3.701957333,8.25321,4.421204,,,,,,
63,38.71533333,17.31532,19.37187,13.95185667,44.73051667,34.94501667,20.53618,3.457235667,8.461816333,4.252439667,,,,,,
66,44.47246667,17.99639,20.75166,14.25240333,46.71025667,38.21185667,21.42226,3.550390667,8.86729,4.271117667,,,,,,
69,51.56960667,19.41815667,22.690935,15.56948333,49.21933333,41.95127667,22.38339333,4.034779333,9.460302667,4.463442333,,,,,,
72,57.43757333,19.77354333,24.158275,15.67412667,49.68579333,45.15807,23.16599,3.416216,9.617792333,4.493194333,,,,,,
75,62.58824667,19.77704333,25.065435,15.21701667,49.87298,47.49832,23.60326333,3.595366,9.792393,4.349891333,,,,,,
78,68.19641333,19.91204,26.551205,15.67425,51.40342333,50.52246,24.45797333,3.671516667,10.08788467,4.290278333,,,,,,
81,73.78408,20.99058667,28.551885,16.66586667,53.25567,53.66402,25.15065667,3.379447,10.36977167,4.247517333,,,,,,
84,79.23613333,21.98166,30.685005,17.33654667,54.91549,57.50114333,25.88595333,3.574719333,10.69338867,4.338207667,,,,,,
87,82.69977333,22.93631333,32.456555,17.57277333,56.28663667,60.39418333,26.66529333,3.420233667,11.04554667,4.260492667,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,, 
