 ,Area,Mean,Min,Max,X,Y
1,0.000,122,122,122,2.125,0.990
2,0.000,157,157,157,2.491,1.654
3,0.000,157,157,157,3.030,2.704
4,0.000,155,155,155,3.754,3.626
5,0.000,99,99,99,2.917,3.654
6,0.000,109,109,109,4.449,4.378
7,0.000,75,75,75,2.704,4.534
8,0.000,49,49,49,0.917,3.810
9,0.000,56,56,56,1.825,5.002
10,0.000,57,57,57,1.569,5.342
11,0.000,173,173,173,0.321,5.413
12,0.000,94,94,94,0.094,5.739
13,0.000,147,147,147,0.335,6.264
14,0.000,135,135,135,0.619,6.619
15,0.000,103,103,103,0.449,9.427
16,0.000,179,179,179,0.562,8.931
17,0.000,119,119,119,1.002,8.534
18,0.000,94,94,94,1.484,8.718
19,0.000,107,107,107,1.030,9.044
20,0.000,102,102,102,0.789,9.513
21,0.000,159,159,159,1.002,9.810
22,0.000,129,129,129,1.271,9.427
23,0.000,138,138,138,1.739,9.158
24,0.000,148,148,148,1.839,8.605
25,0.000,124,124,124,1.867,8.307
26,0.000,31,31,31,2.505,8.732
27,0.000,129,129,129,2.278,9.243
28,0.000,62,62,62,1.810,9.555
29,0.000,118,118,118,2.108,9.910
30,0.000,55,55,55,1.583,9.796
31,0.000,148,148,148,1.654,10.222
32,0.000,166,166,166,2.803,10.023
33,0.000,109,109,109,2.803,10.747
34,0.000,161,161,161,6.704,10.548
35,0.000,150,150,150,7.612,10.066
36,0.000,179,179,179,9.583,9.286
37,0.000,112,112,112,8.349,8.591
38,0.000,2,2,2,8.080,8.193
39,0.000,134,134,134,7.654,7.825
40,0.000,162,162,162,7.470,8.023
41,0.000,127,127,127,6.775,6.974
42,0.000,131,131,131,5.073,7.271
43,0.000,126,126,126,5.981,5.697
44,0.000,166,166,166,4.392,5.399
45,0.000,141,141,141,7.456,4.690
46,0.000,177,177,177,8.718,4.959
47,0.000,154,154,154,9.995,5.995
48,0.000,115,115,115,9.569,6.066
49,0.000,123,123,123,9.442,5.456
50,0.000,113,113,113,8.406,2.137
51,0.000,84,84,84,8.817,2.392
52,0.000,170,170,170,9.910,1.356
53,0.000,66,66,66,10.803,0.761
54,0.000,128,128,128,9.966,0.364
55,0.000,162,162,162,11.243,5.924
56,0.000,72,72,72,11.654,6.534
57,0.000,188,188,188,13.073,10.250
58,0.000,163,163,163,13.399,9.810
59,0.000,129,129,129,13.144,9.754
60,0.000,149,149,149,12.917,9.810
61,0.000,152,152,152,9.144,5.981
62,0.000,137,137,137,9.470,6.420
63,0.000,66,66,66,9.200,5.640
64,0.000,148,148,148,11.952,4.208
65,0.000,136,136,136,12.435,3.825
66,0.000,107,107,107,12.321,3.271
67,0.000,15,15,15,13.711,3.002
68,0.000,142,142,142,13.768,3.541
69,0.000,138,138,138,14.619,3.669
70,0.000,127,127,127,0.250,0.052
71,0.000,161,161,161,0.023,0.364
72,0.000,205,205,205,0.817,0.520
73,0.000,136,136,136,4.874,1.016
74,0.000,108,108,108,4.832,1.300
75,0.000,157,157,157,4.491,1.328
