 ,Area,Mean,Min,Max,X,Y
1,0.000,144,144,144,0.125,3.333
2,0.000,123,123,123,0.420,2.832
3,0.000,160,160,160,0.066,2.009
4,0.000,193,193,193,1.314,8.449
5,0.000,87,87,87,1.640,7.839
6,0.000,47,47,47,1.569,7.314
7,0.000,146,146,146,2.208,8.052
8,0.000,56,56,56,2.548,7.683
9,0.000,79,79,79,3.186,9.030
10,0.000,13,13,13,3.215,9.371
11,0.000,88,88,88,3.087,9.683
12,0.000,148,148,148,3.158,10.250
13,0.000,52,52,52,3.782,10.491
14,0.000,55,55,55,3.697,10.122
15,0.000,153,153,153,3.683,9.427
16,0.000,58,58,58,3.711,9.825
17,0.000,62,62,62,3.796,8.917
18,0.000,138,138,138,4.080,9.130
19,0.000,58,58,58,4.406,9.796
20,0.000,105,105,105,6.945,10.732
21,0.000,168,168,168,7.257,10.747
22,0.000,140,140,140,7.725,10.633
23,0.000,162,162,162,8.378,10.505
24,0.000,118,118,118,8.959,10.534
25,0.000,104,104,104,9.158,10.747
26,0.000,132,132,132,9.527,10.661
27,0.000,154,154,154,8.349,10.789
28,0.000,14,14,14,10.406,10.364
29,0.000,64,64,64,10.633,10.193
30,0.000,95,95,95,10.435,9.612
31,0.000,138,138,138,10.817,9.200
32,0.000,119,119,119,10.761,8.846
33,0.000,34,34,34,11.087,8.094
34,0.000,111,111,111,10.832,8.137
35,0.000,99,99,99,10.789,7.598
36,0.000,62,62,62,10.548,7.229
37,0.000,9,9,9,11.059,7.385
38,0.000,186,186,186,11.300,7.158
39,0.000,124,124,124,8.278,7.896
40,0.000,91,91,91,8.591,7.399
41,0.000,62,62,62,8.151,7.399
42,0.000,202,202,202,8.165,6.420
43,0.000,122,122,122,7.754,6.860
44,0.000,122,122,122,8.505,6.066
45,0.000,63,63,63,8.619,5.697
46,0.000,128,128,128,8.931,5.229
47,0.000,53,53,53,8.463,5.200
48,0.000,168,168,168,8.122,5.385
49,0.000,92,92,92,7.810,5.286
50,0.000,129,129,129,6.633,5.186
51,0.000,213,213,213,6.520,5.612
52,0.000,146,146,146,7.654,4.874
53,0.000,189,189,189,8.165,4.576
54,0.000,104,104,104,8.420,4.803
55,0.000,60,60,60,8.903,4.505
56,0.000,152,152,152,9.286,4.449
57,0.000,87,87,87,10.931,4.605
58,0.000,96,96,96,10.732,4.335
59,0.000,124,124,124,11.470,4.094
60,0.000,22,22,22,11.087,3.442
61,0.000,163,163,163,10.505,3.200
62,0.000,182,182,182,10.435,3.924
63,0.000,153,153,153,10.732,3.995
64,0.000,136,136,136,10.193,4.278
65,0.000,142,142,142,12.817,2.959
66,0.000,140,140,140,12.179,1.300
67,0.000,60,60,60,12.505,1.016
68,0.000,94,94,94,13.342,0.293
69,0.000,174,174,174,14.548,2.676
70,0.000,150,150,150,14.633,1.342
