 ,Area,Mean,Min,Max,X,Y
1,0.000,182,182,182,6.906,0.917
2,0.000,113,113,113,6.236,1.669
3,0.000,124,124,124,7.541,1.229
4,0.000,124,124,124,7.981,0.945
5,0.000,126,126,126,7.229,0.562
6,0.000,108,108,108,7.555,0.278
7,0.000,118,118,118,7.924,0.250
8,0.000,112,112,112,7.583,0.023
9,0.000,176,176,176,6.931,-0.005
10,0.000,155,155,155,8.690,0.505
11,0.000,7,7,7,9.158,0.647
12,0.000,84,84,84,9.839,0.349
13,0.000,182,182,182,10.576,0.491
14,0.000,138,138,138,10.335,0.704
15,0.000,38,38,38,10.293,1.484
16,0.000,99,99,99,9.711,1.356
17,0.000,79,79,79,4.250,2.151
18,0.000,129,129,129,3.952,2.647
19,0.000,139,139,139,3.654,2.945
20,0.000,148,148,148,3.484,2.364
21,0.000,132,132,132,3.243,2.505
22,0.000,103,103,103,2.903,2.420
23,0.000,119,119,119,2.903,1.739
24,0.000,131,131,131,2.193,2.080
25,0.000,63,63,63,1.768,2.491
26,0.000,20,20,20,1.839,2.860
27,0.000,71,71,71,1.810,3.286
28,0.000,87,87,87,2.647,2.846
29,0.000,108,108,108,2.364,3.683
30,0.000,75,75,75,3.016,3.130
31,0.000,70,70,70,3.257,3.385
32,0.000,148,148,148,1.569,6.718
33,0.000,146,146,146,0.661,6.066
34,0.000,156,156,156,2.945,9.200
35,0.000,114,114,114,2.619,10.009
36,0.000,113,113,113,13.144,10.066
37,0.000,61,61,61,13.087,10.477
38,0.000,151,151,151,12.534,10.647
39,0.000,129,129,129,14.122,10.023
40,0.000,130,130,130,13.300,9.555
41,0.000,37,37,37,12.860,9.739
42,0.000,96,96,96,12.832,9.427
43,0.000,202,202,202,12.803,8.222
44,0.000,108,108,108,11.513,8.647
45,0.000,88,88,88,11.470,8.080
46,0.000,45,45,45,11.030,7.938
47,0.000,104,104,104,11.413,7.427
48,0.000,102,102,102,10.803,7.215
49,0.000,140,140,140,10.903,6.661
50,0.000,147,147,147,11.300,6.647
51,0.000,124,124,124,11.697,7.697
52,0.000,76,76,76,11.938,7.385
53,0.000,138,138,138,12.520,7.385
54,0.000,98,98,98,12.037,6.846
55,0.000,140,140,140,12.193,6.576
56,0.000,118,118,118,11.598,6.449
57,0.000,134,134,134,11.867,5.583
58,0.000,186,186,186,11.300,5.768
59,0.000,91,91,91,11.115,5.442
60,0.000,118,118,118,13.002,6.505
61,0.000,5,5,5,12.718,6.278
62,0.000,124,124,124,13.513,6.193
63,0.000,94,94,94,14.264,6.278
64,0.000,91,91,91,11.796,3.839
