 ,Area,Mean,Min,Max,X,Y
1,0.000,155,155,155,0.448,1.281
2,0.000,213,213,213,0.066,1.697
3,0.000,85,85,85,-0.005,0.959
4,0.000,121,121,121,0.718,7.938
5,0.000,180,180,180,1.427,7.782
6,0.000,79,79,79,0.009,8.122
7,0.000,16,16,16,4.094,10.420
8,0.000,106,106,106,6.122,10.335
9,0.000,133,133,133,8.392,10.137
10,0.000,126,126,126,10.435,10.463
11,0.000,64,64,64,6.591,8.874
12,0.000,84,84,84,5.810,8.732
13,0.000,102,102,102,5.938,7.612
14,0.000,96,96,96,5.144,7.952
15,0.000,152,152,152,5.314,6.137
16,0.000,112,112,112,4.676,5.513
17,0.000,118,118,118,4.449,6.378
18,0.000,100,100,100,5.044,4.874
19,0.000,52,52,52,6.151,5.881
20,0.000,70,70,70,6.676,5.825
21,0.000,116,116,116,6.633,5.044
22,0.000,66,66,66,6.406,4.293
23,0.000,114,114,114,5.782,0.364
24,0.000,120,120,120,6.052,1.286
25,0.000,73,73,73,7.385,1.172
26,0.000,193,193,193,7.087,1.640
27,0.000,149,149,149,6.761,0.122
28,0.000,158,158,158,7.470,0.023
29,0.000,147,147,147,8.293,2.846
30,0.000,157,157,157,9.200,2.846
31,0.000,204,204,204,9.101,2.264
32,0.000,56,56,56,9.896,1.768
33,0.000,83,83,83,11.796,1.697
34,0.000,99,99,99,10.364,0.349
35,0.000,74,74,74,10.803,0.165
36,0.000,80,80,80,9.087,0.094
37,0.000,129,129,129,12.009,0.435
38,0.000,69,69,69,12.832,0.817
39,0.000,130,130,130,13.044,1.399
40,0.000,103,103,103,13.456,2.520
41,0.000,94,94,94,13.087,3.598
42,0.000,123,123,123,14.264,1.342
43,0.000,89,89,89,9.569,6.747
44,0.000,127,127,127,10.264,7.115
45,0.000,166,166,166,8.945,7.186
46,0.000,51,51,51,8.945,7.896
47,0.000,119,119,119,7.839,7.456
48,0.000,118,118,118,7.825,7.881
49,0.000,112,112,112,7.810,6.505
50,0.000,174,174,174,9.541,7.498
