 ,Area,Mean,Min,Max,X,Y
1,0.000,68,68,68,2.375,0.510
2,0.000,0,0,0,3.513,0.605
3,0.000,96,96,96,4.307,0.874
4,0.000,69,69,69,5.427,1.115
5,0.000,87,87,87,3.725,1.527
6,0.000,1,1,1,3.697,1.910
7,0.000,26,26,26,3.626,2.208
8,0.000,149,149,149,4.009,2.435
9,0.000,43,43,43,4.080,2.888
10,0.000,53,53,53,2.080,1.810
11,0.000,1,1,1,2.335,2.591
12,0.000,137,137,137,2.293,3.484
13,0.000,68,68,68,4.108,3.612
14,0.000,142,142,142,3.938,3.896
15,0.000,96,96,96,3.300,4.250
16,0.000,175,175,175,3.186,4.817
17,0.000,36,36,36,1.669,4.208
18,0.000,112,112,112,1.442,4.222
19,0.000,76,76,76,0.931,4.208
20,0.000,149,149,149,1.200,5.257
21,0.000,16,16,16,1.725,5.896
22,0.000,126,126,126,1.640,6.349
23,0.000,51,51,51,0.647,6.647
24,0.000,1,1,1,2.037,10.491
25,0.000,123,123,123,3.754,6.988
26,0.000,162,162,162,4.066,6.874
27,0.000,95,95,95,4.690,7.952
28,0.000,156,156,156,5.399,8.548
29,0.000,37,37,37,5.356,8.179
30,0.000,118,118,118,5.328,7.399
31,0.000,50,50,50,5.796,7.144
32,0.000,124,124,124,6.264,3.300
33,0.000,9,9,9,7.456,3.130
34,0.000,140,140,140,8.420,0.335
35,0.000,20,20,20,9.725,3.087
36,0.000,42,42,42,10.704,3.725
37,0.000,38,38,38,10.718,1.427
38,0.000,144,144,144,11.356,1.711
39,0.000,77,77,77,12.349,2.420
40,0.000,181,181,181,9.612,6.491
41,0.000,120,120,120,8.052,7.044
42,0.000,42,42,42,7.626,8.463
43,0.000,127,127,127,7.059,8.449
44,0.000,227,227,227,6.463,9.172
45,0.000,107,107,107,7.073,9.527
46,0.000,52,52,52,6.761,9.938
47,0.000,125,125,125,7.186,10.349
48,0.000,72,72,72,7.669,9.215
49,0.000,0,0,0,7.314,9.300
50,0.000,124,124,124,8.392,9.172
51,0.000,20,20,20,8.122,8.378
52,0.000,140,140,140,8.704,8.378
53,0.000,244,244,244,9.371,8.193
54,0.000,99,99,99,9.030,9.881
55,0.000,6,6,6,9.754,9.853
56,0.000,0,0,0,9.825,10.137
57,0.000,206,206,206,9.853,10.378
58,0.000,196,196,196,11.739,10.562
59,0.000,132,132,132,12.690,10.491
60,0.000,85,85,85,12.988,10.534
61,0.000,187,187,187,13.002,10.775
62,0.000,157,157,157,10.647,8.321
63,0.000,17,17,17,10.888,8.420
64,0.000,16,16,16,11.484,7.683
65,0.000,1,1,1,13.144,8.406
66,0.000,88,88,88,12.775,6.974
67,0.000,126,126,126,14.548,7.215
68,0.000,103,103,103,14.576,6.534
69,0.000,5,5,5,13.981,5.612
70,0.000,21,21,21,12.931,4.789
71,0.000,2,2,2,13.810,4.789
72,0.000,195,195,195,13.059,4.349
73,0.000,35,35,35,13.413,3.995
74,0.000,117,117,117,12.860,3.399
75,0.000,176,176,176,13.796,3.924
76,0.000,58,58,58,13.896,3.527
77,0.000,29,29,29,14.179,3.144
78,0.000,56,56,56,14.108,2.647
79,0.000,112,112,112,13.683,2.108
80,0.000,109,109,109,13.910,1.229
81,0.000,122,122,122,14.151,0.094
82,0.000,24,24,24,14.619,2.491
83,0.000,3,3,3,10.151,6.179
