 ,Area,Mean,Min,Max,X,Y
1,0.000,169,169,169,1.146,9.854
2,0.000,132,132,132,1.456,10.250
3,0.000,158,158,158,2.250,10.463
4,0.000,117,117,117,0.676,10.647
5,0.000,178,178,178,1.314,10.576
6,0.000,131,131,131,1.683,10.761
7,0.000,134,134,134,0.392,7.158
8,0.000,88,88,88,1.229,6.988
9,0.000,100,100,100,0.718,6.917
10,0.000,97,97,97,0.335,6.548
11,0.000,80,80,80,0.888,6.321
12,0.000,191,191,191,0.704,5.796
13,0.000,126,126,126,0.108,5.385
14,0.000,177,177,177,1.371,5.328
15,0.000,115,115,115,1.938,5.243
16,0.000,169,169,169,1.314,4.931
17,0.000,55,55,55,1.683,4.633
18,0.000,70,70,70,0.917,4.392
19,0.000,175,175,175,2.803,4.690
20,0.000,140,140,140,0.378,4.761
21,0.000,112,112,112,0.307,3.640
22,0.000,47,47,47,0.435,3.924
23,0.000,55,55,55,1.016,3.910
24,0.000,151,151,151,1.810,3.825
25,0.000,117,117,117,2.364,3.115
26,0.000,74,74,74,2.165,2.817
27,0.000,167,167,167,1.669,3.144
28,0.000,182,182,182,0.378,3.130
29,0.000,106,106,106,1.030,3.130
30,0.000,162,162,162,1.144,2.605
31,0.000,132,132,132,1.385,2.151
32,0.000,171,171,171,0.931,2.165
33,0.000,99,99,99,0.364,2.349
34,0.000,144,144,144,1.300,1.768
35,0.000,60,60,60,2.832,3.243
36,0.000,152,152,152,3.200,2.803
37,0.000,13,13,13,4.420,4.052
38,0.000,179,179,179,4.435,3.130
39,0.000,166,166,166,5.498,3.725
40,0.000,144,144,144,5.782,4.959
41,0.000,80,80,80,4.718,5.810
42,0.000,87,87,87,5.059,6.449
43,0.000,141,141,141,6.293,7.867
44,0.000,135,135,135,6.378,4.449
45,0.000,155,155,155,6.860,4.392
46,0.000,244,244,244,7.725,3.910
47,0.000,94,94,94,7.669,3.002
48,0.000,159,159,159,6.591,2.505
49,0.000,90,90,90,7.413,1.924
50,0.000,0,0,0,7.158,1.527
51,0.000,164,164,164,8.165,2.023
52,0.000,148,148,148,8.278,1.626
53,0.000,79,79,79,7.810,1.583
54,0.000,145,145,145,8.066,1.243
55,0.000,211,211,211,8.505,1.158
56,0.000,164,164,164,8.264,0.491
57,0.000,150,150,150,7.484,0.307
58,0.000,149,149,149,9.598,0.534
59,0.000,61,61,61,9.810,4.023
60,0.000,88,88,88,10.505,4.364
61,0.000,113,113,113,10.888,3.896
62,0.000,151,151,151,10.193,3.825
63,0.000,150,150,150,10.491,3.442
64,0.000,87,87,87,10.264,3.342
65,0.000,36,36,36,10.307,3.569
66,0.000,103,103,103,12.789,1.059
67,0.000,150,150,150,11.555,0.775
68,0.000,47,47,47,13.683,7.172
69,0.000,125,125,125,14.009,10.520
70,0.000,149,149,149,14.264,10.789
71,0.000,158,158,158,14.477,10.250
