 ,Area,Mean,Min,Max,X,Y
1,0.000,184,184,184,1.583,0.708
2,0.000,85,85,85,0.732,0.278
3,0.000,182,182,182,0.591,1.541
4,0.000,78,78,78,0.151,2.293
5,0.000,119,119,119,0.562,2.690
6,0.000,102,102,102,0.250,3.172
7,0.000,74,74,74,0.122,3.669
8,0.000,81,81,81,3.059,2.151
9,0.000,184,184,184,3.456,0.945
10,0.000,129,129,129,3.484,3.229
11,0.000,111,111,111,2.732,2.888
12,0.000,222,222,222,2.917,3.825
13,0.000,73,73,73,2.066,2.832
14,0.000,136,136,136,4.307,3.796
15,0.000,106,106,106,5.271,4.548
16,0.000,92,92,92,6.151,4.435
17,0.000,118,118,118,4.903,5.739
18,0.000,163,163,163,2.591,4.860
19,0.000,106,106,106,1.385,4.874
20,0.000,169,169,169,1.825,5.569
21,0.000,119,119,119,1.271,5.938
22,0.000,128,128,128,1.924,5.371
23,0.000,186,186,186,1.200,6.917
24,0.000,139,139,139,1.683,7.200
25,0.000,123,123,123,2.449,7.498
26,0.000,104,104,104,1.541,10.747
27,0.000,84,84,84,0.122,10.392
28,0.000,99,99,99,3.683,8.094
29,0.000,155,155,155,4.477,7.768
30,0.000,178,178,178,4.974,8.803
31,0.000,112,112,112,6.406,5.683
32,0.000,152,152,152,6.959,6.449
33,0.000,119,119,119,6.903,8.732
34,0.000,87,87,87,7.059,10.009
35,0.000,77,77,77,8.661,8.945
36,0.000,58,58,58,8.477,7.200
37,0.000,59,59,59,9.286,7.569
38,0.000,209,209,209,9.626,8.349
39,0.000,88,88,88,10.080,6.988
40,0.000,187,187,187,7.754,3.215
41,0.000,172,172,172,8.661,4.052
42,0.000,98,98,98,9.583,3.881
43,0.000,1,1,1,9.498,3.541
44,0.000,55,55,55,9.115,2.676
45,0.000,169,169,169,10.520,1.867
46,0.000,87,87,87,10.576,2.888
47,0.000,88,88,88,10.208,3.073
48,0.000,134,134,134,10.278,3.442
49,0.000,150,150,150,11.569,2.321
50,0.000,61,61,61,11.527,3.257
51,0.000,150,150,150,11.513,3.782
52,0.000,175,175,175,10.420,4.874
53,0.000,164,164,164,12.094,2.321
54,0.000,16,16,16,11.739,1.215
55,0.000,162,162,162,11.896,0.903
56,0.000,153,153,153,12.534,1.144
57,0.000,47,47,47,12.605,1.640
58,0.000,244,244,244,13.073,1.853
59,0.000,138,138,138,13.427,0.718
60,0.000,63,63,63,13.825,0.463
61,0.000,115,115,115,14.378,0.080
62,0.000,148,148,148,14.633,0.250
63,0.000,114,114,114,14.576,1.910
64,0.000,114,114,114,14.066,2.335
65,0.000,22,22,22,14.378,4.278
66,0.000,249,249,249,14.137,4.888
67,0.000,122,122,122,13.541,4.619
68,0.000,114,114,114,13.314,4.349
69,0.000,54,54,54,14.378,6.378
70,0.000,113,113,113,13.640,6.236
71,0.000,107,107,107,12.832,5.413
72,0.000,79,79,79,12.477,5.356
73,0.000,112,112,112,12.817,4.718
74,0.000,159,159,159,12.250,6.278
75,0.000,49,49,49,12.477,6.591
76,0.000,45,45,45,11.754,7.555
77,0.000,88,88,88,11.215,7.669
78,0.000,117,117,117,13.796,8.591
79,0.000,149,149,149,13.342,8.775
80,0.000,111,111,111,14.122,7.995
81,0.000,148,148,148,14.605,8.009
82,0.000,123,123,123,14.477,8.974
83,0.000,136,136,136,12.832,9.442
84,0.000,101,101,101,12.945,9.825
85,0.000,112,112,112,11.683,9.754
86,0.000,88,88,88,11.555,10.179
87,0.000,98,98,98,11.130,9.286
88,0.000,70,70,70,10.420,9.938
89,0.000,128,128,128,9.910,10.307
90,0.000,141,141,141,10.718,10.775
