 ,Area,Mean,Min,Max,X,Y
1,0.000,149,149,149,0.875,0.958
2,0.000,68,68,68,1.328,0.264
3,0.000,7,7,7,1.456,1.640
4,0.000,86,86,86,0.761,1.328
5,0.000,140,140,140,0.151,1.484
6,0.000,177,177,177,1.910,3.810
7,0.000,40,40,40,1.215,4.619
8,0.000,41,41,41,0.293,4.761
9,0.000,75,75,75,-0.005,6.108
10,0.000,89,89,89,0.052,6.548
11,0.000,209,209,209,0.122,7.853
12,0.000,98,98,98,0.562,8.803
13,0.000,175,175,175,1.101,8.860
14,0.000,53,53,53,1.073,9.569
15,0.000,193,193,193,1.087,10.619
16,0.000,166,166,166,1.513,10.576
17,0.000,213,213,213,2.137,10.505
18,0.000,217,217,217,2.278,10.789
19,0.000,112,112,112,3.924,10.052
20,0.000,67,67,67,4.789,7.683
21,0.000,150,150,150,2.647,6.250
22,0.000,87,87,87,3.754,4.605
23,0.000,126,126,126,5.243,3.825
24,0.000,62,62,62,5.825,5.640
25,0.000,124,124,124,6.576,4.619
26,0.000,109,109,109,7.555,3.073
27,0.000,184,184,184,6.108,2.208
28,0.000,146,146,146,6.378,1.626
29,0.000,42,42,42,6.761,1.257
30,0.000,140,140,140,6.974,1.413
31,0.000,166,166,166,7.470,0.832
32,0.000,48,48,48,7.243,0.491
33,0.000,111,111,111,6.747,0.605
34,0.000,23,23,23,5.229,0.562
35,0.000,144,144,144,7.966,0.392
36,0.000,158,158,158,7.981,1.739
37,0.000,192,192,192,8.576,1.768
38,0.000,71,71,71,9.200,1.598
39,0.000,24,24,24,9.739,0.605
40,0.000,120,120,120,9.073,-0.005
41,0.000,49,49,49,9.924,1.938
42,0.000,110,110,110,10.378,1.952
43,0.000,161,161,161,9.541,3.016
44,0.000,55,55,55,8.803,3.073
45,0.000,91,91,91,8.832,3.583
46,0.000,187,187,187,9.002,5.016
47,0.000,176,176,176,8.477,4.931
48,0.000,147,147,147,8.137,5.697
49,0.000,136,136,136,7.796,5.796
50,0.000,119,119,119,8.647,6.321
51,0.000,54,54,54,8.874,5.725
52,0.000,167,167,167,9.754,6.122
53,0.000,168,168,168,9.527,6.576
54,0.000,131,131,131,9.541,7.286
55,0.000,118,118,118,8.052,7.853
56,0.000,68,68,68,8.151,8.208
57,0.000,160,160,160,6.817,8.122
58,0.000,46,46,46,7.130,9.342
59,0.000,103,103,103,7.470,9.158
60,0.000,27,27,27,7.385,10.619
61,0.000,102,102,102,8.023,10.222
62,0.000,5,5,5,8.945,9.966
63,0.000,113,113,113,9.243,9.442
64,0.000,185,185,185,9.115,9.144
65,0.000,162,162,162,8.364,9.172
66,0.000,78,78,78,8.435,8.633
67,0.000,115,115,115,10.307,9.952
68,0.000,169,169,169,9.456,10.775
69,0.000,167,167,167,12.789,10.009
70,0.000,54,54,54,14.420,9.754
71,0.000,149,149,149,14.165,10.236
72,0.000,40,40,40,14.548,7.768
73,0.000,121,121,121,14.520,8.108
74,0.000,79,79,79,14.179,7.896
75,0.000,114,114,114,14.222,6.534
76,0.000,88,88,88,12.023,6.789
77,0.000,120,120,120,11.200,6.761
78,0.000,92,92,92,11.172,7.087
79,0.000,3,3,3,10.321,7.059
80,0.000,175,175,175,10.420,5.498
81,0.000,146,146,146,11.229,4.860
82,0.000,85,85,85,11.413,5.257
83,0.000,46,46,46,13.399,5.087
84,0.000,199,199,199,14.122,3.711
85,0.000,149,149,149,13.966,3.130
86,0.000,61,61,61,12.676,3.654
87,0.000,30,30,30,11.924,4.009
88,0.000,0,0,0,11.711,3.768
89,0.000,66,66,66,11.867,3.016
90,0.000,120,120,120,12.619,2.959
91,0.000,90,90,90,12.349,2.988
92,0.000,184,184,184,11.130,2.605
93,0.000,153,153,153,10.945,3.002
94,0.000,69,69,69,11.385,1.995
95,0.000,13,13,13,11.030,1.073
96,0.000,91,91,91,11.683,0.151
97,0.000,70,70,70,11.966,0.335
98,0.000,163,163,163,12.803,0.661
99,0.000,140,140,140,12.548,0.959
100,0.000,54,54,54,13.087,1.101
101,0.000,38,38,38,14.264,1.725
102,0.000,35,35,35,14.406,1.356
103,0.000,1,1,1,12.903,0.137
