 ,Area,Mean,Min,Max,X,Y
1,0.000,144,144,144,2.802,1.385
2,0.000,152,152,152,3.130,0.449
3,0.000,185,185,185,2.151,0.094
4,0.000,132,132,132,1.200,3.442
5,0.000,154,154,154,0.874,4.222
6,0.000,194,194,194,2.208,3.683
7,0.000,134,134,134,2.591,4.208
8,0.000,96,96,96,3.229,3.583
9,0.000,142,142,142,4.023,3.810
10,0.000,108,108,108,1.442,5.399
11,0.000,27,27,27,3.073,6.066
12,0.000,80,80,80,2.988,7.002
13,0.000,185,185,185,4.293,7.300
14,0.000,70,70,70,4.846,6.988
15,0.000,130,130,130,3.725,9.200
16,0.000,132,132,132,3.215,9.158
17,0.000,140,140,140,3.130,9.881
18,0.000,136,136,136,2.009,7.513
19,0.000,100,100,100,0.959,7.144
20,0.000,176,176,176,0.293,7.484
21,0.000,156,156,156,0.151,7.002
22,0.000,82,82,82,0.392,8.420
23,0.000,102,102,102,0.704,10.378
24,0.000,154,154,154,1.654,10.562
25,0.000,74,74,74,11.186,8.278
26,0.000,122,122,122,11.626,7.796
27,0.000,182,182,182,11.200,7.172
28,0.000,104,104,104,10.463,7.825
29,0.000,20,20,20,8.690,6.704
30,0.000,142,142,142,11.002,8.122
31,0.000,148,148,148,12.491,6.349
32,0.000,164,164,164,13.215,5.924
33,0.000,130,130,130,13.669,6.661
34,0.000,106,106,106,11.754,4.832
35,0.000,138,138,138,12.477,3.215
36,0.000,204,204,204,11.342,2.151
37,0.000,128,128,128,10.094,2.690
38,0.000,100,100,100,12.732,0.846
39,0.000,142,142,142,13.300,1.470
40,0.000,0,0,0,12.690,1.300
41,0.000,120,120,120,13.527,2.449
42,0.000,86,86,86,14.378,3.328
43,0.000,82,82,82,13.498,4.009
44,0.000,110,110,110,13.839,4.832
45,0.000,144,144,144,14.406,4.832
46,0.000,104,104,104,14.165,10.122
47,0.000,138,138,138,14.605,10.420
