 ,Area,Mean,Min,Max,X,Y
1,0.000,152,152,152,0.594,1.740
2,0.000,162,162,162,0.193,1.669
3,0.000,142,142,142,4.449,0.647
4,0.000,130,130,130,1.172,2.477
5,0.000,120,120,120,1.257,2.974
6,0.000,69,69,69,1.484,3.342
7,0.000,120,120,120,1.527,4.122
8,0.000,98,98,98,1.867,3.938
9,0.000,124,124,124,2.066,4.704
10,0.000,108,108,108,0.988,5.683
11,0.000,156,156,156,1.286,5.995
12,0.000,132,132,132,1.527,6.449
13,0.000,60,60,60,1.300,6.718
14,0.000,126,126,126,0.988,6.491
15,0.000,164,164,164,0.505,6.633
16,0.000,140,140,140,0.704,7.186
17,0.000,170,170,170,0.009,7.186
18,0.000,144,144,144,3.541,7.910
19,0.000,140,140,140,6.052,7.101
20,0.000,130,130,130,6.335,10.619
21,0.000,84,84,84,6.619,10.037
22,0.000,132,132,132,7.583,10.605
23,0.000,86,86,86,6.874,6.151
24,0.000,156,156,156,7.200,5.427
25,0.000,98,98,98,7.995,5.200
26,0.000,116,116,116,8.647,4.633
27,0.000,112,112,112,9.399,5.101
28,0.000,144,144,144,9.300,3.938
29,0.000,106,106,106,9.669,3.115
30,0.000,126,126,126,8.520,2.406
31,0.000,100,100,100,5.768,3.669
32,0.000,116,116,116,4.789,3.683
33,0.000,98,98,98,4.817,4.888
34,0.000,156,156,156,5.257,2.080
35,0.000,75,75,75,5.442,0.378
36,0.000,100,100,100,6.435,0.250
37,0.000,148,148,148,4.661,0.066
38,0.000,104,104,104,4.193,-0.005
39,0.000,132,132,132,7.654,0.037
40,0.000,140,140,140,7.683,1.669
41,0.000,146,146,146,8.463,1.413
42,0.000,168,168,168,7.172,2.335
43,0.000,92,92,92,7.853,2.406
44,0.000,156,156,156,7.541,2.988
45,0.000,45,45,45,10.974,1.356
46,0.000,118,118,118,11.328,2.718
47,0.000,110,110,110,14.605,6.718
48,0.000,128,128,128,14.094,8.903
49,0.000,80,80,80,14.364,9.981
50,0.000,166,166,166,12.591,9.782
51,0.000,120,120,120,13.044,10.435
