 ,Area,Mean,Min,Max,X,Y
1,0.000,147,147,147,3.302,0.948
2,0.000,134,134,134,2.718,1.144
3,0.000,144,144,144,2.122,1.583
4,0.000,107,107,107,1.669,1.200
5,0.000,105,105,105,0.860,0.704
6,0.000,130,130,130,0.052,0.888
7,0.000,86,86,86,0.435,1.654
8,0.000,140,140,140,1.810,2.761
9,0.000,137,137,137,3.555,2.690
10,0.000,119,119,119,5.867,0.548
11,0.000,169,169,169,6.193,0.037
12,0.000,128,128,128,4.803,2.789
13,0.000,118,118,118,5.271,3.172
14,0.000,114,114,114,5.839,3.044
15,0.000,157,157,157,4.747,3.583
16,0.000,142,142,142,4.250,4.094
17,0.000,152,152,152,5.229,4.392
18,0.000,148,148,148,5.030,4.789
19,0.000,159,159,159,5.725,4.974
20,0.000,177,177,177,5.896,4.477
21,0.000,124,124,124,7.314,3.385
22,0.000,99,99,99,8.420,2.151
23,0.000,116,116,116,7.300,5.300
24,0.000,178,178,178,9.016,5.101
25,0.000,101,101,101,4.747,5.966
26,0.000,170,170,170,4.335,6.264
27,0.000,152,152,152,7.215,7.172
28,0.000,99,99,99,6.690,7.073
29,0.000,128,128,128,6.761,7.754
30,0.000,143,143,143,6.151,7.981
31,0.000,116,116,116,5.782,8.052
32,0.000,160,160,160,5.385,7.810
33,0.000,146,146,146,4.718,7.725
34,0.000,111,111,111,5.498,8.520
35,0.000,149,149,149,3.981,7.896
36,0.000,44,44,44,3.541,7.711
37,0.000,91,91,91,3.087,7.739
38,0.000,148,148,148,3.002,7.286
39,0.000,83,83,83,2.676,7.881
40,0.000,42,42,42,2.278,7.612
41,0.000,195,195,195,1.739,7.257
42,0.000,178,178,178,0.576,7.342
43,0.000,121,121,121,0.406,8.080
44,0.000,98,98,98,0.846,8.023
45,0.000,127,127,127,1.371,8.293
46,0.000,204,204,204,2.378,8.420
47,0.000,97,97,97,2.761,8.335
48,0.000,105,105,105,3.200,8.775
49,0.000,134,134,134,3.697,8.463
50,0.000,157,157,157,3.484,9.172
51,0.000,134,134,134,4.037,9.427
52,0.000,124,124,124,3.583,9.881
53,0.000,112,112,112,4.392,10.179
54,0.000,154,154,154,5.739,10.747
55,0.000,130,130,130,4.307,10.775
56,0.000,152,152,152,3.924,10.775
57,0.000,146,146,146,3.527,10.747
58,0.000,103,103,103,2.860,10.066
59,0.000,125,125,125,2.732,9.413
60,0.000,91,91,91,2.832,9.115
61,0.000,136,136,136,2.264,9.399
62,0.000,103,103,103,1.782,9.172
63,0.000,51,51,51,1.257,9.456
64,0.000,163,163,163,0.505,9.186
65,0.000,74,74,74,0.037,9.314
66,0.000,109,109,109,0.293,10.392
67,0.000,111,111,111,0.888,10.023
68,0.000,96,96,96,1.314,10.718
69,0.000,130,130,130,2.023,10.236
70,0.000,182,182,182,1.711,10.307
71,0.000,72,72,72,13.669,0.803
72,0.000,124,124,124,13.271,0.278
73,0.000,82,82,82,11.342,0.278
74,0.000,67,67,67,9.640,0.094
75,0.000,99,99,99,14.349,1.456
76,0.000,86,86,86,14.534,2.832
77,0.000,194,194,194,13.825,1.541
78,0.000,127,127,127,12.661,0.009
