 ,Area,Mean,Min,Max,Angle,Length
1,0.011,123.815,64.684,180.221,-160.267,1.019
2,0.008,127.093,72.213,223.761,-114.044,0.746
3,0.005,130.433,19.120,236.510,-124.046,0.470
4,0.005,130.433,19.120,236.510,-124.046,0.470
5,0.012,128.920,47.205,237.778,-80.372,1.183
6,0.008,130.805,53.172,231.050,-171.069,0.731
7,0.008,130.805,53.172,231.050,-171.069,0.731
8,0.006,123.985,28.600,206.053,30.114,0.598
9,0.006,123.985,28.600,206.053,30.114,0.598
10,0.008,129.045,60.618,231.084,-23.097,0.771
11,0.008,129.045,60.618,231.084,-23.097,0.771
12,0.015,129.130,52.816,220.129,43.831,1.444
13,0.004,127.689,10.385,231.397,-142.125,0.356
14,0.004,127.689,10.385,231.397,-142.125,0.356
15,0.004,123.121,59.297,220.115,-21.251,0.400
16,0.004,123.121,59.297,220.115,-21.251,0.400
17,0.006,126.924,67.518,214.628,165.005,0.603
18,0.005,131.367,78.267,199.108,-135.000,0.491
19,0.005,131.367,78.267,199.108,-135.000,0.491
20,0.003,118.019,58.101,244.810,-99.162,0.324
21,0.003,118.019,58.101,244.810,-99.162,0.324
22,0.007,120.020,53.193,240.497,-32.196,0.655
23,0.007,116.328,65.139,177.351,-165.735,0.630
24,0.004,120.633,36.056,248.681,-91.432,0.417
25,0.004,120.633,36.056,248.681,-91.432,0.417
26,0.010,128.151,17.592,219.000,-11.189,0.962
27,0.010,128.151,17.592,219.000,-11.189,0.962
28,0.009,128.536,74.513,187.366,-169.089,0.877
29,0.003,141.704,71.328,246.000,111.448,0.312
30,0.003,141.704,71.328,246.000,111.448,0.312
31,0.006,130.155,16.594,221.857,-149.216,0.567
32,0.006,130.155,16.594,221.857,-149.216,0.567
33,0.007,118.296,53.444,171.654,174.123,0.712
34,0.008,123.988,17.302,221.853,-53.746,0.775
35,0.008,131.719,87.000,168.077,17.447,0.760
