 ,Area,Mean,Min,Max,X,Y
1,0.000,228,228,228,1.781,1.240
2,0.000,94,94,94,1.654,1.498
3,0.000,111,111,111,1.527,4.052
4,0.000,112,112,112,1.215,4.080
5,0.000,86,86,86,2.165,7.059
6,0.000,107,107,107,2.477,7.186
7,0.000,86,86,86,3.229,7.002
8,0.000,99,99,99,6.108,7.385
9,0.000,104,104,104,5.938,7.669
10,0.000,212,212,212,9.924,7.158
11,0.000,1,1,1,11.725,8.066
12,0.000,209,209,209,11.739,8.293
13,0.000,99,99,99,13.711,8.789
14,0.000,24,24,24,13.881,8.591
15,0.000,144,144,144,13.782,8.406
16,0.000,100,100,100,14.520,6.505
17,0.000,99,99,99,14.548,5.286
18,0.000,98,98,98,13.215,4.236
19,0.000,136,136,136,12.704,4.435
20,0.000,176,176,176,11.583,1.044
21,0.000,107,107,107,12.009,1.101
22,0.000,188,188,188,12.364,0.874
23,0.000,144,144,144,6.803,0.151
24,0.000,177,177,177,6.605,0.349
25,0.000,96,96,96,7.385,3.044
26,0.000,8,8,8,5.101,1.371
