 ,Area,Mean,Min,Max,X,Y
1,0.000,147,147,147,2.000,1.083
2,0.000,30,30,30,1.016,1.669
3,0.000,96,96,96,0.505,2.321
4,0.000,233,233,233,0.931,9.215
5,0.000,145,145,145,1.342,10.264
6,0.000,100,100,100,1.995,10.278
7,0.000,95,95,95,11.399,8.392
8,0.000,55,55,55,10.803,8.307
9,0.000,58,58,58,9.413,7.924
10,0.000,103,103,103,8.747,6.959
11,0.000,94,94,94,8.335,7.215
12,0.000,142,142,142,7.995,7.527
13,0.000,114,114,114,8.250,8.406
14,0.000,184,184,184,8.420,8.165
15,0.000,78,78,78,8.832,8.605
16,0.000,67,67,67,7.200,3.867
17,0.000,158,158,158,7.314,2.193
18,0.000,191,191,191,7.484,2.888
19,0.000,112,112,112,8.449,1.286
20,0.000,53,53,53,8.931,2.392
21,0.000,156,156,156,8.576,3.186
22,0.000,67,67,67,8.392,3.711
23,0.000,132,132,132,10.491,2.420
24,0.000,131,131,131,11.215,3.215
25,0.000,170,170,170,10.789,3.626
26,0.000,158,158,158,11.867,3.257
27,0.000,208,208,208,12.293,3.725
28,0.000,113,113,113,12.236,4.151
29,0.000,78,78,78,11.782,3.938
30,0.000,148,148,148,11.583,4.250
31,0.000,90,90,90,11.314,3.966
32,0.000,72,72,72,11.371,5.442
33,0.000,82,82,82,10.647,5.115
34,0.000,178,178,178,12.165,0.052
35,0.000,165,165,165,12.747,-0.005
