Elapsed,Kin,Kin,Kin-A/E,Kin-A/E,Kin-E,Kin-E,Kdead,Kdead,Kdead-A/E,Kdead-A/E,Kdead-E,Kdead-E,M4,M4,M4-A/E,M4-A/E,M4-E,M4-E,M5,M5,M5-A/E,M5-A/E,M5-E,M5-E,M7,M7,M7-A/E,M7-A/E,M7-E,M7-E,M10,M10,M10-A/E,M10-A/E,M10-E,M10-E,M11,M11,M11-A/E,M11-A/E,M11-E,M11-E,M15,M15,M15-A/E,M15-A/E,M15-E,M15-E
24,65.8,48.4,44,33.4,42.8,32.6,27.8,37.8,12.8,29.4,19.4,31.2,27,40.4,27,18.2,23,44.8,42.2,45.8,36.2,31.8,41.4,36.4,57.2,56.2,40.4,51.4,50.2,45,78,95,69.2,88.8,77,82.4,43.6,56.8,56.2,53,44.6,58,50.4,50.6,34.8,45.4,40.4,49.2
27,76,57.6,52.4,35.4,41.4,34,29,61.2,16,32.8,22,41.2,30,46.6,27.6,22.8,31.4,41.2,46.8,61.8,40.8,41.6,46,43.2,65.8,61.8,42,59,58.2,50.2,86.8,103.4,73.4,89,84.2,85.6,48.8,57.2,52.8,49.2,49.8,51.8,59.8,58.8,36.8,44.8,44,53.4
30,72.6,57.4,54.8,34,41.4,37.6,30.2,50.2,16.6,35,22,32.8,34,48.6,29.6,22.2,28.2,35.4,46.2,47.8,36.6,38.4,45.4,39.2,60.8,69.8,43.2,57.4,56.4,47.8,85.6,104.6,72.4,89,77.6,88,55,65.2,53.2,48.2,51.4,52.6,58.8,53.8,33,43,44.8,50
33,65.8,69.2,49.4,32.4,46.2,37.4,32,48.2,15.2,34.2,22.6,32,38.6,53,28.8,24.4,29.2,40.8,52.2,55,44,40,43.8,42.8,72,74,45.2,62.6,55.8,47.6,103.8,116.8,75.4,91,73.6,92.8,54.6,66,52.4,51.8,58.4,58.4,67.4,62,45,43.8,44.8,53.8
36,52,58.8,45.8,33.6,38.2,38,32.2,44,13.4,30.2,22.2,31.2,37.2,41.8,28.6,27,25.6,29,49.4,56,47.4,42,40,37.8,73.6,77,39.6,53.6,51.4,43,104.8,120,74.2,90.2,79.4,83,48.2,69.8,57.8,53.4,63.6,52.4,62,62.6,36,44.6,43.8,45.6
39,73.4,64.2,46.8,32.2,39.6,39,34.8,50.4,13.8,34.8,24.2,29,36.2,55,28.8,26.4,27.6,31.4,50.8,64.6,44.6,45.8,41.8,37.2,72.2,84.2,46.6,53.2,56.6,50.2,115.4,132.8,84.4,87.8,85.6,84.4,57.2,76,57.6,55.2,64.8,56.2,72.4,69.6,40.8,44.8,45.6,53.6
42,65,62.8,51.8,38.6,41.2,38.2,43.2,53.2,14.4,36.8,23,29.6,42,55.4,23.6,28.6,23.8,30.6,59.6,61.4,47.2,52.2,42.4,39.2,81.6,92.8,46.4,55.8,59.2,54.2,128.8,144.2,83.6,93.8,85.4,86.6,65.6,81.2,61,55.4,62,55.2,81.8,67.2,48.6,51.8,44.2,57.6
45,66.6,69,50.2,37.2,46.8,41.2,44.8,54.2,15.2,31.6,26.4,31,45.6,46.4,24.4,29.2,22,32,64,62.8,49.4,46,43.2,44,85.2,97.4,45.6,57.2,55.6,48.8,128.8,159.6,81.4,89,89.2,90,67.6,78.2,68.2,56.6,71.2,55.6,89,79.4,49.2,55.2,44.4,58.2
48,72.4,70.2,48,37.6,48.8,38.6,48.6,58.6,14,32.8,26.8,28.2,49.2,48.6,23.4,28.4,19.8,31.2,65.4,59.4,44,43,41,42.2,81.8,98,46.4,62.8,59.4,48.4,131.2,153.8,71.2,91.4,92.2,85.8,73.2,90,65,51.6,62.4,60.4,91.2,78.8,51.8,57,48.6,51.8
51,70.2,76.8,54,36.4,49,42.2,48.4,57.4,16.4,35.8,26,35.8,50.4,55.4,27.4,27.6,26.8,34.4,63,67,49.4,48.6,44.4,49,87.8,101.8,45,55.6,58.2,56.8,141.4,167.4,82.6,95,95.6,94.2,83.4,95.4,75.4,52.2,65.8,62.4,99.8,86.4,56.8,57.4,50.8,52.6
54,65.2,79.4,52.6,38,48.6,41.2,46,66.2,15.8,32.4,27.8,27.6,52.8,51.8,30.6,30.2,27,32.8,66.8,66.6,47,46.2,43,48.2,91.8,100.6,46.6,57.6,54,51.2,154.4,184.4,83,95.8,94.2,89.2,81.4,108,68.6,52.4,68.8,60.6,94.4,78,54.4,52,49,47.4
57,68,81.2,55.4,42.8,51.6,47.6,47.6,65.2,16.4,36.4,26.8,29.4,54.8,57,33.8,33.4,27.4,35.2,70.8,71.2,52,47.2,47.2,49.2,105.8,114.6,58.4,60.2,62.4,56.6,165.6,195,85,98.6,101.4,94.2,90,107,76.4,61,74.2,65,105.2,90.6,58.4,57.8,45,48.6
60,72.8,82.4,55.8,47,51,48.6,52,68,13,33.4,21.2,31,53.6,55.2,33.6,35.2,27.6,34.2,75.6,73.2,50.6,52.2,47.8,47.8,107.8,118.6,54,62.6,64.4,52,172.8,197,91.6,104.2,99.4,94.8,100.6,125.4,75.2,63.4,79.2,71,103.4,90.6,55.4,55.6,48.4,48.6
63,73.2,85.2,61.2,46.8,53.8,55.6,58,73,14.4,36.8,26,32.8,55.4,58,33.4,34.8,34,38.6,74.4,83.4,58,53,53,52.4,112,131,67,66.8,68.2,59.4,182,216.8,89.4,107,106,97.2,109.6,128,85.8,71.8,83.4,75.4,119.2,108.2,58.8,65.6,50.8,50.4
