Gene,Module,kME
ENST00000631690.1,UNCLASSIFIED,NA
ENST00000390466.1,UNCLASSIFIED,NA
ENST00000631882.1,UNCLASSIFIED,NA
ENST00000649376.1,P2_I7_M18,0.96
ENST00000419783.3,UNCLASSIFIED,NA
ENST00000419349.2,UNCLASSIFIED,NA
ENST00000643797.1,UNCLASSIFIED,NA
ENST00000620890.1,UNCLASSIFIED,NA
ENST00000652053.1,P1_I25_M2,0.83
ENST00000493176.1,UNCLASSIFIED,NA
ENST00000534142.5,P1_I25_M2,0.86
ENST00000299598.11,P1_I25_M2,0.88
ENST00000531391.5,P1_I25_M2,0.92
ENST00000527937.1,P1_I25_M2,0.92
ENST00000529791.1,UNCLASSIFIED,NA
ENST00000622053.4,P1_I25_M1,0.98
ENST00000466254.1,UNCLASSIFIED,NA
ENST00000390321.2,UNCLASSIFIED,NA
ENST00000390289.2,UNCLASSIFIED,NA
ENST00000390290.3,UNCLASSIFIED,NA
ENST00000390291.2,UNCLASSIFIED,NA
ENST00000453673.3,P6_I6_M5,0.82
ENST00000631600.1,P5_I7_M4,0.83
ENST00000633188.1,UNCLASSIFIED,NA
ENST00000633209.1,UNCLASSIFIED,NA
ENST00000631840.1,UNCLASSIFIED,NA
ENST00000633836.1,UNCLASSIFIED,NA
ENST00000634149.1,P4_I7_M7,0.85
ENST00000632996.1,P4_I7_M7,0.91
ENST00000390473.1,P2_I7_M29,1
ENST00000390419.1,UNCLASSIFIED,NA
ENST00000390491.1,P2_I7_M10,1
ENST00000361390.2,UNCLASSIFIED,NA
ENST00000361453.3,UNCLASSIFIED,NA
ENST00000361624.2,P3_I10_M4,0.92
ENST00000361739.1,P3_I10_M1,0.85
ENST00000361851.1,UNCLASSIFIED,NA
ENST00000361899.2,P7_I5_M6,0.85
ENST00000362079.2,UNCLASSIFIED,NA
ENST00000361227.2,UNCLASSIFIED,NA
ENST00000361335.1,P4_I7_M12,0.82
ENST00000361381.2,P4_I7_M12,0.81
ENST00000361567.2,P2_I7_M8,0.84
ENST00000361681.2,P3_I10_M1,0.91
ENST00000361789.2,P7_I5_M6,0.91
ENST00000625748.1,UNCLASSIFIED,NA
ENST00000613354.1,P1_I25_M2,0.9
ENST00000619253.1,P7_I5_M7,0.86
ENST00000612848.1,UNCLASSIFIED,NA
ENST00000616928.3,P2_I7_M6,0.86
ENST00000613230.1,UNCLASSIFIED,NA
ENST00000621612.4,UNCLASSIFIED,NA
ENST00000629980.2,P1_I25_M1,0.9
ENST00000628950.1,UNCLASSIFIED,NA
ENST00000626663.3,P1_I25_M2,0.85
ENST00000628258.2,UNCLASSIFIED,NA
ENST00000630619.2,UNCLASSIFIED,NA
ENST00000629007.1,UNCLASSIFIED,NA
ENST00000626118.2,P1_I25_M1,0.92
ENST00000630604.1,UNCLASSIFIED,NA
ENST00000630090.1,UNCLASSIFIED,NA
ENST00000618686.1,UNCLASSIFIED,NA
ENST00000625979.2,UNCLASSIFIED,NA
ENST00000629431.2,P1_I25_M2,0.94
ENST00000626867.1,UNCLASSIFIED,NA
ENST00000630697.1,UNCLASSIFIED,NA
ENST00000630979.3,UNCLASSIFIED,NA
ENST00000627647.2,UNCLASSIFIED,NA
ENST00000625669.2,P1_I25_M1,0.88
ENST00000625844.1,UNCLASSIFIED,NA
ENST00000629468.2,UNCLASSIFIED,NA
ENST00000631188.2,UNCLASSIFIED,NA
ENST00000628986.1,UNCLASSIFIED,NA
ENST00000629488.1,UNCLASSIFIED,NA
