Ranking,#Clusters,#Components,GMMweights,mean_test_scores,mean_train_scores
1,11,2,0.1,-0.919980594,-0.328660744
2,7,2,0.25,-0.98502269,-0.571128263
3,6,2,0.25,-1.012699774,-0.659182553
4,11,2,0.5,-1.111713142,-0.406585609
5,2,2,0,-1.133609366,-0.862009531
6,4,2,1,-1.153456927,-0.583772578
7,8,2,0.5,-1.170211352,-0.427007888
8,15,2,1,-1.186435462,-0.307488983
9,9,2,0,-1.201802658,-0.390798491
10,7,2,5,-1.206098713,-0.370255138
11,7,2,10,-1.207748864,-0.379644894
12,9,2,0.5,-1.230849962,-0.405839614
13,12,2,0.5,-1.245750381,-0.378518397
14,6,2,0.1,-1.262204544,-0.604127644
15,2,2,0,-1.283858866,-0.888188266
16,8,2,0.1,-1.287473273,-0.461558849
17,2,2,0.1,-1.29307775,-0.945153943
18,2,2,0.25,-1.304411398,-1.000187831
19,2,2,0,-1.30737927,-0.8725398
20,9,2,1,-1.315083858,-0.352587212
21,13,2,1,-1.318446607,-0.338638403
22,7,2,1,-1.318820325,-0.413710834
23,11,2,0.25,-1.324929456,-0.381672472
24,6,2,20,-1.334976992,-0.418809243
25,10,2,1,-1.340991261,-0.416070006
26,7,2,1,-1.364384179,-0.475421637
27,8,2,0,-1.369695164,-0.515525942
28,10,2,0.1,-1.372249373,-0.462586198
29,15,2,0.1,-1.388637796,-0.312170206
30,2,2,0,-1.394804507,-0.892321151
31,2,2,0,-1.395251973,-0.882485808
32,8,2,0.25,-1.398059217,-0.426339563
33,9,2,5,-1.401918468,-0.301345345
34,13,2,0.1,-1.417022899,-0.395787764
35,11,2,0.1,-1.420180471,-0.329148055
36,14,2,5,-1.426769864,-0.321638983
37,8,2,0.5,-1.426983422,-0.452258606
38,2,2,0.1,-1.434929624,-0.956764174
39,10,2,0.5,-1.449319854,-0.454720191
40,12,2,0.1,-1.457894406,-0.309334795
41,11,2,1,-1.459669068,-0.418080831
42,10,2,0.1,-1.461444045,-0.428669346
43,12,2,0.1,-1.470889217,-0.355825086
44,8,2,0.25,-1.480236881,-0.451861862
45,10,2,10,-1.491572763,-0.260763032
46,4,2,5,-1.512102871,-0.52810904
47,14,2,1,-1.512725823,-0.4163253
48,14,2,5,-1.51928895,-0.276141081
49,13,2,1,-1.524098479,-0.311696139
50,13,2,1,-1.528468954,-0.227619393
51,14,2,0.5,-1.53041995,-0.352175571
52,11,2,0.1,-1.532114815,-0.458288815
53,11,2,0,-1.537648737,-0.360803084
54,4,2,1,-1.544226068,-0.615209847
