GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (510),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
activated T cell proliferation (GO:0050798),4,3,0.1,+,30.29,4.57E-04,1.86E-02
negative regulation of high voltage-gated calcium channel activity (GO:1901842),5,3,0.12,+,24.23,7.18E-04,2.69E-02
positive regulation of blood-brain barrier permeability (GO:1905605),5,3,0.12,+,24.23,7.18E-04,2.69E-02
synaptic growth at neuromuscular junction (GO:0051124),5,3,0.12,+,24.23,7.18E-04,2.68E-02
regulation of protein autoubiquitination (GO:1902498),6,3,0.15,+,20.19,1.06E-03,3.64E-02
adherens junction maintenance (GO:0034334),6,3,0.15,+,20.19,1.06E-03,3.63E-02
modification of postsynaptic structure (GO:0099010),7,3,0.17,+,17.31,1.48E-03,4.85E-02
negative regulation of stress fiber assembly (GO:0051497),27,10,0.67,+,14.96,1.21E-08,1.33E-06
negative regulation of actin filament bundle assembly (GO:0032232),30,11,0.74,+,14.81,2.42E-09,2.98E-07
microvillus assembly (GO:0030033),11,4,0.27,+,14.68,3.72E-04,1.54E-02
establishment of endothelial intestinal barrier (GO:0090557),12,4,0.3,+,13.46,4.87E-04,1.95E-02
modification of synaptic structure (GO:0099563),12,4,0.3,+,13.46,4.87E-04,1.95E-02
focal adhesion assembly (GO:0048041),28,9,0.69,+,12.98,1.78E-07,1.61E-05
stress fiber assembly (GO:0043149),16,5,0.4,+,12.62,1.19E-04,5.86E-03
contractile actin filament bundle assembly (GO:0030038),16,5,0.4,+,12.62,1.19E-04,5.85E-03
microvillus organization (GO:0032528),13,4,0.32,+,12.43,6.24E-04,2.43E-02
cell-substrate junction assembly (GO:0007044),44,13,1.09,+,11.93,7.64E-10,9.95E-08
establishment of endothelial barrier (GO:0061028),34,10,0.84,+,11.88,7.38E-08,7.05E-06
cell-substrate junction organization (GO:0150115),45,13,1.11,+,11.67,9.63E-10,1.24E-07
positive regulation of fibroblast migration (GO:0010763),14,4,0.35,+,11.54,7.88E-04,2.88E-02
negative regulation of focal adhesion assembly (GO:0051895),18,5,0.45,+,11.22,1.90E-04,8.59E-03
negative regulation of cell-substrate junction organization (GO:0150118),18,5,0.45,+,11.22,1.90E-04,8.57E-03
protein localization to cell-cell junction (GO:0150105),18,5,0.45,+,11.22,1.90E-04,8.54E-03
regulation of stress fiber assembly (GO:0051492),89,24,2.2,+,10.89,2.73E-16,1.16E-13
regulation of actin filament bundle assembly (GO:0032231),101,27,2.5,+,10.8,4.40E-18,2.24E-15
positive regulation by host of viral process (GO:0044794),15,4,0.37,+,10.77,9.79E-04,3.42E-02
positive regulation of vascular permeability (GO:0043117),15,4,0.37,+,10.77,9.79E-04,3.42E-02
regulation of GTP binding (GO:1904424),15,4,0.37,+,10.77,9.79E-04,3.41E-02
positive regulation of substrate adhesion-dependent cell spreading (GO:1900026),42,11,1.04,+,10.58,4.49E-08,4.45E-06
regulation of actomyosin structure organization (GO:0110020),97,25,2.4,+,10.41,1.60E-16,7.01E-14
regulation of bicellular tight junction assembly (GO:2000810),24,6,0.59,+,10.1,7.01E-05,3.65E-03
positive regulation of cell migration involved in sprouting angiogenesis (GO:0090050),20,5,0.5,+,10.1,2.88E-04,1.22E-02
asymmetric cell division (GO:0008356),16,4,0.4,+,10.1,1.20E-03,4.05E-02
lamellipodium assembly (GO:0030032),36,9,0.89,+,10.1,1.07E-06,8.40E-05
maintenance of blood-brain barrier (GO:0035633),34,8,0.84,+,9.5,6.30E-06,4.36E-04
regulation of focal adhesion assembly (GO:0051893),64,15,1.58,+,9.46,5.94E-10,8.08E-08
regulation of cell-substrate junction assembly (GO:0090109),64,15,1.58,+,9.46,5.94E-10,8.01E-08
positive regulation of actin filament bundle assembly (GO:0032233),64,15,1.58,+,9.46,5.94E-10,7.94E-08
regulation of cell-substrate junction organization (GO:0150116),69,16,1.71,+,9.36,1.82E-10,2.78E-08
regulation of substrate adhesion-dependent cell spreading (GO:1900024),58,13,1.44,+,9.05,1.33E-08,1.46E-06
positive regulation of stress fiber assembly (GO:0051496),54,12,1.34,+,8.97,5.24E-08,5.14E-06
regulation of cell migration involved in sprouting angiogenesis (GO:0090049),37,8,0.92,+,8.73,1.08E-05,6.90E-04
lamellipodium organization (GO:0097581),43,9,1.06,+,8.45,3.82E-06,2.74E-04
endothelial cell development (GO:0001885),53,11,1.31,+,8.38,3.45E-07,3.00E-05
actomyosin structure organization (GO:0031032),104,21,2.58,+,8.15,2.59E-12,5.23E-10
negative regulation of cell junction assembly (GO:1901889),30,6,0.74,+,8.08,2.03E-04,9.11E-03
positive regulation of focal adhesion assembly (GO:0051894),25,5,0.62,+,8.08,6.99E-04,2.66E-02
positive regulation of cell-substrate junction organization (GO:0150117),30,6,0.74,+,8.08,2.03E-04,9.09E-03
negative regulation of actin filament depolymerization (GO:0030835),41,8,1.02,+,7.88,2.08E-05,1.24E-03
actin filament capping (GO:0051693),37,7,0.92,+,7.64,8.15E-05,4.22E-03
cortical actin cytoskeleton organization (GO:0030866),38,7,0.94,+,7.44,9.46E-05,4.77E-03
platelet aggregation (GO:0070527),44,8,1.09,+,7.34,3.25E-05,1.84E-03
