,Clusters,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
1,1,PGF_UP.V1_UP,PGF_UP.V1_UP,18/310,190/10915,7.53E-06,0.00130273,0.000798657,5965/55183/114882/545/8754/23469/3091/9169/2011/79572/9774/5321/29994/10914/23272/27067/9823/6880,18
2,1,VEGF_A_UP.V1_DN,VEGF_A_UP.V1_DN,18/310,193/10915,9.37E-06,0.001611119,0.000798657,5965/3835/9859/55183/9787/7443/55854/9493/8754/9169/4001/79572/9774/4131/1062/55660/4683/10914,18
3,1,EIF4E_DN,EIF4E_DN,12/310,100/10915,2.50E-05,0.004271083,0.001419751,5903/8087/57634/7158/51742/55023/8754/987/57496/55749/9897/57609,12
4,2,CAMP_UP.V1_DN,CAMP_UP.V1_DN,19/342,199/10915,1.53E-05,0.00269075,0.002607067,3094/7082/23022/23187/83660/4133/10396/64114/9208/22881/7538/9590/4628/7114/23136/8853/667/2739/57523,19
5,3,TBK1.DF_DN,TBK1.DF_DN,51/745,285/10915,1.40E-10,2.65E-08,2.52E-08,9360/1633/4646/51773/23112/8202/6949/51575/9169/55183/9748/4001/3895/26065/54874/29123/54014/10564/7586/571/2186/55320/23086/9682/10142/79657/8575/26031/9112/11231/23389/26064/839/2803/4750/5611/8502/23049/55435/6734/64864/57187/167227/25978/23137/51747/4155/79980/51133/23527/8148,51
6,3,EIF4E_DN,EIF4E_DN,25/745,100/10915,8.63E-09,1.62E-06,7.76E-07,7158/25966/987/55031/5903/4008/54832/55023/51742/4217/9685/9743/10724/55749/10318/91107/80216/23001/26019/54477/154043/9321/8087/10507/6840,25
7,3,PGF_UP.V1_UP,PGF_UP.V1_UP,32/745,190/10915,1.62E-06,0.000302551,9.71E-05,9360/9774/131544/9169/55183/23139/23224/54505/81550/9857/571/114882/10142/79572/5965/4750/26019/5611/2888/23272/9321/57187/167227/79882/1462/10914/4534/26036/4116/9126/9497/5189,32
8,3,CAMP_UP.V1_DN,CAMP_UP.V1_DN,31/745,199/10915,1.23E-05,0.002280601,0.000551758,4773/1975/4790/4673/60468/10129/817/613/639/5358/3320/394/27445/6626/473/3303/23786/55827/9448/6453/1112/5788/6239/9689/1809/7430/10250/4133/9208/2114/10397,31
9,4,EIF4E_DN,EIF4E_DN,22/675,100/10915,1.37E-07,2.54E-05,2.36E-05,9743/5903/6840/57634/987/7158/135112/9522/9321/8087/10318/23387/4651/54477/25966/23215/23327/1793/9520/23054/4217/4008,22
10,4,MEK_UP.V1_UP,MEK_UP.V1_UP,27/675,195/10915,6.56E-05,0.012128392,0.005658766,93664/6558/3691/79007/254102/53635/10076/5097/55765/10644/5734/4208/444/11138/9645/79789/868/116987/8714/10257/29888/26064/8650/6310/23368/23034/9578,27
