,Clusters,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
1,1,WP3959,DNA IR-double strand breaks and cellular response via ATM,10/247,55/7850,6.66E-06,0.002272527,0.001229472,7158/55183/9656/545/4361/1869/10413/7157/4683/10155,10
2,1,WP4016,DNA IR-damage and cellular response via ATR,12/247,83/7850,9.60E-06,0.003275135,0.001229472,5965/7158/9656/545/4361/1869/84142/7157/4683/10155/11073/5371,12
3,1,WP5049,Glycolysis in senescence,5/247,Nov-50,1.17E-05,0.003996195,0.001229472,5925/2597/7157/5315/3939,5
4,1,WP411,mRNA processing,15/247,133/7850,1.69E-05,0.005766229,0.001330531,6433/9129/10250/6427/22803/11218/57794/5430/10772/6430/8899/55660/10914/23451/11129,15
5,1,WP1984,Integrated breast cancer pathway,16/247,155/7850,2.71E-05,0.009252073,0.001707899,5058/23613/2355/545/5925/5284/4361/1869/994/7248/7157/1022/80271/6772/466/5371,16
6,1,WP3651,Pathways affected in adenoid cystic carcinoma,10/247,66/7850,3.55E-05,0.012092448,0.001860185,7403/1387/10847/546/7994/51742/58508/2064/7157/29072,10
7,1,WP437,EGF/EGFR signaling pathway,16/247,164/7850,5.44E-05,0.018547341,0.002445551,5782/5058/6311/4605/5579/30011/1869/2064/1978/54206/29924/10746/9712/6772/466/6195,16
8,1,WP1971,Integrated cancer pathway,8/247,46/7850,7.94E-05,0.027079221,0.003124204,545/5925/4361/1869/994/7157/6772/466,8
9,2,WP51,Regulation of actin cytoskeleton,21/228,151/7850,1.96E-09,7.27E-07,6.63E-07,4638/8826/2909/5287/5595/8396/8394/9459/5829/10458/8874/4659/2147/10152/4478/5747/85464/4628/7114/324/30849,21
10,2,WP3888,VEGFA-VEGFR2 signaling pathway,33/228,439/7850,3.72E-07,0.000138381,4.35E-05,8650/1500/8826/1397/9100/2060/2035/5590/5595/6461/1213/2889/5829/2317/2746/8667/3725/100506658/2308/2624/5230/2549/3315/22899/5747/152273/9252/7114/84952/4303/4301/4627/3045,33
11,2,WP4560,MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement,7/228,18/7850,3.85E-07,0.000143365,4.35E-05,4638/7082/4026/5595/5829/3725/5747,7
12,2,WP481,Insulin signaling,17/228,161/7850,3.84E-06,0.001427956,0.00032527,2319/5590/3636/6196/5595/2889/3725/6446/2308/2549/8773/8986/9252/7249/10580/5871/30849,17
13,2,WP306,Focal adhesion,17/228,202/7850,7.56E-05,0.028113139,0.004450827,7094/4638/2316/54776/83660/2909/7791/5595/4660/2889/5829/2317/3725/4659/2318/5747/29780,17
14,2,WP437,EGF/EGFR signaling pathway,15/228,164/7850,7.88E-05,0.029309111,0.004450827,8826/2060/5590/5287/3636/6196/5782/6776/3725/2308/2549/10253/5747/9252/4303,15
15,3,WP3888,VEGFA-VEGFR2 signaling pathway,67/562,439/7850,1.32E-09,5.96E-07,4.93E-07,226/4773/5710/23196/4641/9898/3065/4646/2317/10130/4790/1495/4673/2060/4627/57326/84335/5584/5770/27044/811/4691/1500/26058/54505/10628/6386/4208/5578/9100/9759/357/1387/253260/3320/9578/2309/5777/55854/71/2475/25865/8575/4217/1072/7024/3303/4772/5580/8569/154796/1982/813/5034/8411/31/6464/1386/7086/51574/1981/7430/115098/7001/6774/2534/10397,67
16,3,WP411,mRNA processing,29/562,133/7850,4.21E-08,1.90E-05,7.87E-06,51362/10181/7307/3192/10291/22803/10421/3184/1659/6625/4670/3188/4809/6626/3183/6429/27316/3187/8899/3182/10772/3191/57396/23451/56339/10914/8449/10250/6637,29
17,3,WP3651,Pathways affected in adenoid cystic carcinoma,18/562,66/7850,4.97E-07,0.000224789,6.19E-05,9611/4149/546/55914/23269/1387/29072/2309/58508/221037/51742/5728/284058/10847/84159/5591/7994/4613,18
18,3,WP3878,ATM signaling in development and disease ,13/562,46/7850,1.27E-05,0.005754229,0.001189306,3150/7158/4790/55183/56254/9656/9759/2475/4217/5591/10155/7249/1386,13
19,3,WP138,Androgen receptor signaling pathway,19/562,91/7850,1.79E-05,0.008098951,0.001339137,9611/3065/56924/10273/8202/23028/8031/24149/811/10499/1387/2316/5728/1956/9612/5925/5883/25942/6774,19
20,3,WP4255,Non-small cell lung cancer,16/562,72/7850,3.66E-05,0.016521965,0.002276548,1869/27436/572/841/5578/673/2309/1956/5336/1643/369/5925/6654/6774/208/6655,16
21,3,WP4320,Effect of progerin on genes involved in Hutchinson-Gilford progeria syndrome,11/562,39/7850,6.06E-05,0.027412354,0.003186019,1108/3066/3065/1869/23028/11335/5931/10951/9112/9219/5925,11
22,3,WP481,Insulin signaling,26/562,161/7850,6.82E-05,0.030829897,0.003186019,10487/4641/5584/5770/4296/9882/8986/5578/5583/2309/2475/4217/5728/5580/3667/7249/6464/2888/9448/8660/4214/6654/2997/208/6655/2992,26
23,3,WP437,EGF/EGFR signaling pathway,26/562,164/7850,9.37E-05,0.042339339,0.003469237,1869/2060/2059/8202/6311/5584/3635/5287/4208/5578/253260/673/2475/1173/5728/1072/58513/9185/1956/5580/6464/4214/6654/5782/6774/6655,26
24,3,WP585,Interferon type I signaling pathways,13/562,55/7850,9.98E-05,0.045106528,0.003469237,1975/3455/8986/5777/2475/3667/6773/5966/8660/4214/5788/6774/2534,13
25,3,WP4949,16p11.2 proximal deletion syndrome,16/562,78/7850,0.000102123,0.046159414,0.003469237,226/143/4790/57223/8085/55671/8479/841/11151/2186/58508/5728/10497/5966/8030/7430,16
26,4,WP3651,Pathways affected in adenoid cystic carcinoma,21/502,66/7850,3.30E-10,1.44E-07,1.21E-07,2033/55914/9611/54880/5605/23269/2309/284058/58508/84159/8289/10847/546/221037/7994/11200/29072/63035/1387/64324/9874,21
27,4,WP411,mRNA processing,27/502,133/7850,5.78E-08,2.51E-05,1.06E-05,23451/1478/3187/8899/3192/3190/6428/3184/4841/6829/3181/6421/6434/6430/3178/10250/22803/27316/1198/5430/84991/9584/8683/6426/29894/10772/3191,27
28,4,WP437,EGF/EGFR signaling pathway,28/502,164/7850,1.42E-06,0.000616679,0.000167558,6654/253260/6655/2059/5605/8027/30011/4208/25/9712/6198/10006/868/9101/8202/5335/1432/1759/6311/3635/29924/4214/4209/5598/1956/5782/9564/160,28
29,4,WP3888,VEGFA-VEGFR2 signaling pathway,54/502,439/7850,1.82E-06,0.000793619,0.000167558,357/55692/253260/2926/6461/4773/5605/8027/2309/10755/5499/4208/1982/25/9645/1500/154796/6198/54505/102/1827/10818/57326/56905/5335/1432/26058/29924/23215/1981/1499/4301/9584/56907/9451/10397/2889/1387/9759/100506658/23196/8650/4217/6142/9898/9564/2081/4790/1386/1495/11124/51564/160/9578,54
