GO biological process complete,Homo sapiens - REFLIST (20595),upload_1 (582),upload_1 (expected),upload_1 (over/under),upload_1 (fold Enrichment),upload_1 (raw P-value),upload_1 (FDR)
club cell differentiation (GO:0060486),4,3,0.11,+,26.54,6.65E-04,2.32E-02
cellular response to progesterone stimulus (GO:0071393),4,3,0.11,+,26.54,6.65E-04,2.32E-02
establishment or maintenance of microtubule cytoskeleton polarity (GO:0030951),4,3,0.11,+,26.54,6.65E-04,2.31E-02
deadenylation-independent decapping of nuclear-transcribed mRNA (GO:0031087),5,3,0.14,+,21.23,1.04E-03,3.28E-02
type II pneumocyte differentiation (GO:0060510),5,3,0.14,+,21.23,1.04E-03,3.28E-02
nuclear cell cycle DNA replication initiation (GO:1902315),6,3,0.17,+,17.69,1.53E-03,4.49E-02
cell cycle DNA replication initiation (GO:1902292),6,3,0.17,+,17.69,1.53E-03,4.48E-02
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972),6,3,0.17,+,17.69,1.53E-03,4.47E-02
"DNA replication, synthesis of RNA primer (GO:0006269)",6,3,0.17,+,17.69,1.53E-03,4.46E-02
establishment or maintenance of cytoskeleton polarity (GO:0030952),8,4,0.23,+,17.69,2.34E-04,9.58E-03
mitotic DNA replication initiation (GO:1902975),6,3,0.17,+,17.69,1.53E-03,4.45E-02
DNA topological change (GO:0006265),9,4,0.25,+,15.73,3.31E-04,1.29E-02
mitotic DNA replication checkpoint signaling (GO:0033314),10,4,0.28,+,14.15,4.54E-04,1.68E-02
negative regulation of ubiquitin protein ligase activity (GO:1904667),13,5,0.37,+,13.61,9.81E-05,4.66E-03
protein transport along microtubule (GO:0098840),13,4,0.37,+,10.89,1.01E-03,3.23E-02
microtubule-based protein transport (GO:0099118),13,4,0.37,+,10.89,1.01E-03,3.23E-02
positive regulation of actin filament depolymerization (GO:0030836),13,4,0.37,+,10.89,1.01E-03,3.22E-02
positive regulation of smooth muscle cell apoptotic process (GO:0034393),13,4,0.37,+,10.89,1.01E-03,3.21E-02
actin crosslink formation (GO:0051764),14,4,0.4,+,10.11,1.27E-03,3.89E-02
regulation of ubiquitin protein ligase activity (GO:1904666),28,8,0.79,+,10.11,4.76E-06,3.39E-04
insulin-like growth factor receptor signaling pathway (GO:0048009),14,4,0.4,+,10.11,1.27E-03,3.89E-02
P-body assembly (GO:0033962),14,4,0.4,+,10.11,1.27E-03,3.88E-02
regulation of sister chromatid cohesion (GO:0007063),22,6,0.62,+,9.65,9.44E-05,4.52E-03
membrane fission (GO:0090148),15,4,0.42,+,9.44,1.58E-03,4.56E-02
mitotic sister chromatid cohesion (GO:0007064),19,5,0.54,+,9.31,4.25E-04,1.59E-02
positive regulation of protein depolymerization (GO:1901881),19,5,0.54,+,9.31,4.25E-04,1.59E-02
negative regulation of ubiquitin-protein transferase activity (GO:0051444),20,5,0.57,+,8.85,5.19E-04,1.88E-02
neurotrophin TRK receptor signaling pathway (GO:0048011),20,5,0.57,+,8.85,5.19E-04,1.88E-02
regulation of microtubule depolymerization (GO:0031114),33,8,0.93,+,8.58,1.33E-05,8.32E-04
intermediate filament cytoskeleton organization (GO:0045104),51,11,1.44,+,7.63,8.77E-07,8.61E-05
neurotrophin signaling pathway (GO:0038179),28,6,0.79,+,7.58,2.93E-04,1.16E-02
intermediate filament-based process (GO:0045103),52,11,1.47,+,7.49,1.04E-06,9.87E-05
ncRNA export from nucleus (GO:0097064),38,8,1.07,+,7.45,3.22E-05,1.81E-03
